,Unnamed: 0,market_ids,clustering_ids,firm_ids,shares,prices,sales,size,weight,engine_size,hp,mpg,vehicle_type,body_type,engine_type,drive_type,plant_country,plant_location,distw,home_mkt,market_year,ppp,ppp_lag1,rer,rer_lag1,xrx,xrx_lag1,product_year,old_model,next_model,subsidy,hpwt,ev,hybrid,brand_region,firm_region,euro_brand,us_brand,suv_d,van_d,truck_d,ln_mpg_icehyb,ln_mpg_ice,ln_mpg_ev,ln_mpg_hyb,log_size_std,log_hp_std,log_hpwt_std,log_weight_std,ln_mpg_std,ln_mpg_ev_std,ln_mpg_hyb_std,luxury_brand,demand_instruments0
337,337,2015,2015_audi_a8,audi,0.0002021571009222427,0.851,3980,1.1968707567335999,4.508,3.0,3.33,2.2,Car,sedan,ICE,AWD,Hungary,Hungary,8395.564,0,2015,0.474409365,0.556380252,132.5179539,129.4149739,0.001698368,0.002391987,2015,0,0,0.0,0.7386867790594499,0,0,EU,EU,1,0,0.0,0.0,0.0,0.7884573603642703,0.7884573603642703,0.0,0.0,1.0289716301561425,0.7307160309061126,0.5617313950534838,0.6561227094004309,-0.16107125665217278,-0.2518696476904785,-0.35387359523776113,1.0,129.4149739
338,338,2015,2015_audi_q3,audi,0.0003954768,0.346,7786,0.952895772348,3.494,2.0,2.0,2.3,SUV,suv,ICE,FWD,Spain,Spain,7437.157,0,2015,0.737340106,0.879944451,0.664562,0.662359,0.818088353,1.169006893,2015,0,0,0.0,0.5724098454493417,0,0,EU,EU,1,0,1.0,0.0,0.0,0.8329091229351039,0.8329091229351039,0.0,0.0,-0.4829442406441651,-0.6080699601937086,-0.4528276469707097,-0.5635884069135961,-0.030395321571414027,-0.2518696476904785,-0.35387359523776113,1.0,0.662359
339,339,2015,2015_audi_q5,audi,0.0015380711999999999,0.454,30281,1.0423415999568,4.354,3.0,2.4,2.3,SUV,suv,ICE,AWD,Germany,Germany,7595.452,0,2015,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,0.0,0.5512172714745062,0,0,EU,EU,1,0,1.0,0.0,0.0,0.8329091229351039,0.8329091229351039,0.0,0.0,0.11210828194701013,-0.12929883870028488,-0.6029164275440055,0.4897395491342904,-0.030395321571414027,-0.2518696476904785,-0.35387359523776113,1.0,0.768937
341,341,2015,2015_audi_q7,audi,0.0009790895999999998,0.599,19276,1.1920631181524002,5.412,3.0,2.4,2.2,SUV,suv,ICE,AWD,Slovakia,Slovakia,8289.6,0,2015,0.545233496,0.644870223,0.491417,0.485412,0.604943592,0.856710597,2015,0,0,0.0,0.44345898004434586,0,0,EU,EU,1,0,1.0,0.0,0.0,0.7884573603642703,0.7884573603642703,0.0,0.0,1.002276818161384,-0.12929883870028488,-1.4683064995497492,1.5309855659472424,-0.16107125665217278,-0.2518696476904785,-0.35387359523776113,1.0,0.485412
345,345,2015,2015_audi_s3,audi,0.00012556609274019557,0.411,2465,0.9430193840912,3.45,2.0,2.92,2.6,Car,sedan,ICE,AWD,Hungary,Hungary,8395.564,0,2015,0.474409365,0.556380252,132.5179539,129.4149739,0.001698368,0.002391987,2015,0,0,0.0,0.8463768115942029,0,0,EU,EU,1,0,0.0,0.0,0.0,0.9555114450274363,0.9555114450274363,0.0,0.0,-0.5520448348207319,0.38569314675757777,1.1031505388905765,-0.6242516255010522,0.33002172729044543,-0.2518696476904785,-0.35387359523776113,1.0,129.4149739
346,346,2015,2015_audi_s4,audi,0.00015131306624305554,0.498,2979,1.0355353503923999,3.869,3.0,3.33,2.0,Car,sedan,ICE,AWD,Germany,Germany,7595.452,0,2015,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,0.0,0.8606875161540449,0,0,EU,EU,1,0,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.0,0.0,0.0686584406675457,0.7307160309061126,1.1698552535259295,-0.07557801822145468,-0.44125692642845793,-0.2518696476904785,-0.35387359523776113,1.0,0.768937
347,347,2015,2015_audi_s5,audi,0.00012585557703569147,0.5875,2473,1.0086561854459999,4.045,3.0,3.33,2.1,Car,coupe,ICE,AWD,Germany,Germany,7595.452,0,2015,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,0.0,0.823238566131026,0,0,EU,EU,1,0,0.0,0.0,0.0,0.7419373447293773,0.7419373447293773,0.0,0.0,-0.10577020762264341,0.7307160309061126,0.9928755504974038,0.13736573604196228,-0.29782728591814916,-0.2518696476904785,-0.35387359523776113,1.0,0.768937
351,351,2015,2015_audi_sq5,audi,0.0001087734302767644,0.527,2108,1.044624933144,4.42,3.0,3.54,1.9,SUV,suv,ICE,AWD,Germany,Germany,7595.452,0,2015,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,0.0,0.8009049773755657,0,0,EU,EU,1,0,1.0,0.0,0.0,0.6418538861723947,0.6418538861723947,0.0,0.0,0.12662112754580118,0.8913057728557836,0.883455551051483,0.5617559095513319,-0.5920450801441839,-0.2518696476904785,-0.35387359523776113,1.0,0.768937
357,357,2015,2015_bmw_2series,bmw,0.00024365519999999997,0.321,4797,0.9452082728400001,3.3,2.0,2.4,2.7,Car,coupe,ICE,RWD,Germany,Germany,7595.452,0,2015,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,0.0,0.7272727272727273,0,0,EU,EU,1,0,0.0,0.0,0.0,0.9932517730102834,0.9932517730102834,0.0,0.0,-0.5366679583217445,-0.12929883870028488,0.499778462534797,-0.837034005585817,0.440967893745698,-0.2518696476904785,-0.35387359523776113,1.0,0.768937
358,358,2015,2015_bmw_2seriesm,bmw,0.00017025894529933608,0.463,3352,0.9476318837959999,3.71,3.0,3.2,2.45,Car,convertible,ICE,RWD,Germany,Germany,7595.452,0,2015,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,0.0,0.862533692722372,0,0,EU,EU,1,0,0.0,0.0,0.0,0.8960880245566357,0.8960880245566357,0.0,0.0,-0.5196836525170629,0.626145941847237,1.1783797276568624,-0.2764528912574618,0.15533324281595115,-0.2518696476904785,-0.35387359523776113,1.0,0.768937
