year,state,income,weights
2014,TEXAS,116204.584125713,0.001
2014,MISSOURI,29526.5739165249,0.001
2014,COLORADO,61054.9494545091,0.001
2014,VIRGINIA,15013.5121609449,0.001
2014,TEXAS,12511.2601341207,0.001
2014,MICHIGAN,33530.1771594435,0.001
2014,NEBRASKA,58060.2542288059,0.001
2014,CALIFORNIA,41036.9332399159,0.001
2014,MINNESOTA,159243.318987088,0.001
2014,OREGON,130118.106295666,0.001
2014,MASSACHUSETTS,19817.8360524472,0.001
2014,CALIFORNIA,42438.1943749374,0.001
2014,UTAH,106696.026423781,0.001
2014,MASSACHUSETTS,116104.49404464,0.001
2014,NEW YORK,89080.1721549395,0.001
2014,MARYLAND,43128.8159343409,0.001
2014,PENNSYLVANIA,69062.1559403463,0.001
2014,NORTH CAROLINA,75568.0112100891,0.001
2014,GEORGIA,33029.7267540787,0.001
2014,LOUISIANA,17215.4939445501,0.001
2014,MICHIGAN,12511.2601341207,0.001
2014,ALABAMA,86077.4697227505,0.001
2014,ALABAMA,86077.4697227505,0.001
2014,NORTH CAROLINA,9008.10729656691,0.001
2014,PENNSYLVANIA,32729.4565108598,0.001
2014,GEORGIA,58052.2470223201,0.001
2014,NEW YORK,42037.8340506456,0.001
2014,FLORIDA,102792.513261936,0.001
2014,CONNECTICUT,115103.593233911,0.001
2014,NEW YORK,14412.9716745071,0.001
2014,LOUISIANA,109098.188369533,0.001
2014,NEW YORK,133119.807827044,0.001
2014,NEW JERSEY,172054.849364428,0.001
2014,MARYLAND,154138.724852367,0.001
2014,NORTH CAROLINA,136122.510259233,0.001
2014,WEST VIRGINIA,18416.5749174257,0.001
2014,SOUTH CAROLINA,76068.4616154539,0.001
2014,OHIO,8707.83705334801,0.001
2014,WEST VIRGINIA,18416.5749174257,0.001
2014,GEORGIA,15013.5121609449,0.001
2014,MICHIGAN,37533.7804023621,0.001
2014,GEORGIA,6005.40486437794,0.001
2014,CALIFORNIA,40236.2125913322,0.001
2014,TEXAS,65358.8229406466,0.001
2014,WEST VIRGINIA,18416.5749174257,0.001
2014,TEXAS,311980.782704434,0.001
2014,TENNESSEE,75067.5608047243,0.001
2014,MISSOURI,24021.6194575118,0.001
2014,CALIFORNIA,14913.4220798719,0.001
2014,FLORIDA,76068.4616154539,0.001
2014,ILLINOIS,35031.528375538,0.001
2014,NEW MEXICO,39635.6721048944,0.001
2014,PENNSYLVANIA,9008.10729656691,0.001
2014,CONNECTICUT,37033.3299969973,0.001
2014,CALIFORNIA,53047.7429686718,0.001
2014,ALABAMA,50045.0405364828,0.001
2014,TENNESSEE,75067.5608047243,0.001
2014,NORTH CAROLINA,9008.10729656691,0.001
2014,CALIFORNIA,18516.6649984987,0.001
2014,NORTH CAROLINA,99609.6486838155,0.001
2014,CALIFORNIA,18516.6649984987,0.001
2014,OHIO,34030.6275648083,0.001
2014,OHIO,26023.4210789711,0.001
2014,NEW YORK,42037.8340506456,0.001
2014,CALIFORNIA,75868.281453308,0.001
2014,ILLINOIS,50045.0405364828,0.001
2014,CALIFORNIA,40036.0324291863,0.001
2014,OREGON,47142.4281853668,0.001
2014,WEST VIRGINIA,41036.9332399159,0.001
2014,KENTUCKY,45040.5364828346,0.001
2014,NEVADA,43238.9150235212,0.001
2014,CALIFORNIA,27574.817335602,0.001
2014,TEXAS,11310.1791612451,0.001
2014,ARKANSAS,138324.492042839,0.001
2014,MISSOURI,111099.989990992,0.001
2014,TENNESSEE,47642.8785907317,0.001
2014,NEW YORK,120108.097287559,0.001
2014,TEXAS,11410.2692423181,0.001
2014,MARYLAND,73065.7591832649,0.001
2014,PENNSYLVANIA,66659.9939945951,0.001
2014,MINNESOTA,49044.1397257532,0.001
2014,CALIFORNIA,175157.64187769,0.001
2014,NEW YORK,117305.575017516,0.001
2014,NEW YORK,83074.7672905615,0.001
2014,ILLINOIS,108297.467720949,0.001
2014,MONTANA,5905.31478330497,0.001
2014,TENNESSEE,28525.6731057952,0.001
2014,ILLINOIS,15043.5391852667,0.001
2014,CALIFORNIA,47943.1488339506,0.001
2014,CALIFORNIA,339705.735161646,0.001
2014,OHIO,121389.250325293,0.001
2014,WASHINGTON,125412.871584426,0.001
2014,KENTUCKY,45040.5364828346,0.001
2014,FLORIDA,154138.724852367,0.001
2014,GEORGIA,8707.83705334801,0.001
2014,ILLINOIS,38034.230807727,0.001
2014,FLORIDA,161205.084576119,0.001
2014,COLORADO,47042.3381042939,0.001
2014,CALIFORNIA,152136.923230908,0.001
2014,MISSISSIPPI,60274.2468221399,0.001
2014,ILLINOIS,73065.7591832649,0.001
2014,GEORGIA,58052.2470223201,0.001
2014,MARYLAND,20738.6647983185,0.001
2014,TEXAS,50045.0405364828,0.001
2014,SOUTH CAROLINA,46341.7075367831,0.001
2014,TENNESSEE,74557.1013912521,0.001
2014,CONNECTICUT,13211.8907016315,0.001
2014,TEXAS,210189.170253228,0.001
2014,ARIZONA,93083.7753978581,0.001
2014,TENNESSEE,11910.7196476829,0.001
2014,INDIANA,48043.2389150235,0.001
2014,TEXAS,16815.1336202582,0.001
2014,MINNESOTA,250225.202682414,0.001
2014,TEXAS,79171.2541287158,0.001
2014,WASHINGTON,164888.399559604,0.001
2014,NEW HAMPSHIRE,99289.360424382,0.001
2014,SOUTH CAROLINA,125112.601341207,0.001
2014,CALIFORNIA,34030.6275648083,0.001
2014,ARIZONA,86127.514763287,0.001
2014,SOUTH CAROLINA,46441.7976178561,0.001
2014,CALIFORNIA,1201.08097287559,0.001
2014,MISSOURI,29526.5739165249,0.001
2014,TEXAS,160144.129716745,0.001
2014,CONNECTICUT,192172.955660094,0.001
2014,WISCONSIN,172455.20968872,0.001
2014,PENNSYLVANIA,55049.5445901311,0.001
2014,ARIZONA,72064.8583725353,0.001
2014,NEW YORK,73466.1195075568,0.001
2014,ARKANSAS,21869.682714443,0.001
2014,CALIFORNIA,109098.188369533,0.001
2014,WYOMING,60554.4990491442,0.001
2014,NEW YORK,165148.633770393,0.001
2014,OHIO,124211.79061155,0.001
2014,MISSOURI,194374.937443699,0.001
2014,TENNESSEE,50045.0405364828,0.001
2014,CALIFORNIA,48643.7794014613,0.001
2014,WASHINGTON,8307.47672905615,0.001
2014,COLORADO,67560.8047242518,0.001
2014,UTAH,47042.3381042939,0.001
2014,FLORIDA,76068.4616154539,0.001
2014,OHIO,106095.485937344,0.001
2014,WASHINGTON,125412.871584426,0.001
2014,CALIFORNIA,16014.4129716745,0.001
2014,NORTH CAROLINA,65058.5526974277,0.001
2014,MICHIGAN,32329.0961865679,0.001
2014,IOWA,107596.837153438,0.001
2014,MICHIGAN,84676.208587729,0.001
2014,MISSOURI,90581.5233710339,0.001
2014,MINNESOTA,200180.162145931,0.001
2014,LOUISIANA,109098.188369533,0.001
2014,FLORIDA,61655.4899409469,0.001
2014,WASHINGTON,125412.871584426,0.001
2014,IOWA,107596.837153438,0.001
2014,NEW YORK,110099.089180262,0.001
2014,IOWA,155840.256230608,0.001
2014,NEW YORK,240216.194575118,0.001
2014,NEVADA,20018.0162145931,0.001
2014,MINNESOTA,49044.1397257532,0.001
2014,PENNSYLVANIA,58852.9676709038,0.001
2014,FLORIDA,55049.5445901311,0.001
2014,WASHINGTON,125412.871584426,0.001
2014,MINNESOTA,14713.241917726,0.001
2014,COLORADO,130117.105394855,0.001
2014,VIRGINIA,90581.5233710339,0.001
2014,FLORIDA,500.450405364828,0.001
2014,FLORIDA,24021.6194575118,0.001
2014,MASSACHUSETTS,97087.3786407767,0.001
2014,TEXAS,163146.832148934,0.001
2014,MICHIGAN,12010.8097287559,0.001
