scenario,label,total_vehicle_sales,ev_sales,ev_sales_thousands,ev_share_pct,ev_share_change_pp_vs_b0,ev_sales_change_thousands_vs_b0
B0,"No tariff
no subsidy",11168486.912126161,375196.93734729564,375.19693734729566,3.359424963285997,0.0,0.0
C1,"Vehicle-only
tariff",10758047.861458117,342497.7788584421,342.4977788584421,3.1836424532510015,-0.17578251003499545,-32.69915848885354
C2,"Vehicle + parts
tariff",10338491.365774939,326508.7958969738,326.5087958969738,3.158186086781142,-0.20123887650485495,-48.68814145032182
C3,EV subsidy,11369261.85531312,839912.5615041365,839.9125615041365,7.387573372774643,4.0281484094886455,464.7156241568409
C4,"Vehicle-only
tariff + subsidy",10943675.462501781,738779.6580033569,738.7796580033569,6.7507453097888925,3.3913203465028956,363.58272065606127
C5,"Vehicle + parts
tariff + subsidy",10514523.826531757,701005.4174401222,701.0054174401222,6.667020104812019,3.3075951415260216,325.8084800928266
