product_ids,market_ids,market_year,firm_ids,prices,subsidy,costs,markups,shares,sales,size,weight,engine_size,hp,hpwt,mpg,vehicle_type,body_type,engine_type,drive_type,ev,hybrid,distw,home_mkt,ppp,ppp_lag1,rer,rer_lag1,xrx,xrx_lag1,product_year,old_model,next_model,plant_country,plant_location,owner_ids,pricer_ids
2015_audi_s5,2015,2015,audi,,,0.5375440135022456,0.08503146637915651,5.243982376487145e-05,2473,1.008656185446,4.045,3.0,3.33,0.823238566131026,2.1,Car,coupe,ICE,AWD,0,0,7595.452,0,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,Germany,Germany,volkswagen,audi
2015_audi_sq5,2015,2015,audi,,,0.47885992406985456,0.09134739265682251,4.53222626153185e-05,2108,1.044624933144,4.42,3.0,3.54,0.8009049773755657,1.9,SUV,suv,ICE,AWD,0,0,7595.452,0,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,Germany,Germany,volkswagen,audi
2015_bmw_2series,2015,2015,bmw,,,0.2711760328830591,0.15521485083159167,0.000101523,4797,0.94520827284,3.3,2.0,2.4,0.7272727272727273,2.7,Car,coupe,ICE,RWD,0,0,7595.452,0,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,Germany,Germany,bmw,bmw
2015_bmw_2seriesm,2015,2015,bmw,,,0.4091393419669618,0.11632971497416467,7.09412272080567e-05,3352,0.947631883796,3.71,3.0,3.2,0.862533692722372,2.45,Car,convertible,ICE,RWD,0,0,7595.452,0,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,Germany,Germany,bmw,bmw
2015_bmw_3series,2015,2015,bmw,,,0.3432254355378777,0.13107484673955014,0.001580516,74680,1.013888824,3.545,2.0,2.4,0.6770098730606487,2.6,Car,sedan,ICE,RWD,0,0,7595.452,0,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,Germany,Germany,bmw,bmw
2015_bmw_4series,2015,2015,bmw,,,0.4088201552660125,0.1160645291545676,0.000639127,30199,1.0068360466736,3.74,2.0,2.4,0.641711229946524,2.6,Car,coupe,ICE,RWD,0,0,7595.452,0,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,Germany,Germany,bmw,bmw
2015_bmw_5series,2015,2015,bmw,,,0.5362815532961391,0.09716910219505191,0.000735761,34765,1.1103249289392,4.255,3.0,3.0,0.7050528789659225,2.3,Car,sedan,ICE,RWD,0,0,7595.452,0,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,Germany,Germany,bmw,bmw
2015_bmw_6series,2015,2015,bmw,,,0.7999136471368491,0.07631218575421582,0.000103999,4914,1.0965499298208,4.365,3.0,3.15,0.7216494845360825,2.3,Car,sedan,ICE,RWD,0,0,7595.452,0,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,Germany,Germany,bmw,bmw
2015_bmw_7series,2015,2015,bmw,,,0.8395870451346858,0.0702247562185096,0.000143068,6760,1.197583256688,4.66,4.4,4.45,0.9549356223175964,1.9,Car,sedan,ICE,AWD,0,0,7595.452,0,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,Germany,Germany,bmw,bmw
2015_bmw_i3ev,2015,2015,bmw,0.075,7500.0,0.3737136247394433,0.11859994165225633,3.262512800606379e-05,1389,0.76708328424,2.634,0.0,1.68,0.6378132118451025,12.4,Car,hatchback,Electric,RWD,1,0,7595.452,0,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,Germany,Germany,bmw,bmw
2015_bmw_i3hybrid,2015,2015,bmw,0.075,7500.0,0.40931078918092595,0.11500369906826827,7.847384398362476e-05,3613,0.76708328424,2.899,0.7,1.68,0.5795101759227319,7.8,Car,hatchback,Hybrid,RWD,0,1,7595.452,0,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,Germany,Germany,bmw,bmw
2015_bmw_m3,2015,2015,bmw,,,0.5646738776494616,0.08923568121054573,4.715305913471072e-05,2228,1.0242207677832,3.54,3.0,4.25,1.2005649717514124,1.9,Car,sedan,ICE,RWD,0,0,7595.452,0,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,Germany,Germany,bmw,bmw
2015_bmw_m4,2015,2015,bmw,,,0.5861726178373118,0.08695853919421843,0.00011566,5465,1.0127270185188,3.53,3.0,4.25,1.2039660056657224,1.9,Car,coupe,ICE,RWD,0,0,7595.452,0,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,Germany,Germany,bmw,bmw
2015_bmw_x1,2015,2015,bmw,,,0.28171389042348777,0.14632154417124923,0.000321077,15171,0.98668396463,3.726,2.0,2.4,0.644122383252818,2.6,SUV,suv,ICE,AWD,0,0,7595.452,0,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,Germany,Germany,bmw,bmw
2015_bmw_x3,2015,2015,bmw,,,0.35472994790385826,0.12412358542257226,0.000249945,11810,1.0520027104496,4.15,2.0,2.4,0.5783132530120482,2.4,SUV,suv,ICE,AWD,0,0,1853.802,1,1.0,1.0,1.0,1.0,1.0,1.0,2015,0,0,United States,South Carolina,bmw,bmw
2015_bmw_x4,2015,2015,bmw,,,0.4114566962395675,0.1122832875090238,6.9400631613466e-05,3259,1.0520457660024,4.195,2.5,2.7,0.6436233611442193,2.25,SUV,suv,ICE,AWD,0,0,1853.802,1,1.0,1.0,1.0,1.0,1.0,1.0,2015,0,0,United States,South Carolina,bmw,bmw
2015_bmw_x5,2015,2015,bmw,,,0.5223785906975901,0.09466448752584036,0.000839041,39645,1.1479270098659995,5.192,3.0,3.0,0.5778120184899845,2.1,SUV,suv,ICE,AWD,0,0,1853.802,1,1.0,1.0,1.0,1.0,1.0,1.0,2015,0,0,United States,South Carolina,bmw,bmw
2015_bmw_x6,2015,2015,bmw,,,0.5633696070639664,0.08987139408082966,9.877169074582358e-05,4667,1.1525999262336002,4.75,3.0,3.0,0.631578947368421,2.1,SUV,suv,ICE,AWD,0,0,1853.802,1,1.0,1.0,1.0,1.0,1.0,1.0,2015,0,0,United States,South Carolina,bmw,bmw
2015_bmw_z4,2015,2015,bmw,,,0.4350274326723571,0.11128205787056769,2.3978757452194635e-05,1130,0.8906666096640001,3.263,2.0,2.4,0.7355194606190623,2.6,Car,convertible,ICE,RWD,0,0,7595.452,0,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,Germany,Germany,bmw,bmw
2015_buick_enclave,2015,2015,buick,,,0.38649438784396606,0.13049631531166242,0.001006743,47569,1.2156061722012,4.724,3.6,2.88,0.6096528365791701,1.9,SUV,suv,ICE,FWD,0,0,1853.802,1,1.0,1.0,1.0,1.0,1.0,1.0,2015,0,0,United States,Michigan,generalmotors,generalmotors
2015_buick_encore,2015,2015,buick,,,0.22603413453606067,0.18266449272803958,0.0011678,55179,0.8174416143504001,3.237,1.4,1.38,0.4263206672845226,2.8,SUV,suv,ICE,FWD,0,0,10682.86,0,0.758093753,0.828120233,857.3680252,871.8781061,0.000670314,0.000786558,2015,0,0,Korea,South Korea,generalmotors,generalmotors
2015_buick_lacrosse,2015,2015,buick,,,0.30214750327720546,0.15424071860824226,0.000664714,31408,0.9995409082516,3.77,3.6,3.04,0.8063660477453581,2.1,Car,sedan,ICE,FWD,0,0,1853.802,1,1.0,1.0,1.0,1.0,1.0,1.0,2015,0,0,United States,Kansas,generalmotors,generalmotors
2015_buick_regal,2015,2015,buick,,,0.26702562962650345,0.16292906073196414,0.000301818,14261,0.9655291048728,3.702,2.0,2.59,0.6996218260399784,2.3,Car,sedan,ICE,FWD,0,0,2079.297,0,0.975928577,1.113701013,1.248004,1.230358,0.763167896,1.008104914,2015,0,0,Canada,Canada,generalmotors,generalmotors
2015_buick_verano,2015,2015,buick,,,0.2013523184014676,0.195234538763119,0.000501647,23703,0.9118374416424,3.42,2.4,1.8,0.5263157894736842,2.5,Car,sedan,ICE,FWD,0,0,1853.802,1,1.0,1.0,1.0,1.0,1.0,1.0,2015,0,0,United States,Michigan,generalmotors,generalmotors
2015_cadillac_ats,2015,2015,cadillac,,,0.3973317247893624,0.11576338090717173,0.000340992,16112,0.9025749422352,3.461,2.0,2.72,0.7859000288933835,2.3,Car,sedan,ICE,RWD,0,0,1853.802,1,1.0,1.0,1.0,1.0,1.0,1.0,2015,0,0,United States,Michigan,generalmotors,generalmotors
2015_cadillac_cts,2015,2015,cadillac,,,0.5171138718611352,0.09863365546254971,0.00018766,8867,1.096972152016,3.834,2.0,2.72,0.7094418362023996,2.2,Car,sedan,ICE,RWD,0,0,1853.802,1,1.0,1.0,1.0,1.0,1.0,1.0,2015,0,0,United States,Michigan,generalmotors,generalmotors
2015_cadillac_escalade,2015,2015,cadillac,,,0.7273677383349566,0.08587691550212814,0.000558091,26370,1.139857565938,5.84,6.2,4.2,0.7191780821917809,1.7,SUV,suv,ICE,4X4,0,0,1853.802,1,1.0,1.0,1.0,1.0,1.0,1.0,2015,0,0,United States,Texas,generalmotors,generalmotors
2015_cadillac_srx,2015,2015,cadillac,,,0.4053441849991757,0.12039454239857712,0.000986892,46631,0.9937888252864,4.277,3.6,3.08,0.7201309328968903,1.9,SUV,suv,ICE,FWD,0,0,2468.405,0,0.5253505,0.605254712,8.325894819,8.045317997,0.033148767,0.045533721,2015,0,0,Mexico,Mexico,generalmotors,generalmotors
2015_cadillac_xts,2015,2015,cadillac,,,0.5010189897933487,0.10187507431505112,0.000251977,11906,1.022624934552,4.1105,3.6,3.04,0.7395693954506751,2.05,Car,sedan,ICE,AWD,0,0,2079.297,0,0.975928577,1.113701013,1.248004,1.230358,0.763167896,1.008104914,2015,0,0,Canada,Canada,generalmotors,generalmotors
2015_chevrolet_camaro,2015,2015,chevrolet,,,0.2925186007622541,0.1667323721342996,0.001493596,70573,0.999326324932,3.935,6.2,4.0,1.0165184243964422,1.9,Car,coupe,ICE,RWD,0,0,2079.297,0,0.975928577,1.113701013,1.248004,1.230358,0.763167896,1.008104914,2015,0,0,Canada,Canada,generalmotors,generalmotors
2015_chevrolet_cityexpress,2015,2015,chevrolet,,,0.18018038674311115,0.20747575657307607,0.000191469,9047,0.8810436936132001,3.2515,2.0,1.31,0.4028909733968937,2.5,Van,mini-van,ICE,FWD,0,0,2468.405,0,0.5253505,0.605254712,8.325894819,8.045317997,0.033148767,0.045533721,2015,0,0,Mexico,Mexico,generalmotors,generalmotors
2015_chevrolet_colorado,2015,2015,chevrolet,,,0.19873497311516972,0.26693112093260896,0.00119999,56700,1.2392728373531998,4.01,3.6,3.05,0.7605985037406484,2.1,Truck,pickup,ICE,4X2,0,0,1853.802,1,1.0,1.0,1.0,1.0,1.0,1.0,2015,0,0,United States,Missouri,generalmotors,generalmotors
2015_chevrolet_corvette,2015,2015,chevrolet,,,0.6076306092687691,0.10852316715262747,0.000475234,22455,0.9078409141204,3.362,6.2,4.55,1.3533610945865555,2.0,Car,coupe,ICE,RWD,0,0,1853.802,1,1.0,1.0,1.0,1.0,1.0,1.0,2015,0,0,United States,Kentucky,generalmotors,generalmotors
2015_chevrolet_cruze,2015,2015,chevrolet,,,0.1432236513728661,0.24489968961188296,0.003091975,146097,0.8886596653480001,3.097,1.6,1.38,0.4455925088795608,2.95,Car,sedan,ICE,FWD,0,0,1853.802,1,1.0,1.0,1.0,1.0,1.0,1.0,2015,0,0,United States,Ohio,generalmotors,generalmotors
2015_chevrolet_equinox,2015,2015,chevrolet,,,0.23033122015839216,0.18235278609019467,0.004761104,224964,0.94552077282,3.829,2.4,1.82,0.4753199268738574,2.3,SUV,suv,ICE,FWD,0,0,2079.297,0,0.975928577,1.113701013,1.248004,1.230358,0.763167896,1.008104914,2015,0,0,Canada,Canada,generalmotors,generalmotors
