product_ids,market_ids,firm_ids,prices,shares,costs,markups,sales,size,weight,hp,mpg,vehicle_type,engine_type,plant_country
2015_bmw_x5,2015,bmw,0.577,0.000839041,0.5205691726949039,0.097800394,39645,1.1479270098659997,5.192,3,2.1,SUV,ICE,United States
2015_bmw_x6,2015,bmw,0.619,9.877169074582358e-05,0.5616362360665191,0.09267167,4667,1.1525999262336002,4.75,3,2.1,SUV,ICE,United States
2015_bmw_z4,2015,bmw,0.4895,2.3978757452194635e-05,0.43368252134310253,0.11402957846148612,1130,0.8906666096640001,3.263,2.4,2.6,Car,ICE,Germany
2015_buick_enclave,2015,buick,0.4445,0.001006743,0.3979466828283101,0.10473187215228329,47569,1.215606172,4.724,2.88,1.9,SUV,ICE,United States
2015_buick_encore,2015,buick,0.27655,0.0011678,0.23531208655445268,0.14911557926431868,55179,0.8174416143504001,3.237,1.38,2.8,SUV,ICE,Korea
2015_buick_lacrosse,2015,buick,0.35725,0.000664714,0.31446588096570055,0.11975960541441416,31408,0.9995409082515999,3.77,3.04,2.1,Car,ICE,United States
2015_buick_regal,2015,buick,0.319,0.000301818,0.27749890681361705,0.13009747080370831,14261,0.965529105,3.702,2.59,2.3,Car,ICE,Canada
2015_buick_verano,2015,buick,0.2502,0.000501647,0.2102294608021821,0.1597543533086246,23703,0.911837442,3.42,1.8,2.5,Car,ICE,United States
2015_cadillac_ats,2015,cadillac,0.44935,0.000340992,0.40031998717951134,0.10911319198951527,16112,0.902574942,3.461,2.72,2.3,Car,ICE,United States
2015_cadillac_cts,2015,cadillac,0.5737,0.00018766,0.5215888269852111,0.09083349,8867,1.096972152,3.834,2.72,2.2,Car,ICE,United States
2015_cadillac_escalade,2015,cadillac,0.7957,0.000558091,0.7376821525974037,0.072914223,26370,1.1398575659380001,5.84,4.2,1.7,SUV,ICE,United States
2015_cadillac_srx,2015,cadillac,0.460825,0.000986892,0.4099008892269405,0.11050639781491775,46631,0.993788825,4.277,3.08,1.9,SUV,ICE,Mexico
2015_cadillac_xts,2015,cadillac,0.55785,0.000251977,0.5057531593163113,0.093388618,11906,1.022624935,4.1105,3.04,2.05,Car,ICE,Canada
2015_chevrolet_camaro,2015,chevrolet,0.35105,0.001493596,0.30110495212672994,0.1422733168302807,70573,0.999326325,3.935,4,1.9,Car,ICE,Canada
2015_chevrolet_caprice,2015,chevrolet,0.32675,1.8933544646285703e-05,0.28010571274241236,0.1427522180798397,813,1.0607054876703998,4.043,3.01,1.85,Car,ICE,Australia
2015_chevrolet_cityexpress,2015,chevrolet,0.22735,0.000191469,0.1774449423199229,0.2195076212011309,9047,0.8810436936132001,3.2515,1.31,2.5,Van,ICE,Mexico
2015_chevrolet_colorado,2015,chevrolet,0.2711,0.00119999,0.22174015682228226,0.1820724573136029,56700,1.2392728373531998,4.01,3.05,2.1,Truck,ICE,United States
2015_chevrolet_corvette,2015,chevrolet,0.6816,0.000475234,0.6222932137308479,0.08701113,22455,0.9078409141204001,3.362,4.55,2,Car,ICE,United States
2015_chevrolet_cruze,2015,chevrolet,0.189675,0.003091975,0.14885611450971448,0.21520435213014646,146097,0.8886596653480001,3.097,1.38,2.95,Car,ICE,United States
2015_chevrolet_equinox,2015,chevrolet,0.2817,0.004761104,0.23645626985077342,0.16060962069303011,224964,0.945520773,3.829,1.82,2.3,SUV,ICE,Canada
2015_chevrolet_express,2015,chevrolet,0.3376,0.000824417,0.28510046742164674,0.15550809413019334,38954,1.232549921,5.873,2.85,1.2,Van,ICE,United States
2015_chevrolet_impala,2015,chevrolet,0.30285,0.001275736,0.2584285307947142,0.1466781218599499,60279,1.1770457580024003,3.8,2.6,2.2,Car,ICE,Canada
2015_chevrolet_impalalimited,2015,chevrolet,0.2734,0.000461224,0.23006835967181333,0.15849173492387217,21793,1.0145249350704002,3.649,3,2.2,Car,ICE,Canada
2015_chevrolet_malibu,2015,chevrolet,0.24665,0.003165604,0.204597803,0.17049340111078454,149576,1.061229099,3.4855,1.96,2.9,Car,ICE,United States
2015_chevrolet_silverado,2015,chevrolet,0.39215,0.01061784,0.3342006185510136,0.14777350873131817,501697,1.331111026,6.236,3.6,1.8,Truck,ICE,United States
