product_ids,market_year,share,own_elasticity,own_elasticity_abs
2015_acura_ilx,2015,0.000109396,-6.692531746933181,6.692531746933181
2015_acura_mdx,2015,0.0004477,-10.785072440386202,10.785072440386202
2015_acura_rdx,2015,0.000588884,-8.426734486592814,8.426734486592814
2015_acura_rlx,2015,2.4798771036296356e-05,-11.463221887508714,11.463221887508714
2015_acura_tlx,2015,0.000976288,-8.348721520990454,8.348721520990454
2015_audi_a3,2015,0.000506239,-7.830354555324664,7.830354555324664
2015_audi_a4,2015,0.000354156,-8.733004060475613,8.733004060475613
2015_audi_a5,2015,0.000127102,-10.354074444901677,10.354074444901677
2015_audi_a6,2015,0.000193882,-10.51673254040911,10.51673254040911
2015_audi_a7,2015,2.383049577454411e-05,-13.518913437452998,13.518913437452998
2015_audi_a8,2015,8.42321253842678e-05,-15.45643060537489,15.45643060537489
2015_audi_q3,2015,0.000164782,-8.028330884051094,8.028330884051094
2015_audi_q5,2015,0.000640863,-9.8731547555898,9.8731547555898
2015_audi_q7,2015,0.000407954,-12.359092273719307,12.359092273719307
2015_audi_s3,2015,5.231920530841482e-05,-9.566108231433448,9.566108231433448
2015_audi_s4,2015,6.304711093460648e-05,-10.915874507105219,10.915874507105219
2015_audi_s5,2015,5.243982376487145e-05,-12.40037134601771,12.40037134601771
2015_audi_sq5,2015,4.53222626153185e-05,-11.733518224493217,11.733518224493217
2015_bmw_2series,2015,0.000101523,-7.770776653906974,7.770776653906974
2015_bmw_2seriesm,2015,7.09412272080567e-05,-10.506716929331441,10.506716929331441
2015_bmw_3series,2015,0.001580516,-8.560880423164386,8.560880423164386
2015_bmw_4series,2015,0.000639127,-10.077190276675514,10.077190276675514
2015_bmw_5series,2015,0.000735761,-11.940532502476874,11.940532502476874
2015_bmw_6series,2015,0.000103999,-15.547772148971523,15.547772148971523
2015_bmw_7series,2015,0.000143068,-16.177233176481323,16.177233176481323
2015_bmw_i3ev,2015,3.262512800606379e-05,-8.759159424188782,8.759159424188782
2015_bmw_i3hybrid,2015,7.847384398362476e-05,-9.567086565305038,9.567086565305038
2015_bmw_m3,2015,4.715305913471072e-05,-13.339384944978182,13.339384944978182
2015_bmw_m4,2015,0.00011566,-13.401500051561113,13.401500051561113
2015_bmw_x1,2015,0.000321077,-7.860144036357104,7.860144036357104
2015_bmw_x3,2015,0.000249945,-9.298515465997404,9.298515465997404
2015_bmw_x4,2015,6.9400631613466e-05,-10.52496569127979,10.52496569127979
2015_bmw_x5,2015,0.000839041,-11.644843335129512,11.644843335129512
2015_bmw_x6,2015,9.877169074582358e-05,-13.114238093606149,13.114238093606149
2015_bmw_z4,2015,2.3978757452194635e-05,-10.786694019302118,10.786694019302118
2015_buick_enclave,2015,0.001006743,-9.564532686323291,9.564532686323291
2015_buick_encore,2015,0.0011678,-6.36944517115973,6.36944517115973
2015_buick_lacrosse,2015,0.000664714,-7.862832518295879,7.862832518295879
2015_buick_regal,2015,0.000301818,-7.253762920290491,7.253762920290491
2015_buick_verano,2015,0.000501647,-5.81312344159754,5.81312344159754
2015_cadillac_ats,2015,0.000340992,-9.816403143240475,9.816403143240475
2015_cadillac_cts,2015,0.00018766,-11.656756140401308,11.656756140401308
2015_cadillac_escalade,2015,0.000558091,-14.430676389785079,14.430676389785079
2015_cadillac_srx,2015,0.000986892,-9.752890533612744,9.752890533612744
2015_cadillac_xts,2015,0.000251977,-11.3859273776698,11.3859273776698
2015_chevrolet_camaro,2015,0.001493596,-7.330004009890997,7.330004009890997
2015_chevrolet_cityexpress,2015,0.000191469,-5.093794776246234,5.093794776246234
2015_chevrolet_colorado,2015,0.00119999,-6.3558650158944445,6.3558650158944445
2015_chevrolet_corvette,2015,0.000475234,-11.886974642766575,11.886974642766575
2015_chevrolet_cruze,2015,0.003091975,-4.495012040190917,4.495012040190917
2015_chevrolet_equinox,2015,0.004761104,-6.211465171838461,6.211465171838461
2015_chevrolet_express,2015,0.000824417,-6.256307298893037,6.256307298893037
2015_chevrolet_impala,2015,0.001275736,-6.787066571241667,6.787066571241667
2015_chevrolet_impalalimited,2015,0.000461224,-6.350157139483748,6.350157139483748
2015_chevrolet_malibu,2015,0.003165604,-5.76652457598958,5.76652457598958
2015_chevrolet_silverado,2015,0.01061784,-6.600981307652602,6.600981307652602
2015_chevrolet_sonic,2015,0.001182424,-4.037721530209654,4.037721530209654
2015_chevrolet_spark,2015,0.000477626,-3.261654180768505,3.261654180768505
2015_chevrolet_sparkev,2015,9.92871572745682e-05,-5.197569150114806,5.197569150114806
2015_chevrolet_ss,2015,4.572345839038289e-05,-9.674753997406684,9.674753997406684
2015_chevrolet_suburban,2015,0.000879464,-10.834480155296623,10.834480155296623
2015_chevrolet_tahoe,2015,0.001630992,-9.542763627059836,9.542763627059836
2015_chevrolet_traverse,2015,0.001827795,-7.533668370629314,7.533668370629314
2015_chevrolet_trax,2015,0.000995082,-5.242647225649646,5.242647225649646
2015_chevrolet_volthybrid,2015,0.000204718,-7.027758567442276,7.027758567442276
2015_chrysler_200,2015,0.003238577,-5.791625594908126,5.791625594908126
2015_chrysler_300,2015,0.000788311,-8.255759437805374,8.255759437805374
2015_chrysler_towncountry,2015,0.001393724,-6.940039532141696,6.940039532141696
2015_dodge_challenger,2015,0.00120471,-7.894210798619252,7.894210798619252
2015_dodge_charger,2015,0.001468242,-7.175504039138228,7.175504039138228
2015_dodge_dart,2015,0.001512686,-4.547769717776916,4.547769717776916
2015_dodge_durango,2015,0.001052775,-8.189859525863257,8.189859525863257
