year_make_model,vehicle_type,pcUSCA_content,pcOth1_content,pcOth2_content,assembly1
2020_astonmartin_db11,PC,3%,66% UK,22% G,UK
2020_astonmartin_dbs,PC,3%,66% UK,22% G,UK
2020_astonmartin_db11,PC,3%,66% UK,22% G,UK
2020_astonmartin_vantage,PC,3%,66% UK,22% G,UK
2020_audi_etronev,MPV,1%,25%G,,BE
2020_audi_etronev,MPV,1%,26%G,,BE
2020_audi_a3,PC,0%,50%G,26%H,G
2020_audi_a3,PC,0%,47%G,30%H,G
2020_audi_s3,PC,0%,61%G,,G
2020_audi_rs3,PC,0%,45%G,37%H,G
2020_audi_a4,PC,1%,52%G,,G
2020_audi_a4,PC,1%,52%G,17%H,G
2020_audi_s4,PC,1%,50%G,22%H,G 
2020_audi_allroad,MPV,1%,49%G,,G
2020_audi_a5,PC,1%,52%G,,G
2020_audi_s5,PC,1%,43%G,26%H,G
2020_audi_a5,PC,1%,51%G,16%H,G
2020_audi_s5,PC,1%,39%G,31%H,G
2020_audi_a5,PC,1%,49%G,15%H,G
2020_audi_s5,PC,1%,39%G,31%H,G
2020_audi_a6,PC,1%,51%G,15%H,G
2020_audi_s6,PC,0%,52%G,24%H,G
2020_audi_a6,PC,1%,47%G,19%H,G
2020_audi_a7,PC,1%,44%G,22%H,G
2020_audi_s7,PC,0%,50%G,24%H,G
2020_audi_a8,PC,1%,68%G,,G
2020_audi_a8,PC,1%,46%G,22%H,G
2020_audi_a8hybrid,PC,1%,48%G,,G
2020_audi_s8,PC,0%,69%G,,G
2020_audi_q3,MPV,1%,44%H,31%G,H
2020_audi_q5,MPV,3%,77%M,,M
2020_audi_q5hybrid,MPV,2%,46%M,20%G,M
2020_audi_sq5,MPV,3%,63%M,23%H,M
2020_audi_q7,MPV,1%,32%SL,22%G,SL
2020_audi_q7,MPV,1%,36%SL,28%G,SL
2020_audi_sq7,MPV,1%,50%G,27%SL,SL
2020_audi_q8,MPV,1%,34%G,28%SL,SL
2020_audi_sq8,MPV,1%,60%G,19%SL,SL
2020_audi_rsq8,MPV,1%,60%G,19%SL,SL
2020_audi_r8,PC,3%,53%G,20%H,G
2020_audi_r8,PC,3%,64%G,18%H,G
2020_audi_tt,PC,1%,52%H,35%G,H
2020_audi_tts,PC,1%,49%H,36%G,H
2020_audi_ttrs,PC,1%,62%H,27%G,H
2020_audi_tt,PC,1%,48%H,32%G,H
2020_audi_tt,PC,1%,48%H,32%G,H
2020_bentley_bentayga,MPV,0%,63% G,,UK
2020_bentley_bentayga,MPV,0%,64% G,,UK
2020_bentley_bentaygahybrid,MPV,0%,49%G,,UK
2020_bentley_flyingspur,PC,0%,68%G,,UK
2020_bentley_mulsanne,PC,0%,41%UK,37%G,UK
2020_bentley_mulsanne,PC,0%,42% UK,35% G,UK
2020_bentley_continental,PC,0%,73% G, ,UK
2020_bentley_continental,PC,0%,70%G, ,UK
2020_bentley_continental,PC,0%,71%G, ,UK
2020_bentley_continental,PC,0%,70%G,,UK
2020_bmw_2series,PC,5%,65% G,,G
2020_bmw_3series,PC,5%,60% G,,G
2020_bmw_3series,PC,5%,45% G,30% MX,MX
2020_bmw_4series,PC,5%,65% G,,G
2020_bmw_4series,PC,5%,60% G,,G
2020_bmw_5series,PC,5%,60% G,,G
2020_bmw_7series,PC,5%,60% G,,G
2020_bmw_8series,PC,5%,60% G,,G
2020_bmw_8series,PC,5%,60% G,,G
2020_bmw_x1,MPV,5%,50% G,,G
2020_bmw_x2,MPV,5%,45% G,,G
2020_bmw_x3,MPV,31%,25% G,16% MX,US
2020_bmw_x3hybrid,MPV,31%,25% G,16% MX,US
2020_bmw_x3,MPV,31%,26% G,16% MX,US
2020_bmw_x4,MPV,30%,28% G,18% MX,US
2020_bmw_x4,MPV,31%,25% G,18% MX,US
2020_bmw_x5,MPV,31%,23% G,20% MX,US
2020_bmw_x6,MPV,16%,36% G,,US
2020_bmw_x6,MPV,27%,29% G,19% MX,US
2020_bmw_x7,MPV,23%,27% G,20% M,US
2020_bmw_i3ev,PC,5%,35% G,20% CH,G
2020_bmw_i8hybrid,PC,5%,60% G, ,G
2020_bmw_z4,PC,5%,50% G,15% PL,A
2020_mini_cooper,PC,5%,35% G,20% UK,UK
2020_mini_cooper,PC,5%,35% G,20% UK,UK
2020_mini_cooper,PC,5%,35% G,25% UK,N
2020_mini_cooper,PC,5%,35% G,20% UK,UK
2020_mini_cooper,MPV,5%,50% G,,N
2020_toyota_supra,PC,5%,50% G,15% A,A
2020_rollsroyce_phantom,PC,5%,65% G,15% UK,UK
2020_rollsroyce_ghost,PC,5%,65% G,15% UK,UK
2020_rollsroyce_wraith,PC,5%,65% G,15% UK,UK
2020_rollsroyce_dawn,PC,5%,65% G,15% UK,UK
2020_rollsroyce_cullinan,MPV,5%,60% G,15% UK,UK
2020_bugatti_chiron,PC,N/A,N/A,,F
2020_alfaromeo_4c,PC,0%,95% I,,Modena Italy
2020_alfaromeo_giulia,PC,0%,69% I,,Cassino Italy
2020_alfaromeo_stelvio,MPV,0%,55% I,,Cassni o Italy
2020_chrysler_300,PC,68%,20% M,,Brampton ON Canada
2020_chrysler_pacifica,MPV,54%,22%M,,Windsor ON Canada
2020_chrysler_voyager,MPV,54%,22% M,,Windsor ON Canada
2020_dodge_challenger,PC,60%,27% M,,Brampton ON Canada
2020_dodge_charger,PC,66%,22%M,,Brampton ON Canada
2020_dodge_durango,MPV,58%,26%M,,Detroit Ml USA
2020_dodge_grandcaravan,MPV,74%,14% M,,Windsor ON Canada
2020_dodge_journey,MPV,25%,69% M,,Toluca Mexico
2020_fiat_500l,MPV,0%,21% Serbia,19% I,Kragujevac Serbia
2020_fiat_500x,MPV,0%,62% I,20% PL,Melfi Italy
2020_jeep_cherokee,MPV,61%,21% M,,Belvidere IL USA
2020_jeep_compass,MPV,23%,68% M,,Toluca Mexico
2020_jeep_gladiator,Truck,61%,21% M,,Toledo OH USA
2020_jeep_grandcherokee,MPV,58%,26%M,,Detroit Ml USA
2020_jeep_renegade,MPV,14%,63% I,,Melfi Italy
2020_jeep_wrangler,MPV,58%,19% M ,,Toledo OH USA
2020_ram_1500,Truck,53%,26% M ,,Sterling Heights MI USA
2020_ram_1500classic,Truck,55%,29% M,,Warren MI USA    Saltillo Mexico (Reg. Cab)
2020_ram_promaster,MPV,34%,44% T,18% I,Bursa Turkey
2020_ford_ecosport,MPV,15%,60% IN,,IN
2020_ford_edge,MPV,40%,16% MX,,US
2020_ford_escape,MPV,42%,30% MX,,US
2020_ford_escape,MPV,42%,30% MX,,US
2020_ford_expedition,MPV,51%,20% MX,,US
2020_ford_explorer,MPV,55%,17% MX,,US
2020_ford_f150,Truck,50%,,,US
2020_ford_f150,Truck,50%,,,US
2020_ford_f150,Truck,50%,,,US
2020_ford_ranger,MPV,70%,,,US
2020_ford_fusion,PC,26%,55% MX,,MX
2020_ford_fusion,PC,26%,55% MX,,MX
2020_ford_gt,PC,12%,,,CN
