year_make_model,vehicle_type,pcUSCA_content,pcOth1_content,pcOth2_content,assembly1
2024_ford_escapehybrid,MPV,32%,25% M,,US
2024_ford_expedition,MPV,25%,15% M,,US
2024_ford_explorer,MPV,27%,,,US
2024_ford_f150ev,Truck,24%,,,US
2024_ford_f150,Truck,32%,,,US
2024_ford_f150,Truck,32%,,,US
2024_ford_maverick,MPV,20%,55% M,,M
2024_ford_mustang,PC,60%,17% M,,US
2024_ford_mustangmacheev,MPV,26%,51% CH,18% M,M
2024_ford_ranger,MPV,8%,,,US
2024_lincoln_aviator,MPV,27%,,,US
2024_lincoln_corsair,PC,47%,25% M,,US
2024_lincoln_corsairhybrid,PC,47%,25% M,,US
2024_lincoln_nautilus,MPV,13%,86% CH,,CH
2024_lincoln_navigator,MPV,23%,,,US
2024_buick_enclave,MPV,31%,35% M,,US
2024_buick_encoregx,MPV,2%,50% K,18% CH,K
2024_buick_envista,MPV,3%,55% K,21% M,K
2024_cadillac_ct4,PC,38%,21% M,15% CH,US
2024_cadillac_ct5,PC,38%,21% M,15% CH,US
2024_cadillac_escalade,MPV,37%,36% M,,US
2024_cadillac_xt4,MPV,39%,17% M,15% CH,US
2024_cadillac_xt5,MPV,31%,35% M,,US
2024_cadillac_xt6,MPV,31%,35% M,,US
2024_chevrolet_blazer,MPV,31%,35% M,,M
2024_chevrolet_blazerev,PC,62%,18% CH,,M
2024_chevrolet_boltev,PC,28%,28% T,21% CH,US
2024_chevrolet_bolteuv,PC,28%,28% T,21% CH,US
2024_chevrolet_brightdrop,MPV,77%,,,US
2024_chevrolet_camaro,PC,45%,18% M,,US
2024_chevrolet_colorado,Truck,51%,19% M,,US
2024_chevrolet_corvette,PC,40%,31% M,,US
2024_chevrolet_equinox,MPV,20%,42% M,,M
2024_chevrolet_equinoxev,PC,62%,18% CH,,M
2024_chevrolet_express,MPV,54%,22% M,,US
2024_chevrolet_lyricev,PC,62%,18% CH,,US
2024_chevrolet_malibu,PC,39%,17% M,15% CH,US
2024_chevrolet_origin,MPV,28%,28% TW,21% CH,US
2024_chevrolet_silverado,Truck,37%,36% M,,US
2024_chevrolet_silveradoev,Truck,36%,33% K,,US
2024_chevrolet_tahoe,MPV,37%,36% M,,US
2024_chevrolet_trailblazer,MPV,3%,55% K,21% M,K
2024_chevrolet_traverse,MPV,31%,35% M,,US
2024_chevrolet_traverse,MPV,35%,27% M,,US
2024_chevrolet_trax,MPV,2%,50% K,18% CH,K
2024_gmc_acadia,MPV,31%,35% M,,US
2024_gmc_canyon,Truck,51%,19% M,,US
2024_gmc_hummer,T/MPV,36%,33% K,,US
2024_gmc_savana,MPV,54%,22% M,,US
2024_gmc_sierra,Truck,37%,36% M,,US
2024_gmc_terrain,MPV,20%,42% M,,M
2024_gmc_yukon,MPV,37%,36% M,,US
2024_honda_prologueev,MPV,38%,22% K,16% M,M
2024_acura_zdxev,MPV,63%,19% M,16% CH,US
2024_acura_integra,PC,60%,15% J,,US
2024_acura_integra,PC,60%,15% J,,US
2024_acura_integra,PC,65%,,,US
2024_acura_integra,PC,65%,,,US
2024_acura_mdx,MPV,65%,,,US
2024_acura_mdx,MPV,65%,,,US
2024_acura_mdx,MPV,55%,,,US
2024_acura_rdx,MPV,65%,,,US
2024_acura_rdx,MPV,65%,,,US
2024_acura_tlx,PC,65%,,,US
2024_acura_tlx,PC,65%,,,US
2024_acura_tlx,PC,55%,15% J,,US
2024_honda_accord,PC,65%,,,US
2024_honda_accord,PC,65%,,,US
2024_honda_accord,PC,50%,25% J,,US
2024_honda_civic,PC,60%,,,J
2024_honda_civic,PC,60%,,,US
2024_honda_civic,PC,60%,,,US
2024_honda_civic,PC,60%,,,US
2024_honda_civic,PC,65%,,,CN
2024_honda_civic,PC,65%,,,CN
2024_honda_civic,PC,65%,,,CN
2024_honda_crv,MPV,60%,,,CN
2024_honda_crv,MPV,60%,,,US
2024_honda_crv,MPV,60%,,,US
2024_honda_crv,MPV,60%,,,US
2024_honda_crv,MPV,60%,,,US
2024_honda_crv,MPV,60%,15% J,,CN
2024_honda_crv,MPV,60%,15% J,,CN
2024_honda_crv,MPV,60%,15% J,,US
2024_honda_crv,MPV,60%,15% J,,US
2024_honda_crv,MPV,60%,15% J,,US
2024_honda_crv,MPV,60%,15% J,,US
2024_honda_hrv,MPV,30%,40% M,,M
2024_honda_hrv,MPV,30%,40% M,,M
2024_honda_odyssey,MPV,70%,,,US
2024_honda_passport,MPV,75%,,,US
2024_honda_pilot,MPV,70%,,,US
2024_honda_pilot,MPV,70%,,,US
2024_honda_pilot,MPV,70%,,,US
2024_honda_pilot,MPV,70%,,,US
2024_honda_ridgeline,Truck,70%,,,US
2024_honda_ridgeline,Truck,70%,,,US
2024_genesis_g80,PC,2%,80% K,,K
2024_genesis_g80ev,PC,2%,65% K,30% CH,K
2024_genesis_g90,PC,3%,80% K,,K
2024_genesis_gv60ev,MPV,1%,90% K,,K
2024_genesis_gv70,MPV,25%,70% K,,US
2024_genesis_gv70,MPV,2%,80% K,,K
2024_genesis_gv70ev,MPV,17%,80% K,,US
2024_genesis_gv80,MPV,3%,80% K,,K
2024_hyundai_elantra,PC,1%,95% K,,K
2024_hyundai_elantrahybrid,PC,0%,85% K,,K
2024_hyundai_elantran,PC,0%,80% K,,K
2024_hyundai_ioniq5ev,PC,1%,95% K,,K
2024_hyundai_ioniq5ev,PC,20%,35% H,20% K,SI
2024_hyundai_ioniq6ev,PC,0%,95% K,,K
2024_hyundai_kona,MPV,3%,90% K,,K
2024_hyundai_konaev,MPV,0%,60% K,40% CH,K
2024_hyundai_nexo,MPV,1%,80% K,,K
2024_hyundai_palisade,MPV,2%,80% K,,K
2024_hyundai_santacruz,MPV,55%,35% K,,US
2024_hyundai_santafe,MPV,50%,30% K,,US
2024_hyundai_santafehybrid,MPV,40%,45% K,,US
2024_hyundai_sonata,PC,1%,95% K,,K
2024_hyundai_sonatahybrid,PC,1%,85% K,,K
2024_hyundai_tucson,MPV,1%,85% K,,K
2024_hyundai_tucsonhybrid,MPV,0%,80%K,,K
2024_hyundai_tucsonhybrid,MPV,0%,85% K,,K
2024_hyundai_venue,MPV,1%,90% K,,K
2024_jaguar_epace,MPV,14%,62% G,21% UK,AU
2024_jaguar_fpace,MPV,0%,61% UK,15% G,UK
2024_jaguar_fpace,MPV,0%,61% UK,15% G,UK
2024_jaguar_fpace,MPV,0%,66% UK,11% G,UK
2024_jaguar_ftype,PC,8%,50% G,41% UK,UK
2024_jaguar_ftype,PC,8%,50% G,41% UK,UK
2024_jaguar_ftype,PC,8%,50% G,41% UK,UK
2024_jaguar_ftype,PC,8%,50% G,41% UK,UK
2024_jaguar_ipaceev,MPV,0%,74% Poland,,AU
2024_jaguar_ipaceev,MPV,0%,74% Poland,,AU
2024_jaguar_xf,PC,4%,50% UK,43% G,UK
2024_jaguar_xf,PC,4%,48% G,46% UK,UK
2024_landrover_defender,MPV,1%,31% UK,19% G,SL
2024_landrover_defender,MPV,1%,31% UK,19% G,SL
2024_landrover_defender,MPV,1%,31% UK,19% G,SL
2024_landrover_discovery,MPV,0%,72% UK,12% G,SL
2024_landrover_discovery,MPV,0%,72% UK,12% G,SL
2024_landrover_discoverysport,MPV,7%,50% UK,,UK
2024_landrover_rangerover,MPV,5%,54% UK,15% G,UK
2024_landrover_rangerover,MPV,5%,60% UK,8% G,UK
2024_landrover_rangerover,MPV,5%,50% UK,18% G,UK
2024_landrover_rangerover,MPV,5%,54% UK,15% G,UK
2024_landrover_rangerover,MPV,5%,60% UK,8% G,UK
2024_landrover_rangerover,MPV,5%,50% UK,18% G,UK
2024_landrover_rangeroverevoque,MPV,9%,54% UK,15% G,UK
2024_landrover_rangeroversporthybrid,MPV,5%,54% UK,15% G,UK
2024_landrover_rangeroversport,MPV,5%,60% UK,8% G,UK
2024_landrover_rangeroversport,MPV,5%,50% UK,18% G,UK
2024_landrover_rangerovervelar,MPV,8%,60% UK,,UK
2024_landrover_rangerovervelar,MPV,8%,60% UK,,UK
2024_kia_carnival,MPV,1%,95% K,,K
2024_kia_ev6ev,MPV,0%,95% K,,K
2024_kia_ev9ev,MPV,1%,95% K,,K
2024_kia_forte,PC,10%,35% K,50% M,M
2024_kia_k5,PC,60%,30% K,,US
2024_kia_niroev,MPV,1%,60% K,30% CH,K
2024_kia_nirohybrid,MPV,1%,90% K,,K
2024_kia_nirohybrid,MPV,1%,90% K,,K
2024_kia_seltos,MPV,4%,85% K,,K
2024_kia_sorento,MPV,60%,30% K,,US
2024_kia_sorentohybrid,MPV,1%,90% K,,K
2024_kia_sorentohybrid,MPV,1%,90% K,,K
2024_kia_soul,MPV,1%,85% K,,K
2024_kia_sportage,MPV,55%,30% K,,US
2024_kia_sportage,MPV,0%,90% K,,K
2024_kia_sportagehybrid,MPV,1%,90% K,,K
2024_kia_sportagehybrid,MPV,0%,90% K,,K
2024_kia_telluride,MPV,60%,30% K,,US
2024_lamborghini_huracan,PC,0%,61% G,15% I,I
2024_lamborghini_huracan,PC,0%,61% G,17% I,I
2024_lamborghini_huracan,PC,0%,43% I,40% G,I
2024_lamborghini_huracan,PC,0%,62% G,15% H,I
2024_lamborghini_revuelto,PC,0%,48% I,26% G,I
2024_lamborghini_urus,MPV,0%,56% G,18% I,I
2024_lamborghini_urus,MPV,0%,61% G,,I
2024_lotus_emira,PC,10%,35% UK,,UK
2024_mazda_cx5,MPV,5%,90% J,,J
2024_mazda_cx50,MPV,50%,30% M,15% J,US
2024_mazda_cx70hybrid,MPV,0%,95% J,,J
2024_mazda_cx70hybrid,MPV,0%,95% J,,J
2024_mazda_cx90hybrid,MPV,0%,90% J,,J
2024_mazda_cx90hybrid,MPV,0%,90% J,,J
2024_mazda_3,PC,0%,85% J,,J
2024_mazda_3,PC,10%,70% M,15% J,M
2024_mazda_mx5miata,PC,0%,85% J,,J
2024_mercedesbenz_amggt,PC,0%,50% G,,G
2024_mercedesbenz_amggthybrid,PC,0%,50% G,,G
2024_mercedesbenz_c,PC,0%,20% G,10% SA,SA
2024_mercedesbenz_cla,PC,0%,25% G,10% H,H
2024_mercedesbenz_cla,PC,0%,25% G,10% H,H
2024_mercedesbenz_cla,PC,0%,25% G,10% H,H
2024_mercedesbenz_eqbev,MPV,0%,15% G,10% H,H
2024_mercedesbenz_eqesedanev,PC,0%,35% G,,G
2024_mercedesbenz_eqesuvev,PC,10%,10% G,,US
2024_mercedesbenz_eqssedanev,PC,0%,35% G,,G
2024_mercedesbenz_eqssuvev,MPV,10%,15% G,,US
2024_mercedesbenz_g,MPV,0%,25% G,15% AT,AT
2024_mercedesbenz_gla,MPV,0%,35% G,,G
2024_mercedesbenz_gla,MPV,0%,35% G,,G
2024_mercedesbenz_glb,MPV,0%,15% G,10% M,M
2024_mercedesbenz_glc,MPV,0%,30% G,,G
2024_mercedesbenz_glc,MPV,0%,30% G,,G
2024_mercedesbenz_gle,MPV,10%,25% G,,US
2024_mercedesbenz_gle,MPV,10%,25% G,,US
2024_mercedesbenz_glehybrid,MPV,10%,25% G,,US
2024_mercedesbenz_gle,MPV,10%,25% G,,US
2024_mercedesbenz_gle,PC,10%,25% G,,US
2024_mercedesbenz_gle,PC,10%,25% G,,US
2024_mercedesbenz_gle,PC,10%,25% G,,US
2024_mercedesbenz_gle,PC,10%,25% G,,US
2024_mercedesbenz_gls,MPV,10%,25% G,,US
2024_mercedesbenz_gls,MPV,10%,25% G,,US
2024_mercedesbenz_gls,MPV,10%,25% G,,US
2024_mercedesbenz_gls,MPV,10%,25% G,,US
2024_mercedesbenz_s,PC,0%,40% G,,G
2024_mercedesbenz_s,PC,0%,40% G,,G
2024_mercedesbenz_shybrid,PC,0%,40% G,,G
2024_mercedesbenz_s,PC,0%,35% G,,G
2024_mercedesbenz_sl,PC,0%,50% G,,G
2024_mitsubishi_eclipsecross,MPV,0%,100% J,,J
2024_mitsubishi_eclipsecross,MPV,0%,100% J,,J
2024_mitsubishi_eclipsecross,MPV,0%,100% J,,J
2024_mitsubishi_eclipsecross,MPV,0%,100% J,,J
2024_mitsubishi_eclipsecross,MPV,0%,100% J,,J
2024_mitsubishi_eclipsecross,MPV,0%,100% J,,J
2024_mitsubishi_mirage,PC,0%,91% TH,,TH
2024_mitsubishi_mirage,PC,0%,91% TH,,TH
2024_mitsubishi_mirage,PC,0%,91% TH,,TH
2024_mitsubishi_mirage,PC,0%,91% TH,,TH
2024_mitsubishi_mirage,PC,0%,91% TH,,TH
2024_mitsubishi_mirage,PC,0%,91% TH,,TH
2024_mitsubishi_mirage,PC,0%,91% TH,,TH
2024_mitsubishi_mirage,PC,0%,90% TH,,TH
2024_mitsubishi_mirage,PC,0%,90% TH,,TH
2024_mitsubishi_outlander,MPV,4%,85% J,,J
2024_mitsubishi_outlander,MPV,4%,84% J,,J
2024_mitsubishi_outlander,MPV,5%,82% J,,J
2024_mitsubishi_outlander,MPV,5%,83% J,,J
2024_mitsubishi_outlanderhybrid,MPV,0%,94% J,,J
2024_mitsubishi_outlanderhybrid,MPV,0%,94% J,,J
2024_mitsubishi_outlanderhybrid,MPV,0%,95% J,,J
2024_mitsubishi_outlanderhybrid,MPV,0%,95% J,,J
2024_mitsubishi_outlanderhybrid,MPV,0%,95% J,,J
2024_mitsubishi_outlanderhybrid,MPV,0%,95% J,,J
2024_mitsubishi_outlanderhybrid,MPV,0%,95% J,,J
2024_mitsubishi_outlander,MPV,4%,85% J,,J
2024_mitsubishi_outlander,MPV,4%,82% J,,J
2024_mitsubishi_outlander,MPV,4%,87% J,,J
2024_mitsubishi_outlander,MPV,4%,86% J,,J
2024_mitsubishi_outlander,MPV,4%,85% J,,J
2024_mitsubishi_outlander,MPV,4%,82% J,,J
2024_mitsubishi_outlandersport,MPV,0%,93% J,,J
2024_mitsubishi_outlandersport,MPV,0%,95% J,,J
2024_mitsubishi_outlandersport,MPV,0%,95% J,,J
2024_mitsubishi_outlandersport,MPV,0%,95% J,,J
2024_mitsubishi_outlandersport,MPV,0%,92% J,,J
2024_mitsubishi_outlandersport,MPV,1%,92% J,,J
2024_mitsubishi_outlandersport,MPV,0%,95% J,,J
2024_infiniti_q50,PC,0%,90% J,,J
2024_infiniti_qx50,MPV,15%,45% M,25% J,M
2024_infiniti_qx55,MPV,10%,55% M,20% J,M
2024_infiniti_qx60,MPV,45%,,,US
2024_infiniti_qx80,MPV,5%,90% J,,J
2024_nissan_altima,PC,50%,15% M,,US
2024_nissan_altima,PC,50%,15% M,,US
2024_nissan_armada,MPV,5%,90% J,,J
2024_nissan_frontier,Truck,40%,20% J,,US
2024_nissan_gtr,PC,0%,95% J,,J
2024_nissan_kicks,PC,15%,65% M,,M
2024_nissan_leafev,PC,30%,45% J,,US
2024_nissan_murano,MPV,55%,,,US
2024_nissan_pathfinder,MPV,50%,,,US
2024_nissan_rogue,MPV,25%,45% J,,US
2024_nissan_rogue,MPV,25%,45% J,,J
2024_nissan_sentra,PC,15%,65% M,,M
2024_nissan_titan,Truck,45%,15% J,,US
2024_nissan_versa,PC,15%,70% M,,M
2024_nissan_versa,PC,15%,70% M,,M
2024_nissan_z,PC,0%,90% J,,J
2024_polestar_2ev,PC,0%,95% CH,,CH
2024_polestar_2ev,PC,0%,95% CH,,CH
2024_porsche_boxster,PC,0%,75% G,,G
2024_porsche_boxster,PC,0%,75% G,,G
2024_porsche_boxster,PC,0%,75% G,,G
2024_porsche_cayman,PC,0%,75% G,,G
2024_porsche_cayman,PC,0%,70% G,,G
2024_porsche_cayman,PC,0%,70% G,,G
2024_porsche_cayman,PC,0%,75% G,,G
2024_porsche_911,PC,0%,75% G,,G
2024_porsche_911,PC,0%,75% G,,G
2024_porsche_911,PC,0%,65% G,,G
2024_porsche_911,PC,0%,60% G,,G
2024_porsche_911,PC,0%,75% G,,G
2024_porsche_911,PC,0%,65% G,,G
2024_porsche_911,PC,0%,70% G,,G
2024_porsche_911,PC,0%,70% G,,G
2024_porsche_911,PC,0%,75% G,,G
2024_porsche_cayenne,MPV,0%,25% G,30% SL,SL
2024_porsche_cayenne,MPV,0%,25% G,30% SL,SL
2024_porsche_cayennehybrid,MPV,0%,30% G,25% SL,SL
2024_porsche_cayennehybrid,MPV,0%,35% G,25% SL,SL
2024_porsche_cayenne,MPV,0%,45% G,30% SL,SL
2024_porsche_cayenne,MPV,0%,45% G,25% SL,SL
2024_porsche_cayenne,MPV,0%,50% G,25% SL,SL
2024_porsche_macan,MPV,0%,60% G,,G
2024_porsche_macan,MPV,0%,60% G,15% H,G
2024_porsche_macan,MPV,0%,65% G,15% H,G
2024_porsche_taycanev,PC,0%,40% G,30% P,G
2024_porsche_taycanev,PC,0%,40% G,30% P,G
2024_porsche_taycanev,PC,0%,45% G,30% P,G
2024_porsche_taycanev,PC,0%,45% G,30% P,G
2024_rollsroyce_cullinan,MPV,1%,29% G,,UK
2024_rollsroyce_ghost,PC,1%,29% G,,UK
2024_rollsroyce_phantom,PC,1%,29% G,,UK
2024_rollsroyce_spectreev,PC,1%,53% G,,UK
2024_subaru_ascent,MPV,50%,30% J,,US
