year_make_model,vehicle_type,pcUSCA_content,pcOth1_content,pcOth2_content,assembly1
2017_acura_ilx,PC,55%,25% J,,US
2017_acura_mdx,MPV,70%,,,US
2017_acura_mdxhybrid,MPV,70%,,,US
2017_acura_nsxhybrid,PC,45%,30%  J,,US
2017_acura_rdx,MPV,75%,,,US
2017_acura_rdx,MPV,75%,,,US
2017_acura_rlx,PC,20%,80%  J,,J
2017_acura_rlxhybrid,PC,10%,80%  J,,J
2017_acura_tlx,PC,65%,,,US
2017_acura_tlx,PC,65%,,,US
2017_audi_a3,PC,1%,57%G,37%H,G
2017_audi_a3,PC,1%,62% G,32% H,G
2017_audi_a3,PC,0%,67%G,15%SL,G
2017_audi_a4,PC,1%,59%G,16%H,G
2017_audi_a4,PC,1%,59%G,15%H,G
2017_audi_a4allroad,PC,1%,53%G,19%H,G
2017_audi_a5,PC,1%,64%G,,G
2017_audi_a5,PC,1%,63%G,,G
2017_audi_a5,PC,1%,69%G,,G
2017_audi_a6,PC,1%,60%G,,G
2017_audi_a6,PC,1%,57%G,20%H,G
2017_audi_a6,PC,1%,59%G,,G
2017_audi_a6,PC,1%,58%G,18%H,G
2017_audi_a7,PC,1%,60%G,18%H,G
2017_audi_a7,PC,1%,63%G,17%H,G
2017_audi_a8,PC,1%,64%G,,G
2017_audi_a8,PC,1%,60%G,19%H,G
2017_audi_a4allroad,MPV,2%,53%G,,G
2017_audi_q3,MPV,1%,44%SP,22%G,SP
2017_audi_q3,MPV,1%,43%SP,22%G,SP
2017_audi_q5,MPV,1%,58%G,17%H,G
2017_audi_q5,MPV,1%,56%G,21%H,G
2017_audi_q7,MPV,1%,45%SL,30%G,SL
2017_audi_q7,MPV,1%,47%SL,26%G,SL
2017_audi_q7,MPV,0%,37% SL,30%  G,G
2017_audi_r8,PC,1%,53%G,24%H,G
2017_audi_r8,PC,1%,57%G,21%H,G
2017_audi_r8,PC,1%,60%  G,23% H,G
2017_audi_rs3,PC,1%,56%  G,38%  H,G
2017_audi_rs7,PC,1%,61%G,21%H,G
2017_audi_rs7,PC,1%,65%G,18%H,G
2017_audi_s3,PC,0%,60%G,31%H,G
2017_audi_s5,PC,1%,60%G,20%H,G
2017_audi_s5,PC,1%,59%G,21%H,G
2017_audi_s5,PC,1%,65%G,18%H,G
2017_audi_s6,PC,1%,54%G,25%H,G
2017_audi_s7,PC,1%,57%G,23%H,G
2017_audi_s8,PC,1%,59%G,19%H,G
2017_audi_sq5,MPV,1%,60%G,20%H,G
2017_audi_tt,PC,1%,51%G,41%H,H
2017_audi_tt,PC,1%,51%G,38%H,H
2017_audi_tts,PC,1%,52%G,38%H,H
2017_bentley_bentayga,MPV,0%,57% G,,UK
2017_bentley_continental,PC,1%,70% G,16% UK,UK
2017_bentley_continental,PC,1%,67% G,19% UK,UK
2017_bentley_continental,PC ,1%,70% G,16% UK,UK
2017_bentley_continental,PC,1%,67% G,19% UK,UK
2017_bentley_continental,PC,1%,58% G,16% UK,UK
2017_bentley_continental,PC,1%,56% G,19% UK,UK
2017_bentley_continental,PC,1%,55% G,21% UK,UK
2017_bentley_continental,PC,1%,53% G,24% UK,UK
2017_bentley_continental,PC,0%,58% G,20% UK,UK
2017_bentley_flyingspur,PC,0%,62% G,16% UK,UK
2017_bentley_flyingspur,PC,0%,62% G,16% UK,UK
2017_bentley_flyingspur,PC,0%,71% G,15% UK,UK
2017_bentley_flyingspur,PC,0%,70% G,16% UK,UK
2017_bentley_mulsanne,PC,1%,40% G,40% UK,UK
2017_bentley_mulsanne,PC,0%,43% G,39% UK,UK
2017_bentley_mulsanne,PC,1%,40% G,40% UK,UK
2017_bmw_2series,PC,5%,65%  G,,G
2017_bmw_3series,PC,5%,60%  G,,G
2017_bmw_3series,PC,5%,60% G,,G
2017_bmw_3series,PC,5%,60% G,,G
2017_bmw_4series,PC,5%,60%  G,,G
2017_bmw_4series,PC,5%,65%  G,,G
2017_bmw_5series,PC,5%,70%  G,,G
2017_bmw_5series,PC,5%,55%  G,,G
2017_bmw_6series,PC,5%,75%  G,,G
2017_bmw_6series,PC,5%,75%  G,,G
2017_bmw_7series,PC,5%,60%  G,,G
