year_make_model,vehicle_type,pcUSCA_content,pcOth1_content,pcOth2_content,assembly1
2019_astonmartin_rapide,PC,3%,35% G,24% UK,UK
2019_astonmartin_vanquish,PC,3%,66% UK,22% G,UK
2019_astonmartin_db11amr,PC,3%,66% UK,22% G,UK
2019_astonmartin_dbs,PC,3%,66% UK,22% G,UK
2019_astonmartin_db11,PC,3%,66% UK,22% G,UK
2019_astonmartin_vantage,PC,3%,66% UK,20% G,UK
2019_audi_etronev,MPV,0%,32%PL,27%G,BE
2019_audi_a3,PC,1%,59% G,28% H,H
2019_audi_a3,PC,1%,50% H,35% G,H
2019_audi_s3,PC,1%,46% H,39% G,H
2019_audi_rs3,PC,1%,49%H,37%G,H
2019_audi_a3,PC,1%,53% H,30% G,H
2019_audi_a3,PC,1%,47%H,36% G,H
2019_audi_a4,PC,1%,55% G,16% H,G
2019_audi_a4,PC,1%,58% G,15%H,G
2019_audi_s4,PC,1%,55% G,21% H,G 
2019_audi_a4allroad,MPV,1%,54% G,,G
2019_audi_a5,PC,1%,68% G,,G
2019_audi_a5,PC,1%,66% G,16% H,G
2019_audi_a5,PC,2%,57% G,15% H,G
2019_audi_s5,PC,1%,56% G,21%H,G
2019_audi_rs5,PC,1%,54% G,23% H,G
2019_audi_a5,PC,1%,59%G,15%H,G
2019_audi_s5,PC,1%,56%G,21%H,G
2019_audi_rs5,PC,1%,48% G,27% H,G
2019_audi_a6,PC,1%,53% G,21% H,G
2019_audi_a6,PC,1%,51% G,21% H,G
2019_audi_s6,PC, , , ,G
2019_audi_a7,PC,1%,54% G,22% H,G
2019_audi_s7,PC, , , ,G
2019_audi_rs7,PC,1%,61%G,21%H,G
2019_audi_rs7performance,PC,1%,65%G,18%H,G
2019_audi_a8,PC,0%,55%G,16%H,G
2019_audi_a8,PC,0%,70%G, ,G
2019_audi_a8,PC, , , ,G
2019_audi_q3,MPV, , , ,SP
2019_audi_q5,MPV,3%,79% M,15% G,M
2019_audi_sq5,MPV,2%,61% M,15% G,M
2019_audi_q7,MPV,1%,37%SL,30%G,SL
2019_audi_q7,MPV,1%,32%SL,28% G,SL
2019_audi_q8,MPV,1%,39% SL,27% G,SL
2019_audi_r8,PC,1%,53%G,23%H,G
2019_audi_r8v10pluscoupe,PC,1%,58%G,20%H,G
2019_audi_r8ev,PC,1%,56%G,24%H,G
2019_audi_r8v10spyder,PC,1%,60%G,23%H,G
2019_audi_r8,PC,1%,66%G,18%H,G
2019_audi_tt,PC,1%,53% H,36% G,H
2019_audi_tts,PC,1%,48% H,41% G,H
2019_audi_ttrs,PC,1%,50%H,41%G,H
2019_audi_tt,PC,1%,52%H,37%G,H
2019_bmw_i3ev,PC,5%,35% G,20% CH,G
2019_bmw_i8hybrid,PC,5%,60%  G,,G
2019_bmw_2series,PC,5%,65% G,,G
2019_bmw_4series,PC,5%,65%  G,,G
2019_bmw_3series,PC,5%,60% G, ,G
2019_bmw_3series,PC,5%,60% G,,G
2019_bmw_3series,PC,5%,65% G,,G
2019_bmw_3series,PC,5%,45% G,30% M,M
2019_bmw_4series,PC,5%,65% G,,G
2019_bmw_4series,PC,5%,60%  G,,G
2019_bmw_5series,PC,5%,60% G,,G
2019_bmw_5series,PC,,,,
2019_bmw_5series,PC,5%,55% G,,G
