Manufacturers,Makes,Carlines,year_make_model,vehicle_type,pcUSCA_content,pcOth1_content,pcOth2_content,assembly1,assembly2,engine1,engine2,transmission1,transmission2,,,,,
Audi,Audi,SQ8,2022_audi_sq8,MPV,1%,55% G,23% SL,SL,,G,,G,,,,,,
Audi,Audi,RS Q8,2022_audi_rsq8,MPV,1%,50% G,22% SL,SL,,G,,G,,,,,,
Audi,Audi,R8 Coupe RWD,2022_audi_r8,PC,1%,56% G,24% H,G,,H,,G,,,,,,
Audi,Audi,R8 Coupe,2022_audi_r8,PC,1%,56% G,21% H,G,,H,,G,,,,,,
Audi,Audi,R8 Spyder RWD,2022_audi_r8,PC,1%,49% G,21% H,G,,H,,G,,,,,,
Audi,Audi,R8 Spyder,2022_audi_r8,PC,1%,52% G ,18% H,G,,H,,G,,,,,,
Audi,Audi,TT Coupe,2022_audi_tt,PC,1%,53% H,26% G,H,,H,,G,,,,,,
Audi,Audi,TTS Coupe,2022_audi_tts,PC,1%,53% H,27% G,H,,H,,G,,,,,,
Audi,Audi,TT RS Coupe,2022_audi_ttrs,PC,1%,61% H,24% G,H,,H,,G,,,,,,
Audi,Audi,TT Roadster,2022_audi_tt,PC,1%,52% H,25% G,H,,H,,G,,,,,,
Bentley,Bentley,Bentayga V8,2022_bentley_bentayga,MPV,0%,65% G,,UK,,G,,G,,,,,,
Bentley,Bentley,Bentayga Speed,2022_bentley_bentayga,MPV,0%,65% G,,UK,,G,,G,,,,,,
Bentley,Bentley,Bentayga Hybrid,2022_bentley_bentaygahybrid,MPV,0%,48% G,,UK,,G,,G,,,,,,
Bentley,Bentley,Flying Spur,2022_bentley_flyingspur,PC,0%,67% G,15% UK,UK,,G,,G,,,,,,
Bentley,Bentley,Flying Spur V8,2022_bentley_flyingspur,PC,0%,69% G,15% UK,UK,,G,,G,,,,,,
Bentley,Bentley,Mulsanne,2022_bentley_mulsanne,PC,0%,41%UK,37%G,UK,,G,,G,,,,,,
Bentley,Bentley,Mulsanne Speed,2022_bentley_mulsanne,PC,0%,42% UK,35% G,UK,,G,,G,,,,,,
Bentley,Bentley,Continental GT V8,2022_bentley_continental,PC,0%,72% G, ,UK,,G,,G,,,,,,
Bentley,Bentley,Continental GT Convertible V8,2022_bentley_continental,PC,0%,71% G, ,UK,,G,,G,,,,,,
Bentley,Bentley,Continental GT W12,2022_bentley_continental,PC,0%,71% G, ,UK,,G,,G,,,,,,
Bentley,Bentley,Continental GT Convertible W12,2022_bentley_continental,PC,0%,70% G,,UK,,G,,G,,,,,,
BMW AG,BMW,2 Series Coupe/Convertible,2022_bmw_2series,PC,9%,39% G,17% M ,M,,G (2.3),A (2.4),G,,,,,,
BMW AG,BMW,2 Series Gran Coupe,2022_bmw_2series,PC,5%,36% G,,G,,G,,J,,,,,,
BMW AG,BMW,330e Sedan,2022_bmw_3seriese,PC,5%,55% G,,G,,G,,G,,,,,,
BMW AG,BMW,330e Sedan,2022_bmw_3seriese,PC,10%,35% G,25% MX,M,,G,,G,,,,,,
BMW AG,BMW,3 Series Sedan,2022_bmw_3series,PC,0%,56% G,,G, ,G,,G,,,,,,
BMW AG,BMW,3 Series Sedan,2022_bmw_3series,PC,10%,40% G,18% M,M,,G (3.3),A (3.4),G,,,,,,
BMW AG,BMW,4 Series Coupe/Convertible,2022_bmw_4series,PC,0%,46% G,,G,,G,,G,,,,,,
BMW AG,BMW,4 Series  Gran Coupe,2022_bmw_4series,PC,0%,48% G,,G,,G,,G,,,,,,
BMW AG,BMW,5 Series Sedan,2022_bmw_5series,PC,1%,37% G,17% OT,A, ,A,,G,,,,,,
BMW AG,BMW,5 Series Sedan,2022_bmw_5series,PC,0%,54% G,,G, ,G,,G,,,,,,
BMW AG,BMW,7 Series Sedan,2022_bmw_7series,PC,1%,56% G,,G,,G,,G,,,,,,
BMW AG,BMW,8 Series Coupe/Convertible,2022_bmw_8series,PC,1%,58% G,,G,,G,,G,,,,,,
BMW AG,BMW,8 Series Gran Coupe,2022_bmw_8series,PC,1%,62% G,,G,,G,,G,,,,,,
BMW AG,BMW,X1,2022_bmw_x1,MPV,0%,51% G,,G, ,G,,J,,,,,,
BMW AG,BMW,X2,2022_bmw_x2,MPV,0%,39% G,,G,,G,,J,,,,,,
BMW AG,BMW,X3,2022_bmw_x3,MPV,14%,30% G,23% AF,AF,,A, ,G,,,,,,
BMW AG,BMW,X3,2022_bmw_x3,MPV,35%,16% G,16% M,US,,A (4.0),"UK (3.0), G (M)",G,,,,,,
BMW AG,BMW,X3 30e,2022_bmw_x3hybrid,MPV,35%,16% G,15% M,US,,UK,,G,,,,,,
BMW AG,BMW,X3M,2022_bmw_x3,MPV,30%,24% G,17% MX,US,,G,,G,,,,,,
BMW AG,BMW,X4M,2022_bmw_x4,MPV,31%,25% G,19% MX,US,,G,,G,,,,,,
BMW AG,BMW,X4,2022_bmw_x4,MPV,35%,16% G,15% M,US,,A (4.0),"UK (3.0), G (M)",G,,,,,,
BMW AG,BMW,X5,2022_bmw_x5,MPV,38%,16% M ,12% G,US,,"G (5.0, M)","A (4.0, 4.5e)",G,,,,,,
BMW AG,BMW,X5 xDrive45e,2022_bmw_x5hybrid,MPV,36%,33% G,22% MX,US,,G, ,G,,,,,,
BMW AG,BMW,X6,2022_bmw_x6,MPV,39%,16% G ,15% M,US,,"G (5.0, M)",A (4.0),G,,,,,,
BMW AG,BMW,X7,2022_bmw_x7,MPV,36%,17% M,15% G,US,,G (5.0),A (4.0),G,,,,,,
BMW AG,BMW,Z4,2022_bmw_z4,PC,0%,29% G,22% A,A,,A,,G,,,,,,
BMW AG,BMW,i3,2022_bmw_i3,PC,5%,35% G,20% CH,G,,G,,G,,,,,,
BMW AG,BMW,i4,2022_bmw_i4,PC,0%,48% G, ,G,,G,,G,,,,,,
BMW AG,BMW,iX,2022_bmw_ix,MPV,1%,31% CH,30% G,G,,G,,G,,,,,,
BMW AG,BMW,Cooper Hard Top 2 Door,2022_mini_cooper,PC,0%,32% G,19% UK,UK,,G,,G, ,,,,,
BMW AG,BMW,Cooper Hard Top 4 Door,2022_mini_cooper,PC,0%,32% G,19% UK,UK,,G,,G,,,,,,
BMW AG,BMW,Cooper Convertible,2022_mini_cooper,PC,0%,27% G,17% PL,N,,A,,G,J (JCW Auto),,,,,
BMW AG,BMW,Cooper Clubman,2022_mini_cooper,PC,0%,32% G,19% UK,UK,,G,,G,"J (JCW Auto, AWD)",,,,,
BMW AG,BMW,Cooper Countryman,2022_mini_cooper,MPV,6%,30% G,12% J,N,,UK, ,J, ,,,,,
