Manufacturers,Makes,Carlines,year_make_model,vehicle_type,pcUSCA_content,pcOth1_content,pcOth2_content,assembly1,assembly2,engine1,engine2,transmission1,transmission2,,,,,
GM LLC,Cadillac,CT5,2022_cadillac_ct5,PC,49%,21% China, ,"US, Lansing, MI",,US,,US,,,,,,
GM LLC,Chevrolet,Corvette,2022_chevrolet_corvette,PC,72%, , ,"US, Bowling Green, KY",,US,,US,,,,,,
"Honda Motor Co., Ltd.",Acura,RDX FWD  A- Spec,2022_acura_rdx,MPV,60%,,,US,,US,,US,,,,,,
"Honda Motor Co., Ltd.",Acura,RDX FWD,2022_acura_rdx,MPV,60%,,,US,,US,,US,,,,,,
"Honda Motor Co., Ltd.",Acura,RDX AWD  A- Spec,2022_acura_rdx,MPV,60%,,,US,,US,,US,,,,,,
"Honda Motor Co., Ltd.",Acura,RDX AWD  A- Spec,2022_acura_rdx,MPV,60%,,,US,,US,,US,,,,,,
"Honda Motor Co., Ltd.",Acura,RDX AWD,2022_acura_rdx,MPV,60%,,,US,,US,,US,,,,,,
"Honda Motor Co., Ltd.",Honda,Ridgeline  AWD,2022_honda_ridgeline,Truck,70%,,,US,,US,,US,,,,,,
"Honda Motor Co., Ltd.",Honda,Ridgeline  FWD,2022_honda_ridgeline,Truck,70%,,,US,,US,,US,,,,,,
"Honda Motor Co., Ltd.",Honda,Pilot 2WD,2022_honda_pilot,MPV,70%,,,US,,US,,US,,,,,,
"Honda Motor Co., Ltd.",Honda,Pilot AWD,2022_honda_pilot,MPV,70%,,,US,,US,,US,,,,,,
"Honda Motor Co., Ltd.",Honda,Pilot AWD TrailSport,2022_honda_pilot,MPV,70%,,,US,,US,,US,,,,,,
"Honda Motor Co., Ltd.",Honda,Passport 2WD,2022_honda_passport,MPV,75%,,,US,,US,,US,,,,,,
"Honda Motor Co., Ltd.",Honda,Passport AWD,2022_honda_passport,MPV,75%,,,US,,US,,US,,,,,,
"Honda Motor Co., Ltd.",Acura,MDX FWD,2022_acura_mdx,MPV,60%,,,US,,US,,US,,,,,,
"Honda Motor Co., Ltd.",Acura,MDX AWD,2022_acura_mdx,MPV,60%,,,US,,US,,US,,,,,,
"Honda Motor Co., Ltd.",Acura,MDX AWD Type S,2022_acura_mdx,MPV,60%,15% J,,US,,US,,US,,,,,,
"Honda Motor Co., Ltd.",Honda,Odyssey,2022_honda_odyssey,MPV,70%,,,US,,US,,US,,,,,,
"Honda Motor Co., Ltd.",Acura,NSX  AWD,2022_acura_nsx,PC,35%,35% J,20% UK,US,,UK,,J,,,,,,
"Honda Motor Co., Ltd.",Acura,ILX AWD,2022_acura_ilx,PC,55%,25% J,,US,,US,,J,,,,,,
"Honda Motor Co., Ltd.",Acura,TLX AWD,2022_acura_tlx,PC,65%,,,US,,US,,US,,,,,,
"Honda Motor Co., Ltd.",Acura,TLX  AWD A-Spec,2022_acura_tlx,PC,65%,,,US,,US,,US,,,,,,
"Honda Motor Co., Ltd.",Acura,TLX  FWD,2022_acura_tlx,PC,65%,,,US,,US,,US,,,,,,
"Honda Motor Co., Ltd.",Acura,TLX  FWD A-Spec,2022_acura_tlx,PC,65%,,,US,,US,,US,,,,,,
"Honda Motor Co., Ltd.",Acura,TLX  Type-S,2022_acura_tlx,PC,55%,,,US,,J,,US,,,,,,
"Honda Motor Co., Ltd.",Acura,TLX  Type-S Perf Tire,2022_acura_tlx,PC,55%,,,US,,J,,US,,,,,,
"Honda Motor Co., Ltd.",Honda,CR-V FWD,2022_honda_crv,MPV,65%,,,US,,US,,US,,,,,,
"Honda Motor Co., Ltd.",Honda,CR-V FWD,2022_honda_crv,MPV,65%,,,US,,US,,US,,,,,,
"Honda Motor Co., Ltd.",Honda,CR-V FWD,2022_honda_crv,MPV,65%,,,CAN,,US,,US,,,,,,
"Honda Motor Co., Ltd.",Honda,CR-V AWD,2022_honda_crv,MPV,65%,,,US,,US,,US,,,,,,
"Honda Motor Co., Ltd.",Honda,CR-V AWD,2022_honda_crv,MPV,50%,20% J,,US,,US,,US,,,,,,
"Honda Motor Co., Ltd.",Honda,CR-V AWD,2022_honda_crv,MPV,50%,20% J,,US,,US,,US,,,,,,
"Honda Motor Co., Ltd.",Honda,CR-V AWD,2022_honda_crv,MPV,50%,20% J,,CAN,,US,,US,,,,,,
"Honda Motor Co., Ltd.",Honda,CR-V AWD,2022_honda_crv,MPV,50%,20% J,,US,,US,,US,,,,,,
"Honda Motor Co., Ltd.",Honda,CR-V AWD,2022_honda_crv,MPV,50%,20% J,,US,,J,,J,,,,,,
"Honda Motor Co., Ltd.",Honda,HR-V FWD,2022_honda_hrv,MPV,20%,40% MX,15% J    ,MX,,US,,MX,,,,,,
"Honda Motor Co., Ltd.",Honda,HR-V AWD,2022_honda_hrv,MPV,20%,35% MX,20% J,MX,,US,,Ind,,,,,,
"Honda Motor Co., Ltd.",Honda,Civic  5Dr,2022_honda_civic,PC,60%, , ,US,,US,,M,,,,,,
"Honda Motor Co., Ltd.",Honda,Civic  5Dr,2022_honda_civic,PC,60%, , ,US,,US,,Ind,,,,,,
"Honda Motor Co., Ltd.",Honda,Civic  5Dr,2022_honda_civic,PC,60%, , ,US,,US,,US,,,,,,
"Honda Motor Co., Ltd.",Honda,Civic  5Dr,2022_honda_civic,PC,60%, , ,US,,US,,Ind,,,,,,
"Honda Motor Co., Ltd.",Honda,Civic 4D,2022_honda_civic,PC,60%,,,CAN,,US,,Ind,,,,,,
"Honda Motor Co., Ltd.",Honda,Civic 4D,2022_honda_civic,PC,60%,,,J,,J,,J,,,,,,
"Honda Motor Co., Ltd.",Honda,Civic 4D,2022_honda_civic,PC,60%,,,CAN,,US,,MX,,,,,,
"Honda Motor Co., Ltd.",Honda,Civic 4D,2022_honda_civic,PC,60%,,,CAN,,US,,US,,,,,,
"Honda Motor Co., Ltd.",Honda,Accord,2022_honda_accord,PC,50%,20% J,,US,,US,,US,,,,,,
"Honda Motor Co., Ltd.",Honda,Accord,2022_honda_accord,PC,50%,20% J,,US,,J,,J,,,,,,
"Honda Motor Co., Ltd.",Honda,Accord Sport/Touring,2022_honda_accord,PC,60%,,,US,,US,,US,,,,,,
"Honda Motor Co., Ltd.",Honda,Accord Sport/Touring,2022_honda_accord,PC,60%,,,US,,US,,US,,,,,,
"Honda Motor Co., Ltd.",Honda,Accord Sport/Touring,2022_honda_accord,PC,60%,,,US,,J,,J,,,,,,
"Honda Motor Co., Ltd.",Honda,Insight,2022_honda_insight,PC,45%,35% J,,US,,J,,J,,,,,,
"Honda Motor Co., Ltd.",Honda,Insight Touring,2022_honda_insight,PC,45%,35% J,,US,,J,,J,,,,,,
"Honda Motor Co., Ltd.",Honda,Clarity,2022_honda_clarity,PC,10%,85% J,,J,,J,,J,,,,,,
Hyundai Motor Company,Hyundai,Accent,2022_hyundai_accent,PC,5%,55% MX,35% K,MX,,MX,,K,MX,,,,,
Hyundai Motor Company,Hyundai,Azera,2022_hyundai_azera,PC,,,,,,,,,,,,,,
Hyundai Motor Company,Hyundai,Elantra,2022_hyundai_elantra,PC,0%,90% K,,K,,K,,K,,,,,,
Hyundai Motor Company,Hyundai,Elantra N,2022_hyundai_elantran,PC,0%,90% K,,K,,K,,K,,,,,,
Hyundai Motor Company,Hyundai,Elantra ,2022_hyundai_elantra,PC,55%,25% K,15% M,US,,US,,M,,,,,,
Hyundai Motor Company,Hyundai,Elantra HEV,2022_hyundai_elantrahybrid,PC,1%,85% K,,K,,K,,K,,,,,,
Hyundai Motor Company,Genesis,G90,2022_genesis_g90,PC,0%,80% K,,K,,K,,K,,,,,,
Hyundai Motor Company,Genesis,G80,2022_genesis_g80,PC,5%,85% K,,K,,K,,K,,,,,,
Hyundai Motor Company,Genesis,G70,2022_genesis_g70,PC,5%,80% K,,K,,K,,K,,,,,,
Hyundai Motor Company,Genesis,GV70,2022_genesis_gv70,MPV,5%,90% K,,K,,K,,K,,,,,,
Hyundai Motor Company,Genesis,GV80,2022_genesis_gv80,MPV,2%,80% K,,K,,K,,K,,,,,,
Hyundai Motor Company,Hyundai,Ioniq PHEV,2022_hyundai_ioniqhybrid,PC,2%,85% K,,K,,K,,K,,,,,,
Hyundai Motor Company,Hyundai,Ioniq 5,2022_hyundai_ioniq5,PC,0%,95% K, ,K,,K,,K,,,,,,
Hyundai Motor Company,Hyundai,Ioniq HEV,2022_hyundai_ioniqhybrid,PC,1%,85% K,,K,,K,,K,,,,,,
Hyundai Motor Company,Hyundai,Kona,2022_hyundai_kona,MPV,0%,90% K,,K,,K, ,K,,,,,,
Hyundai Motor Company,Hyundai,Kona N,2022_hyundai_konan,MPV,2%,90% K,,K,,K, ,K,,,,,,
Hyundai Motor Company,Hyundai,Palisade,2022_hyundai_palisade,MPV,0%,75% K,,K,,K, ,K,,,,,,
Hyundai Motor Company,Hyundai,Kona EV,2022_hyundai_konaev,MPV,0%,95% K,,K,,K,,K,,,,,,
Hyundai Motor Company,Hyundai,Santa Fe Sport,2022_hyundai_santafe,MPV,,,,,,,,,,,,,,
Hyundai Motor Company,Hyundai,Santa Fe ,2022_hyundai_santafe,MPV,50%,40% K,,US,,US,,US,K,,,,,
Hyundai Motor Company,Hyundai,Santa Fe HEV,2022_hyundai_santafehybrid,MPV,0%,80% K,,K,,K,,K, ,,,,,
Hyundai Motor Company,Hyundai,Santa Fe PHEV,2022_hyundai_santafehybrid,MPV,0%,85% K,,K,,K,,K, ,,,,,
Hyundai Motor Company,Hyundai,Sonata HEV,2022_hyundai_sonatahybrid,PC,1%,90% K,,K,,K,,K,,,,,,
Hyundai Motor Company,Hyundai,Sonata,2022_hyundai_sonata,PC,0%,90% K,,K,,K,,K,,,,,,
Hyundai Motor Company,Hyundai,Sonata,2022_hyundai_sonata,PC,45%,40% K,,US,,US,,US,,,,,,
Hyundai Motor Company,Hyundai,Sorento,2022_kia_sorento,MPV,55%,30% K,,US,,US,,US,K,,,,,
Hyundai Motor Company,Hyundai,Tucson,2022_hyundai_tucson,MPV,0%,90% K,,K,,K,,K,,,,,,
Hyundai Motor Company,Hyundai,Tucson Hybrid,2022_hyundai_tucsonhybrid,MPV,0%,90% K,,K,,K,,K,,,,,,
Hyundai Motor Company,Hyundai,Tucson PHEV,2022_hyundai_tucsonhybrid,MPV,0%,90% K,,K,,K,,K,,,,,,
Hyundai Motor Company,Hyundai,Veloster,2022_hyundai_veloster,PC,0%,85% K,,K,,K,,K,,,,,,
Hyundai Motor Company,Hyundai,Veloster N,2022_hyundai_velostern,PC,0%,90% K,,K,,K,,K,,,,,,
Hyundai Motor Company,Hyundai,Sonata Hybrid,2022_hyundai_sonatahybrid,PC,,,,,,,,,,,,,,
Hyundai Motor Company,Hyundai,Nexo,2022_hyundai_nexo,MPV,1%,80% K,,K,,K,,K,,,,,,
Hyundai Motor Company,Hyundai,Venue,2022_hyundai_venue,MPV,0%,95% K,,K,,K,,K,,,,,,
Jaguar Land Rover Limited,Jaguar,F-PACE (2.0t),2022_jaguar_fpace,MPV,0%,61% UK,15% G,UK, ,UK, ,G,,,,,,
Jaguar Land Rover Limited,Jaguar,F-PACE (3.0t),2022_jaguar_fpace,MPV,0%,61% UK,15% G,UK, ,UK, ,G,,,,,,
Jaguar Land Rover Limited,Jaguar,F-PACE - SVR,2022_jaguar_fpace,MPV,0%,61% UK,11% G,UK, ,UK, ,G,,,,,,
Jaguar Land Rover Limited,Jaguar,F-TYPE Automatic Coupe RWD (V8),2022_jaguar_ftype,PC,8%,50% G,41% UK,UK, ,UK, ,G,,,,,,
Jaguar Land Rover Limited,Jaguar,F-TYPE Automatic Coupe AWD (V8),2022_jaguar_ftype,PC,8%,50% G,41% UK,UK, ,UK, ,G,,,,,,
Jaguar Land Rover Limited,Jaguar,F-TYPE Automatic Convertible RWD (V8),2022_jaguar_ftype,PC,8%,50% G,41% UK,UK, ,UK, ,G,,,,,,
Jaguar Land Rover Limited,Jaguar,F-TYPE Automatic Convertible AWD (V8),2022_jaguar_ftype,PC,8%,50% G,41% UK,UK, ,UK, ,G,,,,,,
Jaguar Land Rover Limited,Jaguar,"F-TYPE Checkered Flag LE Automatic AWD Coupe
(V6 - 380 HP)",2022_jaguar_ftype,PC,0%,65% United Kingdom,18% Germany,UK, ,UK, ,G,,,,,,
Jaguar Land Rover Limited,Jaguar,F-TYPE R Coupe (AWD) (V8 - 550 HP),2022_jaguar_ftype,PC,0%,66% United Kingdom,20% Germany,UK, ,UK, ,G,,,,,,
Jaguar Land Rover Limited,Jaguar,F-TYPE SVR Coupe (AWD) (V8 - 575 HP),2022_jaguar_ftype,PC,0%,66% United Kingdom,20% Germany,UK, ,UK, ,G,,,,,,
Jaguar Land Rover Limited,Jaguar,"I-PACE EV400 S
(394hp Electric Motors/90kWh Battery)",2022_jaguar_ipace,MPV,0%,74% Poland, ,AU, ,P,,P,,,,,,
Jaguar Land Rover Limited,Jaguar,"I-PACE EV400 Waymo
(394hp Electric Motors/90kWh Battery)",2022_jaguar_ipace,MPV,0%,74% Poland, ,AU, ,P,,P,,,,,,
Jaguar Land Rover Limited,Jaguar,"I-PACE EV400 HSE
(394hp Electric Motors/90kWh Battery)",2022_jaguar_ipace,MPV,0%,74% Poland, ,AU, ,P,,P,,,,,,
Jaguar Land Rover Limited,Jaguar,XJ R-Sport - RWD,2022_jaguar_xj,PC,,,,,,,,,,,,,,
Jaguar Land Rover Limited,Jaguar,XJ R-Sport - AWD,2022_jaguar_xj,PC,,,,,,,,,,,,,,
Jaguar Land Rover Limited,Jaguar,XJ Portfolio - RWD,2022_jaguar_xj,PC,,,,,,,,,,,,,,
Jaguar Land Rover Limited,Jaguar,XJ Portfolio - AWD,2022_jaguar_xj,PC,,,,,,,,,,,,,,
Jaguar Land Rover Limited,Jaguar,XJ Supercharged - SWB,2022_jaguar_xj,PC,,,,,,,,,,,,,,
Jaguar Land Rover Limited,Jaguar,XJ Supercharged - LWB,2022_jaguar_xj,PC,,,,,,,,,,,,,,
Jaguar Land Rover Limited,Jaguar,XJR - SWB,2022_jaguar_xjr,PC,,,,,,,,,,,,,,
Jaguar Land Rover Limited,Jaguar,XJR - LWB,2022_jaguar_xjr,PC,,,,,,,,,,,,,,
Jaguar Land Rover Limited,Jaguar,XF - RWD,2022_jaguar_xf,PC,4%,50% UK,43% G,UK,,UK,,G,,,,,,
Jaguar Land Rover Limited,Jaguar,XF - AWD,2022_jaguar_xf,PC,4%,48% G,46% UK,UK,,UK,,G,,,,,,
Jaguar Land Rover Limited,Jaguar,XF - 30t RWD,2022_jaguar_xf,PC,4%,50% UK,43% G,UK,,UK,,G,,,,,,
Jaguar Land Rover Limited,Jaguar,XF - 30t AWD,2022_jaguar_xf,PC,4%,48% G,46% UK,UK,,UK,,G,,,,,,
Jaguar Land Rover Limited,Jaguar,XF - S AWD,2022_jaguar_xf,PC,5%,47% G,46% UK,UK,,UK,,G,,,,,,
Jaguar Land Rover Limited,Jaguar,XF - 30t Sportbrake AWD,2022_jaguar_xf,PC,5%,51% G,43% UK,UK,,UK,,G,,,,,,
Jaguar Land Rover Limited,Jaguar,XF - S Sportbrake AWD,2022_jaguar_xf,PC,5%,51%G,43% UK,UK,,UK,,G,,,,,,
Jaguar Land Rover Limited,Jaguar,XE - 25t RWD,2022_jaguar_xe,PC,4%,52% G ,41% UK,UK,,UK,,G,,,,,,
Jaguar Land Rover Limited,Jaguar,XE - 25t AWD,2022_jaguar_xe,PC,4%,54% G,39% UK,UK,,UK,,G,,,,,,
Jaguar Land Rover Limited,Jaguar,XE - 30t AWD,2022_jaguar_xe,PC,4%,54% G,39% UK,UK,,UK,,G,,,,,,
Jaguar Land Rover Limited,Land Rover,Defender - 90,2022_landrover_defender,MPV,1%,31% UK,19% G,SL,,UK,,G,,,,,,
Jaguar Land Rover Limited,Land Rover,Defender - 110,2022_landrover_defender,MPV,1%,31% UK,19% G,SL,,UK,,G,,,,,,
Jaguar Land Rover Limited,Land Rover,Discovery Sport,2022_landrover_discoverysport,MPV,7%,50% UK,,UK,,UK,,US,,,,,,
Jaguar Land Rover Limited,Land Rover,Range Rover Evoque,2022_landrover_rangeroverevoque,MPV,9%,54% UK,15% G ,UK,,UK,,US,,,,,,
Jaguar Land Rover Limited,Land Rover,"Range Rover Velar
(2.0L 14 Gasoline Turbocharged)",2022_landrover_rangerovervelar,MPV,8%,60% UK,,UK,,UK,,G,,,,,,
Jaguar Land Rover Limited,Land Rover,"Range Rover Velar
(3.0L V6 Gasoline Turbocharged)",2022_landrover_rangerovervelar,MPV,8%,60% UK,,UK,,UK,,G,,,,,,
Jaguar Land Rover Limited,Land Rover,"Range Rover Velar
(5.0L V8 Gasoline Supercharged)",2022_landrover_rangerovervelar,MPV,8%,60% UK,,UK,,UK,,G,,,,,,
Jaguar Land Rover Limited,Land Rover,Range Rover 2.0L  PHEV  (Gasoline)  Standard Wheelbase,2022_landrover_rangeroverhybrid,MPV,5%,60% UK,8% G,UK,,UK,,G,,,,,,
Jaguar Land Rover Limited,Land Rover,Range Rover 3.0L  Supercharged   (Gasoline)  Standard Wheelbase,2022_landrover_rangerover,MPV,5%,60% UK,8% G,UK,,UK,,G,,,,,,
Jaguar Land Rover Limited,Land Rover,Range Rover 3.0L  Turbocharged (Gasoline)    Standard Wheelbase,2022_landrover_rangerover,MPV,9%,72% UK,16% G,UK,,UK,,G,,,,,,
Jaguar Land Rover Limited,Land Rover,Range Rover 5.0L  Supercharged   (Gasoline)  Standard Wheelbase,2022_landrover_rangerover,MPV,9%,72% UK,16% G,UK,,UK,,G,,,,,,
Jaguar Land Rover Limited,Land Rover,Range Rover 5.0 L  Supercharged   (Gasoline)  Long Wheelbase,2022_landrover_rangerover,MPV,9%,72% UK,16% G,UK,,UK,,G,,,,,,
Jaguar Land Rover Limited,Land Rover,Range Rover Sport 2.0L PHEV (Gasoline),2022_landrover_rangeroversporthybrid,MPV,1%,54% UK,15% G,UK,,UK,,G,,,,,,
Jaguar Land Rover Limited,Land Rover,Range Rover Sport 3.0L Turbocharged (Gasoline),2022_landrover_rangeroversport,MPV,1%,54% UK,15% G,UK,,UK,,G,,,,,,
Jaguar Land Rover Limited,Land Rover,Range Rover Sport 3.0L Turbocharged   (Diesel),2022_landrover_rangeroversport,MPV,7%,69% UK,17% G,UK,,UK,,G,,,,,,
Jaguar Land Rover Limited,Land Rover,Range Rover Sport 5.0L Supercharged (Gasoline),2022_landrover_rangeroversport,MPV,7%,69% UK,17% G,UK,,UK,,G,,,,,,
Jaguar Land Rover Limited,Land Rover,Discovery 2.0L Turbocharged,2022_landrover_discovery,MPV,0%,72% UK,12% G,SL,,UK,,G,,,,,,
Jaguar Land Rover Limited,Land Rover,Discovery 3.0L Turbocharged,2022_landrover_discovery,MPV,0%,72% UK,12% G,SL,,UK,,G,,,,,,
Jaguar Land Rover Limited,Land Rover,Discovery 3.0L Turbocharged (Diesel),2022_landrover_discovery,MPV,7%,68% UK,17% G,UK,,UK,,G,,,,,,
Jaguar Land Rover Limited,Land Rover,Discovery 3.0L Turbocharged (Diesel),2022_landrover_discovery,MPV,0%,72% UK,12% G,SL,,UK,,G,,,,,,
Jaguar Land Rover Limited,Land Rover,E-Pace (I4-246  HP),2022_jaguar_epace,MPV,14%,62% G,21% UK,AU,,UK,,US,,,,,,
Jaguar Land Rover Limited,Land Rover,E-Pace (I4-296  HP),2022_jaguar_epace,MPV,15%,63% G,20% UK,AU,,UK,,US,,,,,,
Kia Motors,Kia,EV6 Electric,2022_kia_ev6,MPV,0%,95% K, ,K,,K,,K,,,,,,
Kia Motors,Kia,Forte,2022_kia_forte,PC,15%,40% K,45% M,M ,,M,,M,K,,,,,
Kia Motors,Kia,K900,2022_kia_k900,PC,5%,90% K,,K,,K,,K,,,,,,
Kia Motors,Kia,Niro,2022_kia_niro,MPV,,,,,,,,,,,,,,
Kia Motors,Kia,Niro Electric,2022_kia_niroev,MPV,0%,65% K,30% CH,K,,K,,K,,,,,,
Kia Motors,Kia,Niro Hybrid,2022_kia_nirohybrid,MPV,5%,80% K,,K,,K,,K,,,,,,
Kia Motors,Kia,Niro Plug-In Hybrid,2022_kia_nirohybrid,MPV,5%,80% K,,K,,K,,K,,,,,,
Kia Motors,Kia,Rio,2022_kia_rio,PC,5%,35% K,55% M,M,,M,,M,,,,,,
Kia Motors,Kia,Carnival,2022_kia_carnival,MPV,0%,95% K,,K,,K,,K,,,,,,
Kia Motors,Kia,Seltos,2022_kia_seltos,MPV,0%,90% K,,K,,K, ,K,,,,,,
Kia Motors,Kia,Sorento,2022_kia_sorento,MPV,55%,30% K,,US,,US, ,US,K,,,,,
Kia Motors,Kia,Sorento Hybrid,2022_kia_sorentohybrid,MPV,1%,90% K,,K,,K,,K,,,,,,
Kia Motors,Kia,Sorento PHEV,2022_kia_sorentohybrid,MPV,1%,90% K,,K,,K,,K,,,,,,
Kia Motors,Kia,Sportage,2022_kia_sportage,MPV,0%,85% K,,K,,K,,K,,,,,,
Kia Motors,Kia,Stinger,2022_kia_stinger,PC,0%,90%,,K,,K,,K,,,,,,
Kia Motors,Kia,Soul,2022_kia_soul,MPV,0%,90% K,,K,,K,,K,,,,,,
Kia Motors,Kia,Soul EV,2022_kia_soul,MPV,5%,90% K,,K,,K,,K,,,,,,
Kia Motors,Kia,Telluride,2022_kia_telluride,MPV,60%,35% K,,US,,K,,US,,,,,,
Lotus Cars Ltd.,Lotus,Evora,2022_lotus_evora,PC,0%,,,UK,,J,,J,,,,,,
Lamborghini,Lamborghini,Huracan EVO ,2022_lamborghini_huracan,PC,0%,61% G,15% I,I,,H,,G,,,,,,
Lamborghini,Lamborghini,Huracan STO,2022_lamborghini_huracan,PC,0%,43% I,40% G,I,,H,,G,,,,,,
Lamborghini,Lamborghini,Aventador SJ,2022_lamborghini_aventador,PC,0%,37% I,27% G,I,,I,,I,,,,,,
Lamborghini,Lamborghini,Aventador SVJ,2022_lamborghini_aventador,PC,0%,49% I,29% G,I,,I,,I,,,,,,
Lamborghini,Lamborghini,Sian,2022_lamborghini_sian,PC,0%,45% I,31% G,I,,I,,I,,,,,,
Lamborghini,Lamborghini,URUS,2022_lamborghini_urus,MPV,0%,72% G,,I,,G,,G,,,,,,
Mazda Motor Corporation,Scion,iA  AT,2022_scion_ia,PC,,,,,,,,,,,,,,
Mazda Motor Corporation,Scion,iA   MT,2022_scion_ia,PC,,,,,,,,,,,,,,
Mazda Motor Corporation,Toyota,Yaris   AT,2022_toyota_yaris,PC,,,,,,,,,,,,,,
Mazda Motor Corporation,Toyota,Yaris IA  / AT,2022_toyota_yaris,PC,,,,,,,,,,,,,,
Mazda Motor Corporation,Toyota,Yaris  MT,2022_toyota_yaris,PC,,,,,,,,,,,,,,
Mazda Motor Corporation,Mazda,CX-3,2022_mazda_cx3,PC,0%,85% J,,J,,J,,J,,,,,,
Mazda Motor Corporation,Mazda,CX-30,2022_mazda_cx30,PC,5%,65% M,20% J,M,,M,,TH,,,,,,
Mazda Motor Corporation,Mazda,MX-30,2022_mazda_mx30,PC,0%,90% J, ,J,,J,,J,,,,,,
Mazda Motor Corporation,Mazda,CX-5,2022_mazda_cx5,MPV,0%,90% J,,J,,J,,J,,,,,,
Mazda Motor Corporation,Mazda,CX-9,2022_mazda_cx9,MPV,0%,90% J,,J,,J,,J,,,,,,
Mazda Motor Corporation,Mazda, Fiat     124 Spider,2022_mazda_fiat,PC,,,,,,,,,,,,,,
Mazda Motor Corporation,Mazda,Mazda2,2022_mazda_2,PC,5%,70% M ,25% J,M,,M,,J,,,,,,
Mazda Motor Corporation,Mazda,Mazda3,2022_mazda_3,PC,0%,85% J,,J,,J,,J,,,,,,
Mazda Motor Corporation,Mazda,Mazda3,2022_mazda_3,PC,5%,70% M ,20% J,M,,M,,TH,,,,,,
Mazda Motor Corporation,Mazda,Mazda6,2022_mazda_6,PC,0%,90% J,,J,,J,,J,,,,,,
Mazda Motor Corporation,Mazda,MX-5  Miata,2022_mazda_mx5miata,PC,0%,90% J,,J,,J,,J,,,,,,
Mercedes-Benz USA,Mercedes-Benz,C-Class Sedan (C300/C300-4M),2022_mercedesbenz_c,PC,19%,34% SA,30% G,SA,,US,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,C-Class Sedan (C43),2022_mercedesbenz_c,PC,0%,59% G,28% SA,SA,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,C-Class Sedan (C63/C63S),2022_mercedesbenz_c,PC,0%,59% G,28% SA,SA,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,C-Class Coupe (C300/C300-4M),2022_mercedesbenz_c,PC,0%,82% G,,G,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,C-Class Coupe  (C43),2022_mercedesbenz_c,PC,0%,82% G,,G,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,C-Class Coupe  (C63/C63S),2022_mercedesbenz_c,PC,0%,82% G,,G,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,C-Class Cabriolet (C300/C300-4M),2022_mercedesbenz_c,PC,0%,78% G,,G,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,C-Class Cabriolet  (C43),2022_mercedesbenz_c,PC,0%,78% G,,G,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,C-Class Cabriolet (C63/C63S),2022_mercedesbenz_c,PC,0%,78% G,,G,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,E-Class Sedan (E350/E350-4M),2022_mercedesbenz_e,PC,0%,79% G,,G,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,E-Class Sedan (E450-4M/ AMG E53),2022_mercedesbenz_e,PC,0%,79% G,,G,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,E-Class Sedan (E63S),2022_mercedesbenz_e,PC,0%,79% G,,G,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,E-Class Wagon (E450-4M),2022_mercedesbenz_e,PC,0%,82% G,,G,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,E-Class Wagon (E63S),2022_mercedesbenz_e,PC,0%,82% G,,G,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,E-Class Coupe (E450/E450-4M/AMG E53),2022_mercedesbenz_e,PC,0%,81% G,,G,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,E-Class Cabriolet (E450/E450-4M/AMG E53),2022_mercedesbenz_e,PC,0%,77% G,,G,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,CLS Coupe (CLS450/CLS450-4M/AMG CLS53),2022_mercedesbenz_cls,PC,0%,82% G,,G,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,EQS Sedan (EQS 450+/EQS 580-4M/EQS 53),2022_mercedesbenz_eqssedan,PC,0%,80% G,,G,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,S-Class Sedan (S500-4M),2022_mercedesbenz_s,PC,0%,80% G,,G,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,S-Class Sedan (S580-4M),2022_mercedesbenz_s,PC,0%,80% G,,G,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,S-Class Sedan (S65),2022_mercedesbenz_s,PC,0%,81% G,,G,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,S-Class Maybach (S580-4M),2022_mercedesbenz_s,PC,0%,76% G,,G,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,S-Class Maybach (S650),2022_mercedesbenz_s,PC,0%,82% G,,G,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,S-Class Coupe (S560-4M/S63-4M),2022_mercedesbenz_s,PC,0%,84% G,,G,,G,,G,,,,,,
