Manufacturers,Makes,Carlines,year_make_model,vehicle_type,pcUSCA_content,pcOth1_content,pcOth2_content,assembly1,assembly2,engine1,engine2,transmission1,transmission2
Audi,Audi,e-tron,2021_audi_etron,MPV,1%,31% PL,25% G,BE,,PL,,H,
Audi,Audi,e-tron Sportback,2021_audi_etron,MPV,1%,31% PL,24% G,BE,,PL,,H,
Audi,Audi,A4 40,2021_audi_a4,PC,2%,43% G,16% H,G,,H,,G(AWD),
Audi,Audi,A4 45,2021_audi_a4,PC,2%,43% G, ,G,,H,,G(FWD),
Audi,Audi,S4,2021_audi_s4,PC,1%,42% G,31% H,G ,,H,,H,
Audi,Audi,A4 allroad,2021_audi_a4,MPV,2%,44% G,,G,,H,,G,
Audi,Audi,A5 Cabriolet,2021_audi_a5,PC,1%,48% G,,G,,H,,G,
Audi,Audi,S5 Cabriolet,2021_audi_s5,PC,1%,45% G,25% H,G,,H,,H,
Audi,Audi,A5 Coupe,2021_audi_a5,PC,2%,47% G, ,G,,H,,G,
Audi,Audi,S5 Coupe ,2021_audi_s5,PC,1%,43% G,30% H,G,,H,,G,
Audi,Audi,RS5 Coupe,2021_audi_rs5,PC,1%,42%G,29% H,G,,H,,H,
Audi,Audi,A5 Sportback 40,2021_audi_a5,PC,2%,44% G, ,G,,H,,G,
Audi,Audi,A5 Sportback 45,2021_audi_a5,PC,2%,46% G, ,G,,H,,G,
Audi,Audi,S5 Sportback,2021_audi_s5,PC,1%,42% G,30% H,G,,H,,H,
Audi,Audi,RS5 Sportback,2021_audi_rs5,PC,1%,40% G,33% H,G,,H,,H,
Audi,Audi,A6 45,2021_audi_a6,PC,2%,49% G, ,G,,H,,G,
Audi,Audi,A6 Sport 45,2021_audi_a6,PC,2%,48% G, ,G,,H,,G,
Audi,Audi,A6 55,2021_audi_a6,PC,1%,49% G,19% H,G,,H,,G,
Audi,Audi,S6,2021_audi_s6,PC,1%,42% G,28% H,G,,H,,H,
Audi,Audi,RS6 Avant,2021_audi_rs6,PC,1%,61% G, ,G,,G,,G,
Audi,Audi,A6 allroad,2021_audi_a6,PC,1%,47%G,18% H,G,,H,,G,
Audi,Audi,A7 ,2021_audi_a7,PC,1%,46% G,20% H,G,,H,,G,
Audi,Audi,A7 PHEV,2021_audi_a7,PC,1%,40% G, ,G,,H,,G,
Audi,Audi,S7,2021_audi_s7,PC,1%,43% G,27% H,G,,H,,H,
Audi,Audi,A8L 55,2021_audi_a8,PC,1%,48% G,21% H,G,,H,,H,
Audi,Audi,A8L 60,2021_audi_a8,PC,1%,66% G, ,G,,G,,H,
Audi,Audi,A8L PHEV,2021_audi_a8hybrid,PC,1%,48%G,17% H,G,,H,,G,
Audi,Audi,S8L,2021_audi_s8,PC,1%,71% G,,G,,G,,G,
Audi,Audi,Q3 40,2021_audi_q3,MPV,1%,34% H,23% G,H,,H,,JP,
Audi,Audi,Q3 45,2021_audi_q3,MPV,1%,49% H,23% G,H,,H,,G,
Audi,Audi,Q5,2021_audi_q5,MPV,2%,76% M,,M,,M,,G,
Audi,Audi,Q5 PHEV,2021_audi_q5hybrid,MPV,2%,48% M,19% G,M,,H,,G,
Audi,Audi,SQ5,2021_audi_sq5,MPV,2%,61% M,17% G,M,,H,,G,
Audi,Audi,Q5 Sportback,2021_audi_q5,MPV,3%,79% M,15% G,M,,M,,G,
Audi,Audi,SQ5 Sportback,2021_audi_sq5,MPV,2%,69% M,19% H,M,,H,,G,
Audi,Audi,Q7 (45 TFSI),2021_audi_q7,MPV,1%,31% SL,20% G,SL,,H,,H,
Audi,Audi,Q7 (55 TFSI),2021_audi_q7,MPV,1%,28% SL,25% G,SL,,H,,H,
Audi,Audi,SQ7,2021_audi_sq7,MPV,1%,51% G,28% SL,SL,,G,,G,
Audi,Audi,Q8,2021_audi_q8,MPV,1%,28% G,27% SL,SL,,H,,H,
Audi,Audi,SQ8,2021_audi_sq8,MPV,1%,51% G,29% SL,SL,,G,,G,
Audi,Audi,RS Q8,2021_audi_rsq8,MPV,1%,45% G,26% SL,SL,,G,,G,
Audi,Audi,R8 Coupe RWD,2021_audi_r8,PC,1%,56% G,23% H,G,,H,,G,
Audi,Audi,R8 Coupe,2021_audi_r8,PC,1%,56% G,20% H,G,,H,,G,
Audi,Audi,R8 Spyder RWD,2021_audi_r8,PC,1%,64% G,20% H,G,,H,,G,
Audi,Audi,R8 Spyder,2021_audi_r8,PC,1%,64%G,18%H,G,,H,,G,
Audi,Audi,TT Coupe,2021_audi_tt,PC,1%,57% H,26% G,H,,H,,G,
Audi,Audi,TTS Coupe,2021_audi_tts,PC,1%,41% H,34% G,H,,H,,G,
Audi,Audi,TT RS Coupe,2021_audi_ttrs,PC,1%,58% H,28% G,H,,H,,G,
Audi,Audi,TT Roadster,2021_audi_tt,PC,1%,55% H,24% G,H,,H,,G,
Bentley,Bentley,Bentayga V8,2021_bentley_bentayga,MPV,0%,65% G,,UK,,G,,G,
Bentley,Bentley,Bentayga Speed,2021_bentley_bentayga,MPV,0%,64% G,,UK,,G,,G,
Bentley,Bentley,Bentayga Hybrid,2021_bentley_bentaygahybrid,MPV,0%,48% G,,UK,,G,,G,
Bentley,Bentley,Flying Spur,2021_bentley_flyingspur,PC,0%,68%G,15% UK,UK,,G,,G,
Bentley,Bentley,Flying Spur V8,2021_bentley_flyingspur,PC,0%,70% G,15% UK,UK,,G,,G,
Bentley,Bentley,Continental GT V8,2021_bentley_continental,PC,0%,72% G, ,UK,,G,,G,
Bentley,Bentley,Continental GT Convertible V8,2021_bentley_continental,PC,0%,71% G, ,UK,,G,,G,
Bentley,Bentley,Continental GT W12,2021_bentley_continental,PC,0%,72% G, ,UK,,G,,G,
Bentley,Bentley,Continental GT Convertible W12,2021_bentley_continental,PC,0%,70% G,,UK,,G,,G,
BMW AG,BMW,2 Series Coupe/Convertible,2021_bmw_2series,PC,5%,65% G,,G,,G,,G,
BMW AG,BMW,2 Series Gran Coupe,2021_bmw_2series,PC,5%,45% G,,G,,G,,J,
BMW AG,BMW,330e Sedan,2021_bmw_3seriese,PC,5%,55% G,,G,,G,,G,
BMW AG,BMW,330e Sedan,2021_bmw_3seriese,PC,10%,35% G,25% MX,M,,G,,G,
BMW AG,BMW,3 Series Sedan,2021_bmw_3series,PC,5%,55% G,,G, ,G,,G,
BMW AG,BMW,3 Series Sedan,2021_bmw_3series,PC,10%,35% G,25% MX,M,,G (3.3),A (3.4),G,
BMW AG,BMW,4 Series Coupe/Convertible,2021_bmw_4series,PC,5%,55% G,,G,,G,,G,
BMW AG,BMW,5 Series Sedan,2021_bmw_5series,PC,5%,55% G,,G,A,G,,G,
BMW AG,BMW,7 Series Sedan,2021_bmw_7series,PC,5%,60% G,,G,,G,,G,
BMW AG,BMW,8 Series Coupe/Convertible,2021_bmw_8series,PC,5%,60% G,,G,,G,,G,
BMW AG,BMW,8 Series Gran Coupe,2021_bmw_8series,PC,5%,60% G,,G,,G,,G,
BMW AG,BMW,X1,2021_bmw_x1,MPV,5%,50% G,,G,N,G,,J,
BMW AG,BMW,X2,2021_bmw_x2,MPV,5%,45% G,,G,,G,,J,
BMW AG,BMW,X3,2021_bmw_x3,MPV,30%,24% G,17% MX,US,,A (4.0),UK (3.0),G,
BMW AG,BMW,X3 30e,2021_bmw_x3hybrid,MPV,30%,24% G,17% MX,US,,A,,G,
BMW AG,BMW,X3M,2021_bmw_x3,MPV,30%,24% G,17% MX,US,,G,,G,
BMW AG,BMW,X4M,2021_bmw_x4,MPV,31%,25% G,19% MX,US,,G,,G,
BMW AG,BMW,X4,2021_bmw_x4,MPV,31%,25% G,19% MX,US,,A (4.0),UK (3.0),G,
BMW AG,BMW,X5,2021_bmw_x5,MPV,36%,33% G,22% MX,US,,G (5.0),A (4.0),G,
BMW AG,BMW,X5 xDrive45e,2021_bmw_x5hybrid,MPV,36%,33% G,22% MX,US,,G, ,G,
BMW AG,BMW,X6,2021_bmw_x6,MPV,30%,23% G,20% MX,US,,G (5.0),A (4.0),G,
BMW AG,BMW,X7,2021_bmw_x7,MPV,32%,18% G,24% MX,US,,G (5.0),A (4.0),G,
BMW AG,BMW,Z4,2021_bmw_z4,PC,5%,50% G,15% PL,A,,G,,G,
BMW AG,BMW,i3,2021_bmw_i3,PC,5%,35% G,20% CH,G,,G,,G,
BMW AG,BMW,Cooper Hard Top 2 Door,2021_mini_cooper,PC,5%,35% G,20% UK,UK,,G,,G,J (JCW Auto)
BMW AG,BMW,Cooper Hard Top 4 Door,2021_mini_cooper,PC,5%,35% G,20% UK,UK,,G,,G,
BMW AG,BMW,Cooper Convertible,2021_mini_cooper,PC,5%,35% G,25% UK,N,,G,,G,J (JCW Auto)
BMW AG,BMW,Cooper Clubman,2021_mini_cooper,PC,5%,35% G,20% UK,UK,,G,,G,"J (JCW Auto, AWD)"
BMW AG,BMW,Cooper Countryman,2021_mini_cooper,MPV,5%,30% G,15% UK,N,,UK,G (JCW Auto),G,"J (JCW Auto, AWD)"
BMW AG,Toyota,Supra,2021_toyota_supra,PC,5%,50% G,15% A,A,,G,,G,
Bugatti Automobiles S.A.S.,Bugatti,Chiron,2021_bugatti_chiron,PC,N/A,N/A,,F,,G,,UK,
Bugatti Automobiles S.A.S.,Bugatti,Chiron Pur Sport,2021_bugatti_chiron,PC,N/A,N/A,,F,,G,,UK,
FCA,Alfa Romeo,Giulia,2021_alfaromeo_giulia,PC,0%,69% I,,Cassino Italy,,I,,G,
FCA,Alfa Romeo,Stelvio,2021_alfaromeo_stelvio,MPV,0%,55% I,13% F,Cassni o Italy,,I,,G,
FCA,Chrysler,300,2021_chrysler_300,PC,69%,17% M ,,Brampton ON Canada,US (3.6L),M (5.7L),,US,
FCA,Chrysler,Pacifica,2021_chrysler_pacifica,MPV,68%,23% M,,Windsor ON Canada,,M  ,,US,
FCA,Chrysler,Voyager,2021_chrysler_voyager,MPV,68%,23% M,,Windsor ON Canada,,M,,US,
FCA,Dodge,Challenger,2021_dodge_challenger,PC,66%,23% M,,Brampton ON Canada,US (3.6L),M,US,M (Manual)             G(8 SPD HP90),
FCA,Dodge,Charger,2021_dodge_charger,PC,70%,17% M,,Brampton ON Canada,US (3.6L),M,US,M (Manual)             G(8 SPD HP90),
FCA,Dodge,Durango,2021_dodge_durango,MPV,67%,22% M,,Detroit Ml USA,,M,US,G (8 SPD 8HP70),
