year_make_model,vehicle_type,pcUSCA_content,pcOth1_content,pcOth2_content,assembly1
2018_acura_ilx,PC,60%,20%  J,,
2018_acura_mdx,MPV,70%,,,US
2018_acura_mdx,MPV,70%,,,US
2018_acura_nsxhybrid,PC,,,,
2018_acura_rdx,MPV,65%,,,US
2018_acura_rdx,MPV,65%,,,US
2018_acura_rdx,MPV,,,,
2018_acura_rdx,MPV,,,,
2018_acura_rdx,MPV,,,,
2018_acura_rlx,PC,15%,85% J,,J
2018_acura_rlx,PC,10%,85%  J,,J
2018_acura_rlx,PC,,,,US
2018_acura_tlx,PC,70%,,,US
2018_acura_tlx,PC,65%,,,US
2018_acura_tlx,PC,65%,,,US
2018_acura_tlx,PC,65%,,,US
2018_acura_tlx,PC,65%,,,US
2018_audi_a3,PC,1%,49%G,42%H,H
2018_audi_a3,PC,1%,49%G,40%H,H
2018_audi_a3,PC,1%,48%H,37%G,H
2018_audi_a3,PC,1%,47%H,39%G,H
2018_audi_a3,PC,0%,65%G,16%SL,G
2018_audi_a4,PC,1%,58%G,16%H,G
2018_audi_a4,PC,1%,59%G,15%H,G
2018_audi_a4,PC,1%,57%G,16%H,G
2018_audi_a4allroad,MPV,1%,58%G,,G
2018_audi_a5,PC,1%,67%G,,G
2018_audi_a5,PC,1%,58%G,16%H,G
2018_audi_a5,PC,1%,57%G,17%H,G
2018_audi_a5,PC,1%,59%G,16%H,G
2018_audi_a6,PC,1%,62%G,,G
2018_audi_a6,PC,1%,63%G,,G
2018_audi_a6,PC,1%,57%G,21%H,G
2018_audi_a7,PC,1%,62%G,19%H,G
2018_audi_a8,PC,1%,64%G,,G
2018_audi_a8,PC,1%,60%G,20%H,G
2018_audi_q3,MPV,1%,46%SP,19%G,SP
2018_audi_q3,MPV,1%,42%SP,20%G,SP
2018_audi_q5,MPV,2%,75%M,,M
2018_audi_q7,MPV,1%,39%G,33%SL,SL
2018_audi_q7,MPV,1%,35%G,31%SL,SL
2018_audi_r8,PC,1%,53%G,23%H,G
2018_audi_r8,PC,1%,58%G,20%H,G
2018_audi_r8,PC,1%,60%G,23%H,G
2018_audi_r8,PC,,,,
2018_audi_rs3,PC,1%,52%H,43%G,H
2018_audi_rs7,PC,1%,61%G,21%H,G
2018_audi_rs7,PC,1%,65%G,18%H,G
2018_audi_s3,PC,1%,45%H,44%G,H
2018_audi_s4,PC,1%,58%G,20%H,G 
2018_audi_s5,PC,1%,66%G,17%H,G
2018_audi_s5,PC,1%,57%G,21%H,G
2018_audi_s5,PC,1%,58%G,21%H,G
2018_audi_s6,PC,1%,56%G,24%H,G
2018_audi_s7,PC,0%,59%G,23%H,G
2018_audi_s8,PC,1%,59%G,20%H,G
2018_audi_sq5,MPV,1%,66%M,,M
2018_audi_tt,PC,1%,55%H,36%G,H
2018_audi_tt,PC,1%,52%H,39%G,H
2018_audi_tt,PC,1%,50%G,40%H,H
2018_audi_tts,PC,1%,54%H,36%G,H
2018_bentley_bentayga,MPV,0%,57% G,,UK
2018_bentley_continental,PC,1%,70% G,16% UK,UK
2018_bentley_continental,PC,1%,67% G,19% UK,UK
2018_bentley_continental,PC ,1%,70% G,16% UK,UK
2018_bentley_continental,PC,1%,67% G,19% UK,UK
2018_bentley_continental,PC,1%,58% G,16% UK,UK
2018_bentley_continental,PC,1%,56% G,19% UK,UK
2018_bentley_continental,PC,1%,55% G,21% UK,UK
2018_bentley_continental,PC,1%,53% G,24% UK,UK
2018_bentley_continentalsupersports,PC,0%,58% G,20% UK,UK
2018_bentley_flyingspur,PC,0%,62% G,16% UK,UK
2018_bentley_flyingspur,PC,0%,62% G,16% UK,UK
2018_bentley_flyingspur,PC,0%,71% G,15% UK,UK
2018_bentley_flyingspur,PC,0%,70% G,16% UK,UK
2018_bentley_mulsanne,PC,1%,40% G,40% UK,UK
2018_bentley_mulsanne,PC,1%,40% G,40% UK,UK
2018_bentley_mulsanneextendedwheelbase,PC,0%,43% G,39% UK,UK
2018_bmw_2series,PC,5%,65%  G,,G
2018_bmw_3series,PC,5%,60%  G,,G
2018_bmw_3series,PC,5%,60%  G,,G
2018_bmw_3series,PC,5%,60%  G,,G
2018_bmw_4series,PC,5%,60%  G,,G
2018_bmw_4series,PC,5%,65%  G,,G
2018_bmw_4series,PC,5%,65%  G,,G
2018_bmw_5series,PC,5%,55%  G,,G
,PC,,,,
2018_bmw_6series,PC,5%,80%  G,,G
2018_bmw_6series,PC,5%,75%  G,,G
