year_make_model,vehicle_type,pcUSCA_content,pcOth1_content,pcOth2_content,assembly1
2022_astonmartin_db11,PC,3%,66% UK,22% G,UK
2022_astonmartin_dbs,PC,3%,66% UK,22% G,UK
2022_astonmartin_db11,PC,3%,66% UK,22% G,UK
2022_astonmartin_vantage,PC,3%,66% UK,22% G,UK
2022_audi_etronev,MPV,1%,33% PL,23% G,BE
2022_audi_etronsev,MPV,1%,46% H,22% G,BE
2022_audi_etronev,MPV,1%,32% PL,23% G,BE
2022_audi_etronsev,MPV,1%,46% H,21% G,BE
2022_audi_etrongtev,PC,1%,56% G,19% PL,G
2022_audi_rsetrongtev,PC,1%,55% G,20% PL,G
2022_audi_a3,PC,1%,54% G,17% H,G
2022_audi_a3,PC,1%,57% G, ,G
2022_audi_s3,PC,1%,60% G,,G
2022_audi_rs3,PC,0%,45%G,37%H,G
2022_audi_a4,PC,2%,49% G,17% H,G
2022_audi_a4,PC,2%,49% G,15% H,G
2022_audi_s4,PC,1%,44% G,31% H,G 
2022_audi_a4allroad,MPV,2%,48% G,,G
2022_audi_a5,PC,2%,54% G,,G
2022_audi_s5,PC,1%,46% G,25% H,G
2022_audi_a5,PC,2%,50% G,15% H,G
2022_audi_s5,PC,1%,42% G,30% H,G
2022_audi_rs5,PC,1%,46% G,30% H,G
2022_audi_a5,PC,2%,48% G,15% H,G
2022_audi_a5,PC,2%,51% G,15% H,G
2022_audi_s5,PC,1%,42% G,30% H,G
2022_audi_rs5,PC,1%,46% G,30% H,G
2022_audi_a6,PC,2%,51% G, ,G
2022_audi_a6,PC,2%,48% G, ,G
2022_audi_a6,PC,2%,49% G,19% H,G
2022_audi_s6,PC,1%,41% G,27% H,G
2022_audi_rs6,PC,1%,63% G, ,G
2022_audi_a6allroad,PC,2%,47%G,18% H,G
2022_audi_a7,PC,2%,46% G,20% H,G
2022_audi_a7hybrid,PC,1%,42% G,26% H,G
2022_audi_s7,PC,1%,41% G,27% H,G
2022_audi_rs7,PC,1%,61% G, ,G
2022_audi_a8,PC,1%,42% G,21% H,G
2022_audi_a8,PC,1%,66% G, ,G
2022_audi_a8hybrid,PC,1%,48%G,17% H,G
2022_audi_s8,PC,1%,64% G,,G
2022_audi_q3,MPV,1%,30% H,24% G,H
2022_audi_q3,MPV,1%,30% H,24% G,H
2022_audi_q4etronev,MPV,0%,82% G, ,G
2022_audi_q4etronev,MPV,0%,81% G, ,G
2022_audi_q4etronev,MPV,0%,81% G, ,G
2022_audi_q5,MPV,3%,63% M,20% G,M
2022_audi_q5,MPV,3%,78% M,,M
2022_audi_q5hybrid,MPV,2%,46% M,21% G,M
2022_audi_sq5,MPV,2%,63% M,21% H,M
2022_audi_q5,MPV,3%,76% M,16% G,M
2022_audi_sq5,MPV,2%,62% M,21% H,M
2022_audi_q7,MPV,1%,32% SL,19% G,SL
2022_audi_q7,MPV,1%,29% SL,22% G,SL
2022_audi_sq7,MPV,1%,53% G,26% SL,SL
2022_audi_q8,MPV,1%,26% SL,25% G,SL
2022_audi_sq8,MPV,1%,55% G,23% SL,SL
2022_audi_rsq8,MPV,1%,50% G,22% SL,SL
2022_audi_r8,PC,1%,56% G,24% H,G
2022_audi_r8,PC,1%,56% G,21% H,G
2022_audi_r8,PC,1%,49% G,21% H,G
2022_audi_r8,PC,1%,52% G ,18% H,G
2022_audi_tt,PC,1%,53% H,26% G,H
2022_audi_tts,PC,1%,53% H,27% G,H
2022_audi_ttrs,PC,1%,61% H,24% G,H
2022_audi_tt,PC,1%,52% H,25% G,H
2022_bentley_bentayga,MPV,0%,65% G,,UK
2022_bentley_bentayga,MPV,0%,65% G,,UK
2022_bentley_bentaygahybrid,MPV,0%,48% G,,UK
2022_bentley_flyingspur,PC,0%,67% G,15% UK,UK
2022_bentley_flyingspur,PC,0%,69% G,15% UK,UK
2022_bentley_mulsanne,PC,0%,41%UK,37%G,UK
2022_bentley_mulsanne,PC,0%,42% UK,35% G,UK
2022_bentley_continental,PC,0%,72% G, ,UK
2022_bentley_continental,PC,0%,71% G, ,UK
2022_bentley_continental,PC,0%,71% G, ,UK
2022_bentley_continental,PC,0%,70% G,,UK
2022_bmw_2series,PC,9%,39% G,17% M ,M
2022_bmw_2series,PC,5%,36% G,,G
2022_bmw_3serieshybrid,PC,5%,55% G,,G
2022_bmw_3serieshybrid,PC,10%,35% G,25% MX,M
2022_bmw_3series,PC,0%,56% G,,G
2022_bmw_3series,PC,10%,40% G,18% M,M
2022_bmw_4series,PC,0%,46% G,,G
2022_bmw_4series,PC,0%,48% G,,G
2022_bmw_5series,PC,1%,37% G,17% OT,A
2022_bmw_5series,PC,0%,54% G,,G
2022_bmw_7series,PC,1%,56% G,,G
2022_bmw_8series,PC,1%,58% G,,G
2022_bmw_8series,PC,1%,62% G,,G
2022_bmw_x1,MPV,0%,51% G,,G
2022_bmw_x2,MPV,0%,39% G,,G
2022_bmw_x3,MPV,14%,30% G,23% AF,AF
2022_bmw_x3,MPV,35%,16% G,16% M,US
2022_bmw_x3hybrid,MPV,35%,16% G,15% M,US
2022_bmw_x3,MPV,30%,24% G,17% MX,US
2022_bmw_x4,MPV,31%,25% G,19% MX,US
2022_bmw_x4,MPV,35%,16% G,15% M,US
2022_bmw_x5,MPV,38%,16% M ,12% G,US
2022_bmw_x5hybrid,MPV,36%,33% G,22% MX,US
2022_bmw_x6,MPV,39%,16% G ,15% M,US
2022_bmw_x7,MPV,36%,17% M,15% G,US
2022_bmw_z4,PC,0%,29% G,22% A,A
2022_bmw_i3,PC,5%,35% G,20% CH,G
2022_bmw_i4ev,PC,0%,48% G, ,G
2022_bmw_ixev,MPV,1%,31% CH,30% G,G
2022_mini_cooper,PC,0%,32% G,19% UK,UK
2022_mini_cooper,PC,0%,32% G,19% UK,UK
2022_mini_cooper,PC,0%,27% G,17% PL,N
2022_mini_cooper,PC,0%,32% G,19% UK,UK
2022_mini_cooper,MPV,6%,30% G,12% J,N
2022_toyota_supra,PC,0%,27% G,25% A,A
2022_rollsroyce_phantom,PC,1%,62% G, ,UK
2022_rollsroyce_ghost,PC,1%,62% G, ,UK
2022_rollsroyce_wraith,PC,1%,62% G, ,UK
2022_rollsroyce_dawn,PC,1%,62% G, ,UK
2022_rollsroyce_cullinan,MPV,1%,53% G, ,UK
2022_bugatti_chiron,PC,N/A,N/A,,F
2022_bugatti_chiron,PC,N/A,N/A,,F
2022_bugatti_chiron,PC,N/A,N/A,,F
2022_alfaromeo_4c,PC,0%,95% I,,Modena Italy
2022_alfaromeo_giulia,PC,0%,69% I,,Cassino Italy
2022_alfaromeo_stelvio,MPV,0%,55% I,13% F,Cassino Italy
2022_chrysler_300,PC,68%,19% M,,Brampton ON Canada
2022_chrysler_pacifica,MPV,69%,21% M,,Windsor ON Canada
2022_chrysler_voyager,MPV,68%,23% M,,Windsor ON Canada
2022_dodge_challenger,PC,67%,21% M,,Brampton ON Canada
2022_dodge_charger,PC,71%,18% M,,Brampton ON Canada
2022_dodge_durango,MPV,71%,19% M,,Detroit Ml USA
2022_dodge_grandcaravan,MPV,74%,14% M,,Windsor ON Canada
2022_dodge_journey,MPV,25%,69% M,,Toluca Mexico
2022_fiat_500l,MPV,0%,21% Serbia,19% I,Kragujevac Serbia
2022_fiat_500x,MPV,0%,62% I,20% PL,Melfi Italy
2022_jeep_cherokee,MPV,72%,19% M,,Belvidere IL USA
2022_jeep_compass,MPV,22%,68% M,,Toluca Mexico
2022_jeep_gladiator,Truck,68%,21% M,,Toledo OH USA
2022_jeep_grandcherokee,MPV,73%,19% M,,Detroit Ml USA
2022_jeep_grandcherokee,MPV,66%,24% M,,Detroit Ml USA
2022_jeep_grandwagoneer,MPV,60%,32% M,,Detroit Ml USA
2022_jeep_renegade,MPV,14%,63% I,,Melfi Italy
2022_jeep_wrangler,MPV,60%,20% M,,Toledo OH USA
2022_ram_1500,Truck,63%,28% M,,Sterling Heights MI USA
2022_ram_1500classic,Truck,65%,25% M,,Warren MI USA 
2022_ram_1500classic,Truck,G (8HP75 & 8HP75PH),40% M,,Saltillo Mexico (Reg. Cab)
2022_ram_promaster,MPV,34%,44% T,18% I,Bursa Turkey
2022_mazda_spider,PC,,,,
2022_maserati_levante,MPV,2%,71% I,,I
2022_maserati_ghibli,PC,3%,75% I,,I
2022_maserati_quattroporte,PC,3%,76% I,,I
2022_maserati_mc20,PC,10%,80% I,,I
2022_ford_bronco,MPV,55%, ,,US
2022_ford_broncosport,MPV,25%,67% MX,,MX
2022_ford_ecosport,MPV,22%,54% IN,,IN
