year_make_model,vehicle_type,pcUSCA_content,pcOth1_content,pcOth2_content,assembly1
2023_audi_etronev,MPV,1%,46% H,22% G,BE
2023_audi_etronsev,MPV,1%,47% H,21% G,BE
2023_audi_etronev,MPV,1%,46% H,22% G,BE
2023_audi_etronev,MPV,1%,47% H,21% G,BE
2023_audi_etrongtev,PC,1%,47% G,23% PL,G
2023_audi_rsetrongtev,PC,1%,48% G,21% PL,G
2023_audi_a3,PC,1%,54% G,23% H,G
2023_audi_a3,PC,0%,52% G , ,G
2023_audi_s3,PC,0%,52% G ,,G
2023_audi_rs3,PC,1%,46% G,28% H,G
2023_audi_a4,PC,1%,50% G, ,G
2023_audi_a4,PC,1%,50% G, ,G
2023_audi_s4,PC,1%,38% G,29% H,G 
2023_audi_a4allroad,MPV,1%,46% G,,G
2023_audi_a5,PC,1%,50% G,,G
2023_audi_a5,PC,1%,48% G, ,G
2023_audi_a5,PC,1%,45% G, ,G
2023_audi_a5,PC,1%,48% G, ,G
2023_audi_s5,PC,1%,38% G,29% H,G
2023_audi_rs5,PC,1%,40% G,28% H,G
2023_audi_s5,PC,1%,41% G,24% H,G
2023_audi_s5,PC,1%,38% G,29% H,G
2023_audi_rs5,PC,1%,37% G,32% H,G
2023_audi_a6,PC,1%,49% G, ,G
2023_audi_a6,PC,1%,48% G,18% H,G
2023_audi_s6,PC,1%,40% G,25% H,G
2023_audi_rs6,PC,1%,61% G, ,G
2023_audi_a6allroad,PC,1%,46% G,17% H,G
2023_audi_a7,PC,1%,47% G,19% H,G
2023_audi_a7hybrid,PC,1%,42% G,26% H,G
2023_audi_s7,PC,1%,41% G,25% H,G
2023_audi_rs7,PC,1%,40% G,25% H,G
2023_audi_a8,PC,1%,44% G,19% H,G
2023_audi_s8,PC,1%,65% G,,G
2023_audi_q3,MPV,1%,33% H,20% G,H
2023_audi_q3,MPV,1%,30% H,26% G,H
2023_audi_q4etronev,MPV,0%,80% G, ,G
2023_audi_q4etronev,MPV,0%,79% G, ,G
2023_audi_q4etronev,MPV,0%,82% G, ,G
2023_audi_q5,MPV,2%,66% M,16% G,M
2023_audi_q5,MPV,2%,76% M,16% G,M
2023_audi_q5hybrid,MPV,2%,48% M,35% G,M
2023_audi_sq5,MPV,1%,66% M,23% H,M
2023_audi_q5,MPV,2%,76% M,16% G,M
2023_audi_sq5,MPV,1%,67% M ,22% H,M
2023_audi_q7,MPV,1%,33% SL,19% G,SL
2023_audi_q7,MPV,1%,33% SL,23% G,SL
2023_audi_sq7,MPV,1%,54% G,26% SL,SL
2023_audi_q8,MPV,1%,31% SL,24% G,SL
2023_audi_sq8,MPV,1%,52% G ,28% SL,SL
2023_audi_rsq8,MPV,1%,49% G,24% SL,SL
2023_audi_r8,PC,1%,54% G,23% H,G
2023_audi_r8,PC,1%,50% G,20% H,G
2023_audi_r8,PC,1%,48% G,20% H,G
2023_audi_r8,PC,1%,47% G,18% H,G
2023_audi_r8,PC,1%,55% G,18% H,G
2023_audi_tt,PC,1%,50% H,23% G,H
2023_audi_tts,PC,1%,53% H,22% G,H
2023_audi_ttrs,PC,1%,61% H,24% G,H
2023_audi_tt,PC,1%,50% H,20% G,H
2023_bentley_bentayga,MPV,0%,65% G,,UK
2023_bentley_bentayga,MPV,0%,64% G,,UK
2023_bentley_bentayga,MPV,0%,68% G,,UK
2023_bentley_bentaygahybrid,MPV,0%,51% G,,UK
2023_bentley_flyingspur,PC,0%,66% G, ,UK
2023_bentley_flyingspur,PC,0%,70% G, ,UK
2023_bentley_flyingspurhybrid,PC,0%,60% G, ,UK
2023_bentley_continental,PC,0%,66% G,19% UK,UK
2023_bentley_continental,PC,0%,70% G, ,UK
2023_bentley_continental,PC,0%,68% G, ,UK
2023_bentley_continental,PC,0%,65% G,,UK
2023_bmw_2series,PC,6%,23% G,17% M ,M
2023_bmw_2series,PC,0%,36% G,,G
2023_bmw_3series,PC,0%,25% G,,G
2023_bmw_3series,PC,7%,27% G,15% M,M
2023_bmw_m3,PC,0%,32% G,,G
2023_bmw_4series,PC,1%,29% G,,G
2023_bmw_4series,PC,0%,60% G,,G
2023_bmw_5series,PC,1%,34% G,16% A,A
2023_bmw_5series,PC,0%, ,,G
2023_bmw_7series,PC,1%, ,,G
2023_bmw_8series,PC,1%,53% G,,G
2023_bmw_8series,PC,1%,58% G,,G
2023_bmw_x1,MPV,2%,21% G,,G
2023_bmw_x2,MPV,0%,37% G,,G
2023_bmw_x3,MPV,14%,30% G,23% AF,AF
2023_bmw_x3,MPV,40%, , ,US
2023_bmw_x3hybrid,MPV,35%,16% G,15% M,US
2023_bmw_x4,MPV,35%, , ,US
2023_bmw_x5,MPV,32%, , ,US
2023_bmw_x6,MPV,36%,17% G,15% M,US
2023_bmw_x7,MPV,20%,24% G, ,US
2023_bmw_xmhybrid,MPV,6%,21% G, ,US
2023_bmw_z4,PC,1%,27% G,22% A,A
2023_bmw_i4ev,PC,1%,24% G, ,G
2023_bmw_ixev,MPV,1%,36% H,21% G,G
2023_bmw_i7ev,PC,1%, , ,G
2023_bmw_m2,PC,5%,40% G,15% M,M
2023_mini_cooper,PC,0%,21% G,38% UK,UK
2023_mini_cooper,PC,0%,21% G,38% UK,UK
2023_mini_cooper,PC,0%,18% G,17% UK,N
2023_mini_cooper,PC,0%,21% G,38% UK,UK
2023_mini_cooper,MPV,2%,25% G, ,N
2023_toyota_supra,PC,0%,23% A,20% G,A
2023_bugatti_chiron,PC,N/A,N/A,,F
2023_bugatti_chiron,PC,N/A,N/A,,F
2023_bugatti_chiron,PC,N/A,N/A,,F
2023_alfaromeo_giulia,PC,0%,69% I,,Cassino Italy
2023_alfaromeo_stelvio,MPV,0%,55% I,13% F,Cassino Italy
2023_chrysler_300,PC,68%,19% M,,Brampton ON Canada
2023_chrysler_pacifica,MPV,69%,21% M,,Windsor ON Canada
2023_dodge_challenger,PC,67%,21% M,,Brampton ON Canada
2023_dodge_charger,PC,71%,18% M,,Brampton ON Canada
2023_dodge_durango,MPV,71%,19% M,,Detroit Ml USA
2023_fiat_500x,MPV,0%,62% I,20% PL,Melfi Italy
2023_jeep_cherokee,MPV,72%,19% M,,Belvidere IL USA
2023_jeep_compass,MPV,22%,68% M,,Toluca Mexico
2023_jeep_gladiator,Truck,68%,21% M,,Toledo OH USA
2023_jeep_grandcherokee,MPV,66%,24% M,,Detroit Ml USA
2023_jeep_grandcherokee,MPV,66%,24% M,,Detroit Ml USA
2023_jeep_wagoneer,MPV,60%,33% M,,Detroit Ml USA
2023_jeep_grandwagoneer,MPV,60%,33% M,,Detroit Ml USA
2023_jeep_wrangler,MPV,61%,21% M,,Toledo OH USA
2023_jeep_renegade,MPV,14%,63% I,,Melfi Italy
2023_jeep_wrangler,MPV,61%,21% M,,Toledo OH USA
2023_ram_1500,Truck,63%,28% M,,Sterling Heights MI USA
2023_ram_1500classic,Truck,65%,25% M,,Warren MI USA 
2023_ram_1500classic,Truck,G (8HP75 & 8HP75PH),40% M,,Saltillo Mexico (Reg. Cab)
2023_ram_promaster,MPV,34%,44% T,18% I,Bursa Turkey
2023_maserati_levante,MPV,2%,71% I,,I
2023_maserati_ghibli,PC,3%,75% I,,I
2023_maserati_granturismo,PC,1%,66% I,,I
2023_maserati_granturismo,PC,1%,67% I,,I
2023_maserati_grecale,MPV,1%,72% I,,I
2023_maserati_grecale,MPV,1%,59% I,,I
2023_maserati_quattroporte,PC,3%,76% I,,I
2023_maserati_mc20,PC,11%,79% I,,I
2023_ford_bronco,MPV,29%, ,,US
2023_ford_broncosport,MPV,19%,64% MX,,MX
2023_ford_ecosport,MPV, , ,,IN
2023_ford_edge,MPV,36%,18% MX,,CN
2023_ford_escape,MPV,22%,22% MX,,US
2023_ford_escapehybrid,MPV,22%,22% MX,,US
2023_ford_expedition,MPV,40%,19% MX,,US
2023_ford_explorer,MPV,27%, ,,US
2023_ford_f150ev,Truck,38%,26% K,,US
2023_ford_f150,Truck,30%,,,US
2023_ford_f150,Truck,30%,,,US
2023_ford_gt,PC, ,,,CN
2023_ford_mustangmacheev,MPV,12%,72% MX,,MX
2023_ford_maverick,MPV,11%,,,MX
2023_ford_mustang,PC,16%, ,,US
2023_ford_ranger,MPV,23%,,,US
2023_ford_transit,Truck,17%,43% ESP,,ESP
2023_ford_transitev,Truck, , ,,US
2023_lincoln_corsair,PC,52%,22% MX,,US
2023_lincoln_corsairhybrid,PC,52%,22% MX,,US
2023_lincoln_aviator,MPV,20%, ,,US
2023_lincoln_aviatorhybrid,MPV,20%, ,,US
2023_lincoln_nautilus,MPV,21%, ,,CN
2023_lincoln_navigator,MPV,40%,19% MX,,US
2023_acura_rdx,MPV,65%,,,US
2023_acura_rdx,MPV,65%,,,US
2023_acura_rdx,MPV,60%,,,US
2023_acura_rdx,MPV,65%,,,US
2023_acura_rdx,MPV,65%,,,US
2023_honda_ridgeline,Truck,65%,,,US
