year_make_model,vehicle_type,pcUSCA_content,pcOth1_content,pcOth2_content,assembly1
2016_audi_a3,PC,1%,53%H,36%G,H 
2016_audi_a3,PC,1%,53%H,36%G,H
2016_audi_a3,PC,0%,43%H,32%G,H
2016_audi_s3,PC,0%,52%H,38%G,H
2016_audi_a3,PC,1%,47%H,42%G,H
2016_audi_a3e,PC,1%,65%G,15%SL,G
2016_audi_a4,PC,1%,65%G,16%H,G
2016_audi_a4,PC,1%,65%G,15%H,G
2016_audi_s4,PC,1%,61%G,21%H,G
2016_audi_s4,PC,1%,60%G,22%H,G
2016_audi_allroad ,MPV,1%,64%G,,G
2016_audi_a5,PC,1%,69%G,,G
2016_audi_s5,PC,1%,65%G,18%H,G
2016_audi_a5,PC,1%,66%G,15%H,G
2016_audi_a5,PC,1%,66%G,,G
2016_audi_s5,PC,1%,61%G,21%H,G
2016_audi_s5,PC,1%,60%G,21%H,G
2016_audi_a6,PC,1%,62%G,,G
2016_audi_a6,PC,1%,64%G,,G
2016_audi_a6,PC,1%,55%G,21%H,G
2016_audi_a6,PC,0%,56%G,20%H,G
2016_audi_s6,PC,1%,56%G,24%H,G
2016_audi_a7,PC,1%,62%G,19%H,G
2016_audi_a7,PC,1%,62%G,18%H,G
2016_audi_s7,PC,1%,61%G,22%H,G
2016_audi_rs7,PC,1%,62%G,20%H,G
2016_audi_rs7,PC,1%,63%G,18%H,G
2016_audi_a8,PC,1%,64%G,,G
2016_audi_a8,PC,1%,63%G,,G
2016_audi_a8,PC,1%,60%G,20%H,G
2016_audi_s8,PC,1%,59%G,18%H,G
2016_audi_s8,PC,1%,59%G,19%H,G
2016_audi_a8,PC,1%,48%G,35%GB,G
2016_audi_q3,MPV,1%,37%SP,19%G,SP
2016_audi_q3,MPV,1%,36%SP,21%G,SP
2016_audi_q5,MPV,1%,60%G,17%H,G
2016_audi_q5hybrid,MPV,1%,58%G,15%H,G
2016_audi_q5,MPV,1%,58%G,22%H,G
2016_audi_q5,MPV,1%,57%G,22%H,G
2016_audi_sq5,MPV,1%,62%G,20%H,G
2016_audi_tt,PC,1%,52%H,39%G,H
2016_audi_tts,PC,1%,53%H,39%G,H
2016_audi_tt,PC,1%,46%H,40%G,H
2016_audi_tts,PC,1%,46%H,40%G,H
2016_bmw_6series,PC,5%,80%G,,G
2016_bmw_6series,PC,5%,75%G,,G
2016_bmw_x3,MPV,10%,75%G,,US
2016_bmw_x4,MPV,15%,50%G,,US
2016_bmw_z4,PC,5%,75%G,,G
2016_ford_cmax,PC,46%,20%J,,US
2016_ford_edge,MPV,70%,17%M,,CN
2016_ford_escape,MPV,55%,15%M,,US
2016_ford_expedition,MPV,55%,,,US
2016_ford_explorer,MPV,60%,,,US
2016_ford_f150,Truck,70%,,,US
2016_ford_fiesta,PC,7%,71%M,,M
2016_ford_flex,MPV,62%,15%M,,CN
2016_ford_focus,PC,46%,22%M,,US
2016_ford_focus,PC,5%,40%G,,G
2016_ford_fusion,PC,25%,60% M,,US
2016_ford_mustang,PC,60%,,,US
2016_ford_taurus,PC,61%,,,US
2016_ford_transitconnect,Truck,11%,43%SP,,SP
2016_lincoln_mkc,MPV,55%,20%M,,US
2016_lincoln_mks,PC,52%,16%M,,US
2016_lincoln_mkt,MPV,56%,15%M,,CN
2016_lincoln_mkx,MPV,67%,,,CN
2016_lincoln_mkz,PC,25%,60%M,,M
2016_lincoln_navigator,MPV,52%,,,US
2016_buick_cascada,,6%,31% P,,H
2016_buick_enclave,MPV,80%,,,US
2016_buick_encore,MPV,3%,68%K,18%CH,K
2016_buick_envision,MPV,5%,85% CH,,CH
2016_buick_lacrosse,PC,65%,20%M,,US
2016_buick_verano,PC,61%,15%M,,US
2016_buick_regal,PC,65%,20%M,,CN
2016_cadillac_ats,PC,60%,17%M,,US
2016_cadillac_ct6,PC,60%,17%CH,,US
2016_cadillac_cts,PC,60%,17%M,,US
2016_cadillac_elr,PC,50%,,,US
2016_cadillac_escalade,MPV,65%,26% M,,US
2016_cadillac_srx,MPV,21%,70%M,,M
2016_cadillac_xts,PC,65%,20%M,,CN
2016_chevrolet_camaro,PC,60%,17%M,,US
2016_chevrolet_caprice,PC,3%,80%AU,,AU
2016_chevrolet_cityexpress,MPV,15%,55% M,15% J,M
2016_chevrolet_colorado,LT,61%,15%TH,,US
2016_chevrolet_corvette,PC,66%,,,US
2016_chevrolet_cruze,PC,60%,26%M,,US
2016_chevrolet_cruzelimited,PC,61%,15%M,,US
2016_chevrolet_equinox,MPV,65%,15%M,,US
2016_chevrolet_impala,PC,65%,20%M,,CN
2016_chevrolet_malibuhybrid,PC,65%,18%M,,US
2016_chevrolet_malibulimited,PC,65%,20%M,,US
2016_chevrolet_silverado,LT,45%,51%M,,US
2016_chevrolet_silverado,LT,45%,51%  M,,M
2016_chevrolet_sonic,PC,55%,,,US
2016_chevrolet_spark,PC,2%,68%K,,K
2016_chevrolet_sparkev,PC,60%,21%K,,K
2016_chevrolet_ss,PC,3%,80%AU,,AU
2016_chevrolet_tahoe,MPV,65%,26%M,,US
2016_chevrolet_suburban,MPV,65%,26%M,,US
2016_chevrolet_traverse,MPV,80%,,,US
2016_chevrolet_trax,MPV,4%,73%K,,K
2016_chevrolet_trax,MPV,17%,55%M,,M
2016_chevrolet_volthybrid,PC,50%,,,US
2016_gmc_acadia,MPV,80%,,,US
2016_gmc_canyon,LT,61%,15%TH,,US
2016_gmc_sierra,LT,45%,51%M,,US
2016_gmc_terrain,MPV,65%,15%M,,CN
2016_gmc_yukon,MPV,65%,26%M,,US
2016_acura_rlx,PC,10%,80%J,,J
2016_acura_rlxhybrid,PC,10%,80%J,,J
2016_acura_ilx,PC,60%,25%J,,US
2016_acura_mdx,MPV,65%,,,US
2016_honda_hrv,MPV,10%,60%M,20%J,M
2016_honda_fit,PC,25%,35%M,25%J,M
2016_honda_fit,PC,25%,35%M,25%J,M
2016_honda_fit,PC,15%,55%J,15%M,M
2016_honda_fit,PC,15%,55%J,15%M,M
2016_honda_fit,PC,15%,55%J,15%M,J
2016_acura_rdx,MPV,70%,,,US
2016_acura_rdx,MPV,70%,,,US
2016_honda_pilot,MPV,75%,,,US
2016_honda_odyssey,MPV,75%,,,US
2016_honda_accord,PC,80%,,,US
2016_honda_accord,PC,80%,,,US
2016_acura_tlx,PC,65%,,,US
2016_acura_tlx,PC,65%,,,US
2016_honda_crv,MPV,70%,,,US
2016_honda_crv,MPV,70%,,,CN
2016_honda_crv,MPV,70%,,,M
2016_honda_civic,PC,70%,,,US
