Manufacturers,Makes,Carlines,year_make_model,check,,vehicle_type,pcUSCA_content,pcOth1_content,pcOth2_content,assembly1,assembly2,engine1,engine2,transmission1,transmission2,,allowed_names,
Audi,Audi,RS5 Coupe,2024_audi_rs5,TRUE,OK,PC,1%,39% G,30% H,G,,H,,H,,,2024_audi_s5,TRUE
Audi,Audi,RS5 Sportback,2024_audi_rs5,TRUE,OK,PC,1%,39% G,31% H,G,,H,,H,,,2024_audi_s6,TRUE
Audi,Audi,RS6 Avant,2024_audi_rs6,TRUE,OK,PC,1%,60% G,,G,,G,,G,,,2024_audi_s7,TRUE
Audi,Audi,RS7,2024_audi_rs7,TRUE,OK,PC,1%,56% G,,G,,G,,G,,,2024_audi_s8,TRUE
Audi,Audi,RS Q8,2024_audi_rsq8,TRUE,OK,MPV,1%,49% G,26% SL,SL,,G,,G,,,2024_audi_sq5,TRUE
Audi,Audi,S3,2024_audi_s3,TRUE,OK,PC,0%,56% G,,G,,H,,G,,,2024_audi_sq7,TRUE
Audi,Audi,S4,2024_audi_s4,TRUE,OK,PC,1%,39% G,30% H,G,,H,,H,,,2024_audi_sq8,TRUE
Audi,Audi,S5 Cabriolet,2024_audi_s5,TRUE,OK,PC,1%,48% G,25% H,G,,H,,H,,,2024_audi_sq8etronev,TRUE
Audi,Audi,S5 Coupe,2024_audi_s5,TRUE,OK,PC,1%,39% G,30% H,G,,H,,H,,,2024_bentley_bentayga,TRUE
Audi,Audi,S5 Sportback,2024_audi_s5,TRUE,OK,PC,1%,41% G,29% H,G,,H,,H,,,2024_bentley_bentaygahybrid,TRUE
Audi,Audi,S6,2024_audi_s6,TRUE,OK,PC,1%,37% G,26% H,G,,H,,H,,,2024_bentley_continental,TRUE
Audi,Audi,S7,2024_audi_s7,TRUE,OK,PC,1%,39% G,26% H,G,,H,,H,,,2024_bentley_flyingspur,TRUE
Audi,Audi,S8L,2024_audi_s8,TRUE,OK,PC,1%,63% G,,G,,G,,G,,,2024_bentley_flyingspurhybrid,TRUE
Audi,Audi,SQ5,2024_audi_sq5,TRUE,OK,MPV,2%,68% M,21% H,M,,H,,H,,,2024_bmw_2series,TRUE
Audi,Audi,SQ5 Sportback,2024_audi_sq5,TRUE,OK,MPV,2%,68% M,20% H,M,,H,,H,,,2024_bmw_2seriesm,FALSE
Audi,Audi,SQ7,2024_audi_sq7,TRUE,OK,MPV,1%,54% G,26% SL,SL,,G,,G,,,2024_bmw_3series,TRUE
Audi,Audi,SQ8,2024_audi_sq8,TRUE,OK,MPV,1%,28% SL,25% H,SL,,H,,H,,,2024_bmw_3serieshybrid,FALSE
Audi,Audi,SQ8 e-tron,2024_audi_sq8etronev,TRUE,OK,MPV,1%,53% H,16% G,BE,,H,,H,,,2024_bmw_3seriesm,FALSE
Audi,Audi,SQ8 e-tron Sportback,2024_audi_sq8etronev,TRUE,OK,MPV,1%,53% H,16% G,BE,,H,,H,,,2024_bmw_4series,TRUE
Bentley,Bentley,Bentayga V8,2024_bentley_bentayga,TRUE,OK,MPV,0%,65% G,,UK,,G,,G,,,2024_bmw_4seriesm,FALSE
Bentley,Bentley,Bentayga EWB V8,2024_bentley_bentayga,TRUE,OK,MPV,0%,64% G,,UK,,G,,G,,,2024_bmw_5series,TRUE
Bentley,Bentley,Bentayga Hybrid,2024_bentley_bentaygahybrid,TRUE,OK,MPV,0%,50% G,,UK,,G,,G,,,2024_bmw_7series,TRUE
Bentley,Bentley,Continental GT V8,2024_bentley_continental,TRUE,OK,PC,0%,68% G,16% UK,UK,,G,,G,,,2024_bmw_7serieshybrid,FALSE
Bentley,Bentley,Continental GT Convertible V8,2024_bentley_continental,TRUE,OK,PC,0%,65% G,15% UK,UK,,G,,G,,,2024_bmw_8series,TRUE
Bentley,Bentley,Continental GT Speed,2024_bentley_continental,TRUE,OK,PC,0%,68% G,,UK,,G,,G,,,2024_bmw_8seriesm,FALSE
Bentley,Bentley,Continental GT Convertible Speed,2024_bentley_continental,TRUE,OK,PC,0%,66% G,,UK,,G,,G,,,2024_bmw_i4ev,TRUE
Bentley,Bentley,Flying Spur,2024_bentley_flyingspur,TRUE,OK,PC,0%,64% G,15% UK,UK,,G,,G,,,2024_bmw_i5ev,TRUE
Bentley,Bentley,Flying Spur V8,2024_bentley_flyingspur,TRUE,OK,PC,0%,69% G,15% UK,UK,,G,,G,,,2024_bmw_i7ev,TRUE
Bentley,Bentley,Flying Spur Hybrid,2024_bentley_flyingspurhybrid,TRUE,OK,PC,0%,59% G,15% UK,UK,,G,,G,,,2024_bmw_ixev,TRUE
BMW AG,BMW,2 Series Coupe/Convertible,2024_bmw_2series,TRUE,OK,PC,8%,24% G,23% M,M,,A,,G,,,2024_bmw_m2,TRUE
BMW AG,BMW,2 Series Gran Coupe,2024_bmw_2series,TRUE,OK,PC,0%,37% G,,G,,G,,J,,,2024_bmw_m3,TRUE
BMW AG,BMW,3 Series Sedan,2024_bmw_3series,TRUE,OK,PC,9%,23% G,21% M,M,,A,,G,,,2024_bmw_m4,FALSE
BMW AG,BMW,4 Series Coupe/Convertible,2024_bmw_4series,TRUE,OK,PC,0%,48% G,,G,,G,,G,,,2024_bmw_m8,TRUE
BMW AG,BMW,4 Series  Gran Coupe,2024_bmw_4series,TRUE,OK,PC,0%,38% G,,G,,G,,G,,,2024_bmw_x1,TRUE
BMW AG,BMW,5 Series,2024_bmw_5series,TRUE,OK,PC,0%,48% G,,G,,G,,G,,,2024_bmw_x2,TRUE
BMW AG,BMW,7 Series,2024_bmw_7series,TRUE,OK,PC,0%,34% G,,G,,G,,G,,,2024_bmw_x3,TRUE
BMW AG,BMW,i5,2024_bmw_i5ev,TRUE,OK,PC,0%,48% G,,G,,G,,G,,,2024_bmw_x4,TRUE
BMW AG,BMW,i7,2024_bmw_i7ev,TRUE,OK,PC,0%,34% G,,G,,G,,G,,,2024_bmw_x5,TRUE
BMW AG,BMW,8 Series Coupe/Convertible,2024_bmw_8series,TRUE,OK,PC,0%,35% G,16% OT,G,,G,,G,,,2024_bmw_x5hybrid,FALSE
BMW AG,BMW,8 Series Gran Coupe,2024_bmw_8series,TRUE,OK,PC,0%,35% G,16% OT,G,,G,,G,,,2024_bmw_x6,TRUE
BMW AG,BMW,Cooper Clubman,2024_mini_cooper,TRUE,OK,PC,0%,30% G,18% UK,UK,,G,,G,"J (JCW Auto, AWD)",,2024_bmw_x7,TRUE
BMW AG,BMW,Cooper Convertible,2024_mini_cooper,TRUE,OK,PC,0%,22% G,16% PL,N,,UK,,G,,,2024_bmw_xmhybrid,TRUE
BMW AG,BMW,Cooper Countryman,2024_mini_cooper,TRUE,OK,MPV,0%,25% G,11% PL,N,,UK,,J,,,2024_bmw_z4,TRUE
BMW AG,BMW,Cooper Hard Top 2 Door,2024_mini_cooper,TRUE,OK,PC,0%,30% G,18% UK,UK,,G,,G,,,2024_buick_enclave,TRUE
BMW AG,BMW,Cooper Hard Top 4 Door,2024_mini_cooper,TRUE,OK,PC,0%,30% G,18% UK,UK,,G,,G,,,2024_buick_encoregx,TRUE
BMW AG,BMW,i4,2024_bmw_i4ev,TRUE,OK,PC,0%,34% G,18% UK,G,,G,,G,,,2024_buick_envision,FALSE
BMW AG,BMW,iX,2024_bmw_ixev,TRUE,OK,MPV,1%,21% H,16% G,G,,G,,G,,,2024_buick_envista,TRUE
