year_make_model,vehicle_type,pcUSCA_content,pcOth1_content,pcOth2_content,assembly1
2021_audi_etronev,MPV,1%,31% PL,25% G,BE
2021_audi_etronev,MPV,1%,31% PL,24% G,BE
2021_audi_a4,PC,2%,43% G,16% H,G
2021_audi_a4,PC,2%,43% G, ,G
2021_audi_s4,PC,1%,42% G,31% H,G 
2021_audi_a4,MPV,2%,44% G,,G
2021_audi_a5,PC,1%,48% G,,G
2021_audi_s5,PC,1%,45% G,25% H,G
2021_audi_a5,PC,2%,47% G, ,G
2021_audi_s5,PC,1%,43% G,30% H,G
2021_audi_rs5,PC,1%,42%G,29% H,G
2021_audi_a5,PC,2%,44% G, ,G
2021_audi_a5,PC,2%,46% G, ,G
2021_audi_s5,PC,1%,42% G,30% H,G
2021_audi_rs5,PC,1%,40% G,33% H,G
2021_audi_a6,PC,2%,49% G, ,G
2021_audi_a6,PC,2%,48% G, ,G
2021_audi_a6,PC,1%,49% G,19% H,G
2021_audi_s6,PC,1%,42% G,28% H,G
2021_audi_rs6,PC,1%,61% G, ,G
2021_audi_a6,PC,1%,47%G,18% H,G
2021_audi_a7,PC,1%,46% G,20% H,G
2021_audi_a7,PC,1%,40% G, ,G
2021_audi_s7,PC,1%,43% G,27% H,G
2021_audi_a8,PC,1%,48% G,21% H,G
2021_audi_a8,PC,1%,66% G, ,G
2021_audi_a8hybrid,PC,1%,48%G,17% H,G
2021_audi_s8,PC,1%,71% G,,G
2021_audi_q3,MPV,1%,34% H,23% G,H
2021_audi_q3,MPV,1%,49% H,23% G,H
2021_audi_q5,MPV,2%,76% M,,M
2021_audi_q5hybrid,MPV,2%,48% M,19% G,M
2021_audi_sq5,MPV,2%,61% M,17% G,M
2021_audi_q5,MPV,3%,79% M,15% G,M
2021_audi_sq5,MPV,2%,69% M,19% H,M
2021_audi_q7,MPV,1%,31% SL,20% G,SL
2021_audi_q7,MPV,1%,28% SL,25% G,SL
2021_audi_sq7,MPV,1%,51% G,28% SL,SL
2021_audi_q8,MPV,1%,28% G,27% SL,SL
2021_audi_sq8,MPV,1%,51% G,29% SL,SL
2021_audi_rsq8,MPV,1%,45% G,26% SL,SL
2021_audi_r8,PC,1%,56% G,23% H,G
2021_audi_r8,PC,1%,56% G,20% H,G
2021_audi_r8,PC,1%,64% G,20% H,G
2021_audi_r8,PC,1%,64%G,18%H,G
2021_audi_tt,PC,1%,57% H,26% G,H
2021_audi_tts,PC,1%,41% H,34% G,H
2021_audi_ttrs,PC,1%,58% H,28% G,H
2021_audi_tt,PC,1%,55% H,24% G,H
2021_bentley_bentayga,MPV,0%,65% G,,UK
2021_bentley_bentayga,MPV,0%,64% G,,UK
2021_bentley_bentaygahybrid,MPV,0%,48% G,,UK
2021_bentley_flyingspur,PC,0%,68%G,15% UK,UK
2021_bentley_flyingspur,PC,0%,70% G,15% UK,UK
2021_bentley_continental,PC,0%,72% G, ,UK
2021_bentley_continental,PC,0%,71% G, ,UK
2021_bentley_continental,PC,0%,72% G, ,UK
2021_bentley_continental,PC,0%,70% G,,UK
2021_bmw_2series,PC,5%,65% G,,G
2021_bmw_2series,PC,5%,45% G,,G
2021_bmw_3serieshybrid,PC,5%,55% G,,G
2021_bmw_3serieshybrid,PC,10%,35% G,25% MX,M
2021_bmw_3series,PC,5%,55% G,,G
2021_bmw_3series,PC,10%,35% G,25% MX,M
2021_bmw_4series,PC,5%,55% G,,G
2021_bmw_5series,PC,5%,55% G,,G
2021_bmw_7series,PC,5%,60% G,,G
