Manufacturers,Makes,Carlines,year_make_model,vehicle_type,pcUSCA_content,pcOth1_content,pcOth2_content,assembly1,assembly2,engine1,engine2,transmission1,transmission2,,
Hyundai Motor Company,Hyundai,Elantra ,2020_hyundai_elantra,PC,0%,85% K, ,K,,K, ,K,,,
Hyundai Motor Company,Hyundai,Elantra ,2020_hyundai_elantra,PC,45%,35% K,20% MX,US,,US, ,US,,,
Hyundai Motor Company,Hyundai,Elantra ,2020_hyundai_elantra,PC,45%,35% K,20% MX,US,,US, ,MX,,,
Hyundai Motor Company,Hyundai,Elantra ,2020_hyundai_elantra,PC,45%,35% K,20% MX,US,,US,K,MX,,,
Hyundai Motor Company,Hyundai,Ioniq PHEV,2020_hyundai_ioniqhybrid,PC,0%,80% K,,K,,K,,K,,,
Hyundai Motor Company,Hyundai,Ioniq EV,2020_hyundai_ioniq,PC,0%,65% K,25% CH,K,,K,,K,,,
Hyundai Motor Company,Hyundai,Ioniq HEV,2020_hyundai_ioniqhybrid,PC,0%,80% K,,K,,K,,K,,,
Hyundai Motor Company,Hyundai,Kona,2020_hyundai_kona,MPV,5%,85% K,,K,,K,C,K,,,
Hyundai Motor Company,Hyundai,Kona EV,2020_hyundai_konaev,MPV,0%,95% K,,K,,K,,K,,,
Hyundai Motor Company,Hyundai,Nexo,2020_hyundai_nexo,MPV,0%,85% K,,K,,K,,K,,,
Hyundai Motor Company,Hyundai,Palisade,2020_hyundai_palisade,MPV,0%,90% K,,K,,K,,K,,,
Hyundai Motor Company,Hyundai,Santa Fe ,2020_hyundai_santafe,MPV,35%,55% K,,US,,US,,US,,,
Hyundai Motor Company,Hyundai,Sonata HEV,2020_hyundai_sonatahybrid,PC,0%,90% K,,K,,K,,K,,,
Hyundai Motor Company,Hyundai,Sonata,2020_hyundai_sonata,PC,45%,40% K,,US,,US,,US,,,
Hyundai Motor Company,Hyundai,Tucson,2020_hyundai_tucson,MPV,0%,85% K,,K,,K,,K,,,
Hyundai Motor Company,Hyundai,Veloster,2020_hyundai_veloster,PC,0%,90% K,,K,,K,,K,,,
Hyundai Motor Company,Hyundai,Veloster N,2020_hyundai_velostern,PC,5%,85% K,,K,,K,,K,,,
Hyundai Motor Company,Hyundai,Venue,2020_hyundai_venue,MPV,0%,95% K,,K,,K,,K,,,
Jaguar Land Rover Limited,Jaguar,F-PACE - 25t,2020_jaguar_fpace,MPV,4%,52% Germany,41% United Kingdom,UK, ,UK, ,G,,,
Jaguar Land Rover Limited,Jaguar,F-PACE - 30t,2020_jaguar_fpace,MPV,0%,61% United Kingdom,15% Germany,UK, ,UK, ,G,,,
Jaguar Land Rover Limited,Jaguar,F-PACE - S,2020_jaguar_fpace,MPV,4%,47% United Kingdom,46% Germany,UK, ,UK, ,G,,,
Jaguar Land Rover Limited,Jaguar,F-PACE - SVR,2020_jaguar_fpace,MPV,0%,66% United Kingdom,11% Germany,UK, ,UK, ,G,,,
Jaguar Land Rover Limited,Jaguar,F-TYPE Automatic Coupe RWD (I4 - 296 HP),2020_jaguar_ftype,PC,0%,62% United Kingdom,18% Germany,UK, ,UK, ,G,,,
Jaguar Land Rover Limited,Jaguar,F-TYPE Automatic Coupe RWD (V6 - 340 HP),2020_jaguar_ftype,PC,0%,67% United Kingdom,18% Germany,UK, ,UK, ,G,,,
Jaguar Land Rover Limited,Jaguar,"F-TYPE R-Dynamic Automatic Coupe RWD
(V6 - 380 HP)",2020_jaguar_ftype,PC,0%,67% United Kingdom,18% Germany,UK, ,UK, ,G,,,
Jaguar Land Rover Limited,Jaguar,"F-TYPE R-Dynamic Automatic AWD Coupe
(V6 - 380 HP)",2020_jaguar_ftype,PC,0%,65% United Kingdom,18% Germany,UK, ,UK, ,G,,,
Jaguar Land Rover Limited,Jaguar,"F-TYPE Checkered Flag LE Automatic AWD Coupe
(V6 - 380 HP)",2020_jaguar_ftype,PC,0%,65% United Kingdom,18% Germany,UK, ,UK, ,G,,,
Jaguar Land Rover Limited,Jaguar,F-TYPE R Coupe (AWD) (V8 - 550 HP),2020_jaguar_ftype,PC,0%,66% United Kingdom,20% Germany,UK, ,UK, ,G,,,
Jaguar Land Rover Limited,Jaguar,F-TYPE SVR Coupe (AWD) (V8 - 575 HP),2020_jaguar_ftype,PC,0%,66% United Kingdom,20% Germany,UK, ,UK, ,G,,,
Jaguar Land Rover Limited,Jaguar,"I-PACE EV400 S
(394hp Electric Motors/90kWh Battery)",2020_jaguar_ipace,MPV,0%,74% Poland, ,AU, ,P,,P,,,
Jaguar Land Rover Limited,Jaguar,"I-PACE EV400 SE
(394hp Electric Motors/90kWh Battery)",2020_jaguar_ipace,MPV,0%,74% Poland, ,AU, ,P,,P,,,
Jaguar Land Rover Limited,Jaguar,"I-PACE EV400 HSE
(394hp Electric Motors/90kWh Battery)",2020_jaguar_ipace,MPV,0%,74% Poland, ,AU, ,P,,P,,,
Jaguar Land Rover Limited,Land Rover,XF - 25t RWD,2020_jaguar_xf,PC,4%,50% UK,43% G,UK,,UK,,G,,,
Jaguar Land Rover Limited,Land Rover,XF - 25t AWD,2020_jaguar_xf,PC,4%,48% G,46% UK,UK,,UK,,G,,,
Jaguar Land Rover Limited,Land Rover,XF - 30t RWD,2020_jaguar_xf,PC,4%,50% UK,43% G,UK,,UK,,G,,,
Jaguar Land Rover Limited,Land Rover,XF - 30t AWD,2020_jaguar_xf,PC,4%,48% G,46% UK,UK,,UK,,G,,,
Jaguar Land Rover Limited,Land Rover,XF - S AWD,2020_jaguar_xf,PC,5%,47% G,46% UK,UK,,UK,,G,,,
Jaguar Land Rover Limited,Land Rover,XF - 30t Sportbrake AWD,2020_jaguar_xf,PC,5%,51% G,43% UK,UK,,UK,,G,,,
Jaguar Land Rover Limited,Land Rover,XF - S Sportbrake AWD,2020_jaguar_xf,PC,5%,51%G,43% UK,UK,,UK,,G,,,
Jaguar Land Rover Limited,Land Rover,XE - 25t RWD,2020_jaguar_xe,PC,4%,52% G ,41% UK,UK,,UK,,G,,,
Jaguar Land Rover Limited,Land Rover,XE - 25t AWD,2020_jaguar_xe,PC,4%,54% G,39% UK,UK,,UK,,G,,,
Jaguar Land Rover Limited,Land Rover,XE - 30t AWD,2020_jaguar_xe,PC,4%,54% G,39% UK,UK,,UK,,G,,,
Jaguar Land Rover Limited,Land Rover,Discovery Sport,2020_landrover_discoverysport,MPV,7%,50% UK,,UK,,UK,,US,,,
Jaguar Land Rover Limited,Land Rover,Range Rover Evoque,2020_landrover_rangeroverevoque,MPV,9%,54% UK,15% G ,UK,,UK,,US,,,
Jaguar Land Rover Limited,Land Rover,"Range Rover Velar
(2.0L 14 Gasoline Turbocharged)",2020_landrover_rangerovervelar,MPV,8%,60% UK,,UK,,UK,,G,,,
Jaguar Land Rover Limited,Land Rover,"Range Rover Velar
(3.0L V6 Gasoline Supercharged)",2020_landrover_rangerovervelar,MPV,8%,60% UK,,UK,,UK,,G,,,
Jaguar Land Rover Limited,Land Rover,"Range Rover Velar
(5.0L V8 Gasoline Supercharged)",2020_landrover_rangerovervelar,MPV,8%,60% UK,,UK,,UK,,G,,,
Jaguar Land Rover Limited,Land Rover,Range Rover 2.0L  PHEV  (Gasoline)  Standard Wheelbase,2020_landrover_rangeroverhybrid,MPV,5%,60% UK,8% G,UK,,UK,,G,,,
Jaguar Land Rover Limited,Land Rover,Range Rover 3.0L  Supercharged   (Gasoline)  Standard Wheelbase,2020_landrover_rangerover,MPV,5%,60% UK,8% G,UK,,UK,,G,,,
Jaguar Land Rover Limited,Land Rover,Range Rover 3.0L  Turbocharged (Diesel)    Standard Wheelbase,2020_landrover_rangerover,MPV,9%,72% UK,16% G,UK,,UK,,G,,,
Jaguar Land Rover Limited,Land Rover,Range Rover 5.0L  Supercharged   (Gasoline)  Standard Wheelbase,2020_landrover_rangerover,MPV,9%,72% UK,16% G,UK,,UK,,G,,,
Jaguar Land Rover Limited,Land Rover,Range Rover 5.0 L  Supercharged   (Gasoline)  Long Wheelbase,2020_landrover_rangerover,MPV,9%,72% UK,16% G,UK,,UK,,G,,,
Jaguar Land Rover Limited,Land Rover,Range Rover Sport 2.0L PHEV (Gasoline),2020_landrover_rangeroversporthybrid,MPV,1%,54% UK,15% G,UK,,UK,,G,,,
Jaguar Land Rover Limited,Land Rover,Range Rover Sport 3.0L Supercharged (Gasoline),2020_landrover_rangeroversport,MPV,1%,54% UK,15% G,UK,,UK,,G,,,
Jaguar Land Rover Limited,Land Rover,Range Rover Sport 3.0L Turbocharged   (Diesel),2020_landrover_rangeroversport,MPV,7%,69% UK,17% G,UK,,UK,,G,,,
Jaguar Land Rover Limited,Land Rover,Range Rover Sport 5.0L Supercharged (Gasoline),2020_landrover_rangeroversport,MPV,7%,69% UK,17% G,UK,,UK,,G,,,
Jaguar Land Rover Limited,Land Rover,Discovery 3.0L Supercharged (Gasoline),2020_landrover_discovery,MPV,7%,68% UK,17% G,UK,,UK,,G,,,
Jaguar Land Rover Limited,Land Rover,Discovery 3.0L Supercharged (Gasoline),2020_landrover_discovery,MPV,0%,72% UK,12% G,SL,,UK,,G,,,
Jaguar Land Rover Limited,Land Rover,Discovery 3.0L Turbocharged (Diesel),2020_landrover_discovery,MPV,7%,68% UK,17% G,UK,,UK,,G,,,
Jaguar Land Rover Limited,Land Rover,Discovery 3.0L Turbocharged (Diesel),2020_landrover_discovery,MPV,0%,72% UK,12% G,SL,,UK,,G,,,
Jaguar Land Rover Limited,Land Rover,E-Pace (I4-246  HP),2020_jaguar_epace,MPV,14%,62% G,21% UK,AU,,UK,,US,,,
Jaguar Land Rover Limited,Land Rover,E-Pace (I4-296  HP),2020_jaguar_epace,MPV,15%,63% G,20% UK,AU,,UK,,US,,,
Kia Motors,Kia,Cadenza,2020_kia_cadenza,PC,0%,95% K,,K,,K,,K,,,
Kia Motors,Kia,Forte,2020_kia_forte,PC,5%,35% K,65% MX,MX,,MX,,MX,K,,
Kia Motors,Kia,K900,2020_kia_k900,PC,5%,90% K,,K,,K,,K,,,
Kia Motors,Kia,Niro Electric,2020_kia_niro,MPV,0%,90% K,,K,,K,,K,,,
Kia Motors,Kia,Niro Hybrid,2020_kia_nirohybrid,MPV,0%,80% K,,K,,K,,K,,,
Kia Motors,Kia,Niro PHEV,2020_kia_nirohybrid,MPV,0%,85% K,,K,,K,,K,,,
Kia Motors,Kia,Niro Plug-In Hybrid,2020_kia_nirohybrid,MPV,0%,85% K,,K,,K,,K,,,
Kia Motors,Kia,Optima 1.6,2020_kia_optima,PC,45%,55% K,,US,,MX,,K,,,
Kia Motors,Kia,Optima 2.0,2020_kia_optima,PC,50%,50% K,,US,,US,,US,,,
Kia Motors,Kia,Optima 2.4,2020_kia_optima,PC,60%,40% K,,US,,US,,US,,,
Kia Motors,Kia,Optima   Hybrid,2020_kia_optimahybrid,PC,0%,95% K,,K,,K,,K,,,
Kia Motors,Kia,Optima   Hybrid Plug in,2020_kia_optimahybrid,PC,5%,95% K,,K,,K,,K,,,
Kia Motors,Kia,Rio,2020_kia_rio,PC,0%,45% K,55% MX,MX,,MX,,MX,,,
Kia Motors,Kia,Sedona,2020_kia_sedona,MPV,0%,85% K,,K,,K,,K,,,
Kia Motors,Kia,Sorento  ,2020_kia_sorento,MPV,55%,45% K,,US,,US,K,US,,,
Kia Motors,Kia,Sportage,2020_kia_sportage,MPV,0%,90% K,,K,,K,,K,,,
Kia Motors,Kia,Stinger,2020_kia_stinger,PC,0%,45% K,55% MX,MX,,MX,,MX,,,
Kia Motors,Kia,Soul,2020_kia_soul,MPV,1%,95% K,,K,,K,,K,,,
Kia Motors,Kia,Soul EV,2020_kia_soul,MPV,5%,90% K,,K,,K,,K,,,
Kia Motors,Kia,Telluride,2020_kia_telluride,MPV,51%,49% K,,US,,K,,US,,,
Lamborghini,Lamborghini,Huracan EVO ,2020_lamborghini_huracan,PC,0%,60%G,20%I,I,,H,,G,,,
Lamborghini,Lamborghini,Huracan ,2020_lamborghini_huracan,PC,0%,60%G,20%I,I,,H,,G,,,
Lamborghini,Lamborghini,Aventador,2020_lamborghini_aventador,PC,0%,45%I,31%G,I,,I,,I,,,
Lamborghini,Lamborghini,URUS,2020_lamborghini_urus,MPV,0%,70%G,,I,,G,,G,,,
Lotus Cars Ltd.,Lotus,Evora,2020_lotus_evora,PC,0%,N/A, ,UK,,J,,J,,,
Mazda Motor Corporation,Mazda,CX-30,2020_mazda_cx30,PC,5%,65% MX,15% J  15% TH,,,,,,,,
Mazda Motor Corporation,Mazda,CX-5,2020_mazda_cx5,MPV,0%,90% J,,J,,J,,J,,,
Mazda Motor Corporation,Mazda,CX-9,2020_mazda_cx9,MPV,0%,90% J,,J,,J,,J,,,
Mazda Motor Corporation,Mazda,Mazda3,2020_mazda_3,PC,0%,75% J,,J,,J,,J,,,
Mazda Motor Corporation,Mazda,Mazda3,2020_mazda_3,PC,5%,70% MX,25% J,MX,,MX,,TH,,,
Mazda Motor Corporation,Mazda,Mazda6,2020_mazda_6,PC,0%,90% J,,J,,J,,J,,,
Mercedes-Benz USA,Mercedes-Benz,C-Class Sedan (C300/C300-4M),2020_mercedesbenz_c,PC,70%,16% G,,US,,US,,G,,,
Mercedes-Benz USA,Mercedes-Benz,C-Class Sedan (C43),2020_mercedesbenz_c,PC,49%,40% G,,US,,G,,G,,,
Mercedes-Benz USA,Mercedes-Benz,C-Class Sedan (C63/C63S),2020_mercedesbenz_c,PC,49%,40% G,,US,,G,,G,,,
Mercedes-Benz USA,Mercedes-Benz,C-Class Sedan (C300/C300-4M),2020_mercedesbenz_c,PC,19%,36% SA,30% G,SA,,US,,G,,,
Mercedes-Benz USA,Mercedes-Benz,C-Class Sedan (C43),2020_mercedesbenz_c,PC,0%,56% G,30% SA,SA,,G,,G,,,
Mercedes-Benz USA,Mercedes-Benz,C-Class Coupe (C300/C300-4M),2020_mercedesbenz_c,PC,16%,62% G,,G,,US,,G,,,
Mercedes-Benz USA,Mercedes-Benz,C-Class Coupe  (C43),2020_mercedesbenz_c,PC,0%,85% G,,G,,G,,G,,,
Mercedes-Benz USA,Mercedes-Benz,C-Class Coupe  (C63/C63S),2020_mercedesbenz_c,PC,0%,85% G,,G,,G,,G,,,
Mercedes-Benz USA,Mercedes-Benz,C-Class Cabriolet (C300/C300-4M),2020_mercedesbenz_c,PC,14%,59% G,,G,,US,,G,,,
Mercedes-Benz USA,Mercedes-Benz,C-Class Cabriolet  (C43),2020_mercedesbenz_c,PC,0%,74% G,,G,,G,,G,,,
Mercedes-Benz USA,Mercedes-Benz,C-Class Cabriolet (C63/C63S),2020_mercedesbenz_c,PC,0%,74% G,,G,,G,,G,,,
Mercedes-Benz USA,Mercedes-Benz,E-Class Sedan (E350/E350-4M),2020_mercedesbenz_e,PC,0%,77% G,,G,,G,,G,,,
Mercedes-Benz USA,Mercedes-Benz,E-Class Sedan (E450-4M/ AMG E53),2020_mercedesbenz_e,PC,0%,77% G,,G,,G,,G,,,
Mercedes-Benz USA,Mercedes-Benz,E-Class Sedan (E63S),2020_mercedesbenz_e,PC,0%,77% G,,G,,G,,G,,,
Mercedes-Benz USA,Mercedes-Benz,E-Class Wagon (E450-4M),2020_mercedesbenz_e,PC,0%,82% G,,G,,G,,G,,,
Mercedes-Benz USA,Mercedes-Benz,E-Class Wagon (E63S),2020_mercedesbenz_e,PC,0%,82% G,,G,,G,,G,,,
Mercedes-Benz USA,Mercedes-Benz,E-Class Coupe (E450/E450-4M/AMG E53),2020_mercedesbenz_e,PC,0%,82% G,,G,,G,,G,,,
Mercedes-Benz USA,Mercedes-Benz,E-Class Cabriolet (E450/E450-4M/AMG E53),2020_mercedesbenz_e,PC,0%,75% G,,G,,G,,G,,,
Mercedes-Benz USA,Mercedes-Benz,CLS Coupe (CLS450/CLS450-4M/AMG CLS53),2020_mercedesbenz_cls,PC,0%,82% G,,G,,G,,G,,,
Mercedes-Benz USA,Mercedes-Benz,S-Class Sedan (S560e/S450/S450-4M),2020_mercedesbenz_s,PC,0%,81% G,,G,,G,,G,,,
Mercedes-Benz USA,Mercedes-Benz,S-Class Sedan (S560-4M/S63-4M),2020_mercedesbenz_s,PC,0%,81% G,,G,,G,,G,,,
Mercedes-Benz USA,Mercedes-Benz,S-Class Sedan (S65),2020_mercedesbenz_s,PC,0%,81% G,,G,,G,,G,,,
Mercedes-Benz USA,Mercedes-Benz,S-Class Maybach (S560-4M),2020_mercedesbenz_s,PC,0%,82% G,,G,,G,,G,,,
Mercedes-Benz USA,Mercedes-Benz,S-Class Maybach (S650),2020_mercedesbenz_s,PC,0%,82% G,,G,,G,,G,,,
Mercedes-Benz USA,Mercedes-Benz,S-Class Coupe (S560-4M/S63-4M),2020_mercedesbenz_s,PC,0%,84% G,,G,,G,,G,,,
Mercedes-Benz USA,Mercedes-Benz,S-Class Coupe (S65),2020_mercedesbenz_s,PC,0%,84% G,,G,,G,,G,,,
Mercedes-Benz USA,Mercedes-Benz,S-Class Cabriolet  (S560-4M/S63-4M),2020_mercedesbenz_s,PC,0%,78% G,,G,,G,,G,,,
Mercedes-Benz USA,Mercedes-Benz,S-Class Cabriolet (S65),2020_mercedesbenz_s,PC,0%,78% G,,G,,G,,G,,,
Mercedes-Benz USA,Mercedes-Benz,SL Roadster (SL450),2020_mercedesbenz_sl,PC,0%,81% G,,G,,G,,G,,,
Mercedes-Benz USA,Mercedes-Benz,SL Roadster (SL550),2020_mercedesbenz_sl,PC,0%,81% G,,G,,G,,G,,,
Mercedes-Benz USA,Mercedes-Benz,SL Roadster (SL63),2020_mercedesbenz_sl,PC,0%,81% G,,G,,G,,G,,,
Mercedes-Benz USA,Mercedes-Benz,SLC Roadster (SLC300),2020_mercedesbenz_slc,PC,0%,87% G,,G,,G,,G,,,
Mercedes-Benz USA,Mercedes-Benz,SLC Roadster (SLC43),2020_mercedesbenz_slc,PC,0%,87% G,,G,,G,,G,,,
Mercedes-Benz USA,Mercedes-Benz,CLA Coupe (CLA250/CLA250-4M),2020_mercedesbenz_cla,PC,0%,64% G,,H,,G,,G,,,
Mercedes-Benz USA,Mercedes-Benz,CLA Coupe (CLA45 AMG),2020_mercedesbenz_cla,PC,0%,64% G,,H,,G,,G,,,
Mercedes-Benz USA,Mercedes-Benz,CLA Coupe (CLA35 AMG),2020_mercedesbenz_cla,PC,0%,64% G,,H,,G,,G,,,
Mercedes-Benz USA,Mercedes-Benz,GLA SUV (GLA250/GLA250-4M/GLA45-4M),2020_mercedesbenz_gla,MPV,0%,79% G,,G,,G,,G,,,
Mercedes-Benz USA,Mercedes-Benz,GLA SUV (GLA250/GLA250-4M/GLA45-4M),2020_mercedesbenz_gla,MPV,0%,82% G,,G,,G,,G,,,
Mercedes-Benz USA,Mercedes-Benz,GLC SUV  (GLC300),2020_mercedesbenz_glc,MPV,19%,58% G,,G,,US,,G,,,
Mercedes-Benz USA,Mercedes-Benz,GLC SUV  (GLC300),2020_mercedesbenz_glc,MPV,0%,76% G,,G,,G,,G,,,
Mercedes-Benz USA,Mercedes-Benz,GLC SUV  (GLC350e),2020_mercedesbenz_glchybrid,MPV,0%,79% G,,G,,G,,G,,,
Mercedes-Benz USA,Mercedes-Benz,GLC SUV  (GLC43-4M),2020_mercedesbenz_glc,MPV,0%,79% G,,G,,G,,G,,,
Mercedes-Benz USA,Mercedes-Benz,GLC SUV  (GLC63-4M),2020_mercedesbenz_glc,MPV,0%,79% G,,G,,G,,G,,,
Mercedes-Benz USA,Mercedes-Benz,GLC SUV   (GLC300-4M),2020_mercedesbenz_glc,MPV,17%,58% G,,G,,G,,G,,,
Mercedes-Benz USA,Mercedes-Benz,GLC Coupe (GLC300/GLC300-4M),2020_mercedesbenz_glc,PC,16%,60% G,,G,,US,,G,,,
Mercedes-Benz USA,Mercedes-Benz,GLC Coupe  (GLC43-4M),2020_mercedesbenz_glc,PC,0%,85% G,,G,,G,,G,,,
Mercedes-Benz USA,Mercedes-Benz,GLC Coupe (GLC63-4M/GLC63S-4M),2020_mercedesbenz_glc,PC,0%,85% G,,G,,G,,G,,,
Mercedes-Benz USA,Mercedes-Benz,GLE SUV (GLE350-4M/GLE350),2020_mercedesbenz_gle,MPV,70%,12% G,,US,,US,,G,,,
Mercedes-Benz USA,Mercedes-Benz,GLE SUV (GLE450-4M),2020_mercedesbenz_gle,MPV,48%,36% G,,US,,G,,G,,,
Mercedes-Benz USA,Mercedes-Benz,GLE SUV (GLE580-4M),2020_mercedesbenz_gle,MPV,48%,36% G,,US,,G,,G,,,
Mercedes-Benz USA,Mercedes-Benz,GLE Coupe (GLE43-4M),2020_mercedesbenz_gle,PC,61%,27% G,,US,,G,,G,,,
Mercedes-Benz USA,Mercedes-Benz,GLE Coupe (GLE63S),2020_mercedesbenz_gle,PC,61%,27% G,,US,,G,,G,,,
Mercedes-Benz USA,Mercedes-Benz,G-Class SUV (G550/G63),2020_mercedesbenz_g,MPV,3%,31% G,24% AU,AU,,G,,G,,,
Mercedes-Benz USA,Mercedes-Benz,GLS SUV (GLS450-4M),2020_mercedesbenz_gls,MPV,60%,30% G,,US,,G,,G,,,
Mercedes-Benz USA,Mercedes-Benz,GLS SUV (GLS580-4M),2020_mercedesbenz_gls,MPV,60%,30% G,,US,,G,,G,,,
Mercedes-Benz USA,Mercedes-Benz,GLS SUV (GLS63),2020_mercedesbenz_gls,MPV,60%,30% G,,US,,G,,G,,,
Mercedes-Benz USA,Mercedes-Benz,AMG GT Coupe (AMG GT/AMG GT S/AMG GT R/ AMG GT C),2020_mercedesbenz_amggt,PC,0%,80% G,,G,,G,,G,,,
Mercedes-Benz USA,Mercedes-Benz,AMG GT Roadster (AMG GT/ AMG GT R/ AMG GT C),2020_mercedesbenz_amggt,PC,0%,85% G,,G,,G,,G,,,
Mercedes-Benz USA,Mercedes-Benz,AMG GT 4-dr Coupe (AMG GT53),2020_mercedesbenz_amggt,PC,0%,86% G,,G,,G,,G,,,
Mercedes-Benz USA,Mercedes-Benz,AMG GT 4-dr Coupe (AMG GT63/ AMG GT63S),2020_mercedesbenz_amggt,PC,0%,86% G,,G,,G,,G,,,
Mercedes-Benz USA,Mercedes-Benz,A-Class Sedan (A220/ A220-4M),2020_mercedesbenz_a,PC,7%,46% MX,37% G,MX,,G,,G,,,
Mercedes-Benz USA,Mercedes-Benz,A-Class Sedan (A35),2020_mercedesbenz_a,PC,0%,76% G, ,G,,G,,G,,,
Mercedes-Benz USA,Mercedes-Benz,GLB SUV (GLB250/ GLB250-4M),2020_mercedesbenz_glb,MPV,5%,44% G,40% MX,MX,,G,,G,,,
Mercedes-Benz USA,Sprinter,Metris Cargo,2020_mercedesbenz_sprinter,MPV,21%,47% ESP,20% G,US,,US,,G,,,
Mercedes-Benz USA,Sprinter,Metris Passenger,2020_mercedesbenz_sprinter,MPV,18%,50% ESP,19% G,ESP,,US,,G,,,
Mitsubishi Motors Corporation,Mitsubishi,Eclipse Cross ES 2WD,2020_mitsubishi_eclipsecross,MPV,0%,97% J,,J,,J,,J,,,
Mitsubishi Motors Corporation,Mitsubishi,Eclipse Cross ES 4WD,2020_mitsubishi_eclipsecross,MPV,0%,97% J,,J,,J,,J,,,
Mitsubishi Motors Corporation,Mitsubishi,Eclipse Cross LE 2WD,2020_mitsubishi_eclipsecross,MPV,0%,97% J,,J,,J,,J,,,
Mitsubishi Motors Corporation,Mitsubishi,Eclipse Cross LE 4WD,2020_mitsubishi_eclipsecross,MPV,0%,97% J,,J,,J,,J,,,
Mitsubishi Motors Corporation,Mitsubishi,Eclipse Cross SE 2WD,2020_mitsubishi_eclipsecross,MPV,0%,92% J,,J,,J,,J,,,
Mitsubishi Motors Corporation,Mitsubishi,Eclipse Cross SE 4WD,2020_mitsubishi_eclipsecross,MPV,0%,93% J,,J,,J,,J,,,
Mitsubishi Motors Corporation,Mitsubishi,Eclipse Cross SEL 2WD,2020_mitsubishi_eclipsecross,MPV,1%,91% J,,J,,J,,J,,,
Mitsubishi Motors Corporation,Mitsubishi,Eclipse Cross SEL 4WD,2020_mitsubishi_eclipsecross,MPV,1%,92% J,,J,,J,,J,,,
Mitsubishi Motors Corporation,Mitsubishi,Outlander PHEV FE,2020_mitsubishi_outlander,MPV,0%,99% J,,J,,J,,J,,,
Mitsubishi Motors Corporation,Mitsubishi,Outlander PHEV SEL,2020_mitsubishi_outlander,MPV,0%,97% J,,J,,J,,J,,,
Mitsubishi Motors Corporation,Mitsubishi,Outlander PHEV GT,2020_mitsubishi_outlander,MPV,0%,95% J,,J,,J,,J,,,
Mitsubishi Motors Corporation,Mitsubishi,Outlander Sport ES 2WD,2020_mitsubishi_outlandersport,MPV,0%,99% J,,J,,J,,J,,,
Mitsubishi Motors Corporation,Mitsubishi,Outlander Sport SE 2WD,2020_mitsubishi_outlandersport,MPV,0%,95% J,,J,,J,,J,,,
Mitsubishi Motors Corporation,Mitsubishi,Outlander Sport SP 2WD,2020_mitsubishi_outlandersport,MPV,0%,99% J,,J,,J,,J,,,
Mitsubishi Motors Corporation,Mitsubishi,Outlander Sport GT 2WD,2020_mitsubishi_outlandersport,MPV,1%,95% J,,J,,J,,J,,,
Mitsubishi Motors Corporation,Mitsubishi,Outlander Sport ES 4WD,2020_mitsubishi_outlandersport,MPV,0%,99% J,,J,,J,,J,,,
Mitsubishi Motors Corporation,Mitsubishi,Outlander Sport SE 4WD,2020_mitsubishi_outlandersport,MPV,0%,95% J,,J,,J,,J,,,
Mitsubishi Motors Corporation,Mitsubishi,Outlander Sport SP 4WD,2020_mitsubishi_outlandersport,MPV,0%,99% J,,J,,J,,J,,,
Mitsubishi Motors Corporation,Mitsubishi,Outlander Sport GT 4WD,2020_mitsubishi_outlandersport,MPV,1%,95% J,,J,,J,,J,,,
Mitsubishi Motors Corporation,Mitsubishi,Outlander LE 2WD,2020_mitsubishi_outlander,MPV,1%,94% J,,J,,J,,J,,,
Mitsubishi Motors Corporation,Mitsubishi,Outlander LE 2WD,2020_mitsubishi_outlander,MPV,1%,94% J,,J,,J,,J,,,
Mitsubishi Motors Corporation,Mitsubishi,Outlander LE 4WD,2020_mitsubishi_outlander,MPV,0%,95% J,,J,,J,,J,,,
Mitsubishi Motors Corporation,Mitsubishi,Outlander LE 4WD,2020_mitsubishi_outlander,MPV,0%,95% J,,J,,J,,J,,,
Mitsubishi Motors Corporation,Mitsubishi,Outlander SP 2WD,2020_mitsubishi_outlander,MPV,0%,97% J,,J,,J,,J,,,
Mitsubishi Motors Corporation,Mitsubishi,Outlander SP 2WD,2020_mitsubishi_outlander,MPV,0%,97% J,,J,,J,,J,,,
Mitsubishi Motors Corporation,Mitsubishi,Outlander SP 4WD,2020_mitsubishi_outlander,MPV,0%,97% J,,J,,J,,J,,,
Mitsubishi Motors Corporation,Mitsubishi,Outlander SP 4WD,2020_mitsubishi_outlander,MPV,0%,97% J,,J,,J,,J,,,
Mitsubishi Motors Corporation,Mitsubishi,Outlander GT 4WD,2020_mitsubishi_outlander,MPV,0%,95% J,,J,,J,,J,,,
Mitsubishi Motors Corporation,Mitsubishi,Outlander GT 4WD,2020_mitsubishi_outlander,MPV,0%,95%J,,J,,J,,J,,,
Mitsubishi Motors Corporation,Mitsubishi,Outlander ES 2WD,2020_mitsubishi_outlander,MPV,0%,98% J,,J,,J,,J,,,
Mitsubishi Motors Corporation,Mitsubishi,Outlander ES 2WD,2020_mitsubishi_outlander,MPV,0%,98% J,,J,,J,,J,,,
Mitsubishi Motors Corporation,Mitsubishi,Outlander ES 4WD,2020_mitsubishi_outlander,MPV,0%,99% J,,J,,J,,J,,,
Mitsubishi Motors Corporation,Mitsubishi,Outlander ES 4WD,2020_mitsubishi_outlander,MPV,0%,99% J,,J,,J,,J,,,
Mitsubishi Motors Corporation,Mitsubishi,Outlander SE 2WD,2020_mitsubishi_outlander,MPV,0%,97% J,,J,,J,,J,,,
