Manufacturers,Makes,Carlines,year_make_model,vehicle_type,pcUSCA_content,pcOth1_content,pcOth2_content,assembly1,assembly2,engine1,engine2,transmission1,transmission2,,
BMW AG,BMW,4 Series Coupe/Convertible,2020_bmw_4series,PC,5%,65% G,,G,,G,,G,,,
BMW AG,BMW,4 Series  Gran Coupe,2020_bmw_4series,PC,5%,60% G,,G,,G,,G,,,
BMW AG,BMW,5 Series Sedan,2020_bmw_5series,PC,5%,60% G,,G,A,G,,G,,,
BMW AG,BMW,7 Series Sedan,2020_bmw_7series,PC,5%,60% G,,G,,G,,G,,,
BMW AG,BMW,8 Series Coupe/Convertible,2020_bmw_8series,PC,5%,60% G,,G,,G,,G,,,
BMW AG,BMW,8 Series Gran Coupe,2020_bmw_8series,PC,5%,60% G,,G,,G,,G,,,
BMW AG,BMW,X1,2020_bmw_x1,MPV,5%,50% G,,G,N,G,,J,,,
BMW AG,BMW,X2,2020_bmw_x2,MPV,5%,45% G,,G,,G,,J,,,
BMW AG,BMW,X3,2020_bmw_x3,MPV,31%,25% G,16% MX,US,,A,,G,,,
BMW AG,BMW,X3 30e,2020_bmw_x3hybrid,MPV,31%,25% G,16% MX,US,,A,,G,,,
BMW AG,BMW,X3M,2020_bmw_x3,MPV,31%,26% G,16% MX,US,,G,,G,,,
BMW AG,BMW,X4M,2020_bmw_x4,MPV,30%,28% G,18% MX,US,,G,,G,,,
BMW AG,BMW,X4,2020_bmw_x4,MPV,31%,25% G,18% MX,US,,A (4.0),UK (3.0),G,,,
BMW AG,BMW,X5,2020_bmw_x5,MPV,31%,23% G,20% MX,US,,G (5.0),A (4.0),G,,,
BMW AG,BMW,X6,2020_bmw_x6,MPV,16%,36% G,,US,,G (5.0),A (4.0),G,,,
BMW AG,BMW,X6,2020_bmw_x6,MPV,27%,29% G,19% MX,US,,G (5.0),A (4.0),G,,,
BMW AG,BMW,X7,2020_bmw_x7,MPV,23%,27% G,20% M,US,,G (5.0),A (4.0),G,,,
BMW AG,BMW,i3,2020_bmw_i3,PC,5%,35% G,20% CH,G,,G,,G,,,
BMW AG,BMW,i8,2020_bmw_i8,PC,5%,60% G, ,G,,G,,J,,,
BMW AG,BMW,Z4,2020_bmw_z4,PC,5%,50% G,15% PL,A,,G,,G,,,
BMW AG,BMW,Cooper Hard Top 2 Door,2020_mini_cooper,PC,5%,35% G,20% UK,UK,,G,,G,,,
BMW AG,BMW,Cooper Hard Top 4 Door,2020_mini_cooper,PC,5%,35% G,20% UK,UK,,G,,G,,,
BMW AG,BMW,Cooper Convertible,2020_mini_cooper,PC,5%,35% G,25% UK,N,,G,,J,,,
BMW AG,BMW,Cooper Clubman,2020_mini_cooper,PC,5%,35% G,20% UK,UK,,G,,G,BE,,
BMW AG,BMW,Cooper Countryman,2020_mini_cooper,MPV,5%,50% G,,N,,G,,J,,,
BMW AG,Toyota,Supra,2020_toyota_supra,PC,5%,50% G,15% A,A,,G,,G,,,
Rolls-Royce Motor,Rolls-Royce,Phantom,2020_rollsroyce_phantom,PC,5%,65% G,15% UK,UK,,G,,G,,,
Rolls-Royce Motor,Rolls-Royce,Ghost,2020_rollsroyce_ghost,PC,5%,65% G,15% UK,UK,,G,,G,,,
Rolls-Royce Motor,Rolls-Royce,Wraith,2020_rollsroyce_wraith,PC,5%,65% G,15% UK,UK,,G,,G,,,
Rolls-Royce Motor,Rolls-Royce,Dawn,2020_rollsroyce_dawn,PC,5%,65% G,15% UK,UK,,G,,G,,,
Rolls-Royce Motor,Rolls-Royce,Cullinan,2020_rollsroyce_cullinan,MPV,5%,60% G,15% UK,UK,,G,,G,,,
Bugatti Automobiles S.A.S.,Bugatti,Chiron,2020_bugatti_chiron,PC,N/A,N/A,,F,,G,,UK,,,
FCA,Alfa Romeo,4C,2020_alfaromeo_4c,PC,0%,95% I,,Modena Italy,,I,,I,,,
FCA,Alfa Romeo,Giulia,2020_alfaromeo_giulia,PC,0%,69% I,,Cassino Italy,,I,,G,,,
FCA,Alfa Romeo,Stelvio,2020_alfaromeo_stelvio,MPV,0%,55% I,,Cassni o Italy,,I,,G,,,
FCA,Chrysler,300,2020_chrysler_300,PC,68%,20% M,,Brampton ON Canada,US (3.6L),M (5.7L),,US,,,
FCA,Chrysler,Pacifica,2020_chrysler_pacifica,MPV,54%,22%M,,Windsor ON Canada,,M  ,,US,,,
FCA,Chry sler,Voyager,2020_chrysler_voyager,MPV,54%,22% M,,Windsor ON Canada,,M,,US,,,
FCA,Dodge,Challenger,2020_dodge_challenger,PC,60%,27% M,,Brampton ON Canada,US (3.6L),M,US,M (Manual)             G(8 SPD HP90),,,
FCA,Dodge,Charger,2020_dodge_charger,PC,66%,22%M,,Brampton ON Canada,US (3.6L),M,US,M (Manual)             G(8 SPD HP90),,,
FCA,Dodge,Durango,2020_dodge_durango,MPV,58%,26%M,,Detroit Ml USA,,M,US,G (8 SPD 8HP70),,,
FCA,Dodge,GrandCaravan,2020_dodge_grandcaravan,MPV,74%,14% M,,Windsor ON Canada,,US,,US,,,
FCA,Dodge,Journey,2020_dodge_journey,MPV,25%,69% M,,Toluca Mexico,,US,,US,,,
FCA,Fiat,500L,2020_fiat_500l,MPV,0%,21% Serbia,19% I,Kragujevac Serbia,,I,,J,,,
FCA,Fiat,500X,2020_fiat_500x,MPV,0%,62% I,20% PL,Melfi Italy,,PL,,US,,,
FCA,Jeep,Cherokee,2020_jeep_cherokee,MPV,61%,21% M,,Belvidere IL USA,,US,,US,,,
FCA,Jeep,Compass,2020_jeep_compass,MPV,23%,68% M,,Toluca Mexico,,M,US (9SPD),J (6SPD)                  I (Manual),,,
FCA,Jeep,Gladiator,2020_jeep_gladiator,Truck,61%,21% M,,Toledo OH USA,,M,US,J (Manual),,,
FCA,Jeep,Grand Cherokee,2020_jeep_grandcherokee,MPV,58%,26%M,,Detroit Ml USA,,M,US,G (8 SPD 8HP70)          G(8SPD 8HP95),,,
FCA,Jeep,Renegade,2020_jeep_renegade,MPV,14%,63% I,,Melfi Italy,US (2.4L),I (1.3L),,US,,,
Fiat Chrysler,Jeep,Wrangler  ,2020_jeep_wrangler,MPV,58%,19% M ,,Toledo OH USA,US or I (2.0L),M (3.5L)             I (3.0 Diesel),US,J (Manual)               G (8 SPD 8HP75),,,
